comparison_kind,group_key,metric,condition_a,condition_b,n_subjects,mean_a,mean_b,delta_mean,median_a,median_b,delta_median,wilcoxon_stat,wilcoxon_pvalue,ttest_stat,ttest_pvalue,cohens_d,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high,pvalue_adj,correction_method,reject_at_alpha
family_overall,target=lt1,abs_lt_err_median_sec,LSTM,Lin,18,186.82038020806172,195.3417383634798,-8.521358155418085,160.0823435634374,177.16523966359404,-17.08289610015663,66.0,0.4171142578125,-0.6659198615592885,0.5143976994687752,-0.15695881661179328,-0.12345679012345678,-32.97704728333751,15.814211717256377,0.963226318359375,fdr_bh,False
family_overall,target=lt1,abs_lt_err_median_sec,LSTM,TCN,18,186.82038020806172,200.97379775842023,-14.153417550358512,160.0823435634374,164.74786019325256,-4.6655166298151585,70.0,0.522613525390625,-0.715032132359976,0.48429404139816445,-0.16853468985267198,0.006172839506172839,-51.52868626505135,22.23323044474208,0.963226318359375,fdr_bh,False
family_overall,target=lt1,abs_lt_err_median_sec,Lin,TCN,18,195.3417383634798,200.97379775842023,-5.632059394940427,177.16523966359404,164.74786019325256,12.417379470341473,83.0,0.932281494140625,-0.281552186495332,0.7816853869191401,-0.06636248677624958,0.09259259259259259,-46.79016237201563,31.361184108391676,0.963226318359375,fdr_bh,False
family_overall,target=lt2,abs_lt_err_median_sec,LSTM,Lin,18,174.65597066410157,168.9885961314854,5.667374532616179,157.84942298730206,161.61685912775891,-3.7674361404568515,83.0,0.932281494140625,0.3216835059045255,0.751614088216469,0.07582152947365094,-0.024691358024691357,-26.84651688598291,43.25791212200953,0.963226318359375,fdr_bh,False
family_overall,target=lt2,abs_lt_err_median_sec,LSTM,TCN,17,164.8573497722546,173.14337357352758,-8.28602380127299,143.08155395189922,135.07600021362305,8.005553738276177,72.0,0.8536376953125,-0.519991547439205,0.610189353731838,-0.12611647497177755,0.01730103806228374,-38.061382384437614,19.41171975705263,0.963226318359375,fdr_bh,False
family_overall,target=lt2,abs_lt_err_median_sec,Lin,TCN,17,170.54167076657117,173.14337357352758,-2.6017028069564105,170.7165960688599,135.07600021362305,35.64059585523685,75.0,0.963226318359375,-0.12178241594027243,0.9045877554810131,-0.029536574368508657,0.10034602076124567,-43.34972819416424,38.331857105355965,0.963226318359375,fdr_bh,False
family_overall,target=lt1,mae,LSTM,Lin,18,203.21210276226273,246.4668801828542,-43.254777420591466,177.715929371079,233.81632550547556,-56.10039613439656,20.0,0.0028076171875,-3.3623109002408484,0.0036972677553691042,-0.7925042793392497,-0.3395061728395062,-66.88714093532319,-17.970743568909512,0.016845703125,fdr_bh,True
family_overall,target=lt1,mae,LSTM,TCN,18,203.21210276226273,213.833630205352,-10.621527443089263,177.715929371079,171.55341256707516,6.162516804003843,71.0,0.550872802734375,-0.6852377400287746,0.5024314024570488,-0.16151208423309704,-0.06172839506172839,-40.477252721222904,18.418377541148338,0.550872802734375,fdr_bh,False
family_overall,target=lt1,mae,Lin,TCN,18,246.4668801828542,213.833630205352,32.6332499775022,233.81632550547556,171.55341256707516,62.262912938400405,51.0,0.14151763916015625,1.7608302667858224,0.096243220105999,0.41503167405425756,0.2222222222222222,-5.187816511375122,67.33612319404222,0.2830352783203125,fdr_bh,False
family_overall,target=lt2,mae,LSTM,Lin,18,193.57659061685942,220.80877574611472,-27.2321851292553,186.64237870611373,198.28112756858428,-11.63874886247055,47.0,0.0987396240234375,-1.3666934667734136,0.18952565357934378,-0.3221327393862774,-0.22839506172839505,-61.57746709798368,14.936220084251026,0.2830352783203125,fdr_bh,False
family_overall,target=lt2,mae,LSTM,TCN,17,183.73232751978188,204.50507514417788,-20.772747624396004,185.95025684159208,181.21223960356278,4.7380172380293,55.0,0.328948974609375,-1.3053450712519195,0.2102354649761641,-0.3165926827441809,-0.05190311418685121,-51.949893180524185,8.019587705016566,0.39473876953125,fdr_bh,False
family_overall,target=lt2,mae,Lin,TCN,17,224.33938692606307,204.50507514417788,19.83431178188519,210.05325375032442,181.21223960356278,28.841014146761637,55.0,0.328948974609375,0.9647436393358304,0.3490294016855835,0.23398470156614223,0.18339100346020762,-19.023144579003244,58.288903026737245,0.39473876953125,fdr_bh,False
