comparison_kind,group_key,metric,condition_a,condition_b,n_subjects,mean_a,mean_b,delta_mean,median_a,median_b,delta_median,wilcoxon_stat,wilcoxon_pvalue,ttest_stat,ttest_pvalue,cohens_d,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high,pvalue_adj,correction_method,reject_at_alpha
lt1_vs_lt2_per_model_class,"model_name=AttentionLSTMRegressor(batch_size=64,checkpoint_every_epochs=4,dropout=0.3,hidden_size=64,internal_stride_sec=15,lr=0.001,max_epochs=20,num_layers=2,outer_stride_sec=5,seq_len=12,weight_decay=1e-05)|feature_set=EMG|with_abs=False",abs_lt_err_median_sec,lt1,lt2,17,204.80300757464235,154.57051748387954,50.23249009076281,189.18224716186523,115.49772644043037,73.68452072143486,60.0,0.4585723876953125,1.3051575790200847,0.21029778410062216,0.31654720919854334,0.1695501730103806,-20.40266734396713,131.93044113025923,0.9966733090512387,fdr_bh,False
lt1_vs_lt2_per_model_class,"model_name=AttentionLSTMRegressor(batch_size=64,checkpoint_every_epochs=4,dropout=0.3,hidden_size=64,internal_stride_sec=15,lr=0.001,max_epochs=20,num_layers=2,outer_stride_sec=5,seq_len=12,weight_decay=1e-05)|feature_set=EMG|with_abs=True",abs_lt_err_median_sec,lt1,lt2,17,204.80300757464235,154.57051748387954,50.23249009076281,189.18224716186523,115.49772644043037,73.68452072143486,60.0,0.4585723876953125,1.3051575790200847,0.21029778410062216,0.31654720919854334,0.1695501730103806,-20.40266734396713,131.93044113025923,0.9966733090512387,fdr_bh,False
lt1_vs_lt2_per_model_class,"model_name=AttentionLSTMRegressor(batch_size=64,checkpoint_every_epochs=4,dropout=0.3,hidden_size=64,internal_stride_sec=15,lr=0.001,max_epochs=20,num_layers=2,outer_stride_sec=5,seq_len=12,weight_decay=1e-05)|feature_set=EMG+NIRS|with_abs=False",abs_lt_err_median_sec,lt1,lt2,17,172.37239940026222,168.71903038024897,3.6533690200132583,122.29418945312506,118.03099441528326,4.263195037841797,73.0,0.8899688720703125,0.09500048233525325,0.9254940610618864,0.023041001361933752,-0.04498269896193772,-71.26834545976955,87.42001858809418,0.9966733090512387,fdr_bh,False
lt1_vs_lt2_per_model_class,"model_name=AttentionLSTMRegressor(batch_size=64,checkpoint_every_epochs=4,dropout=0.3,hidden_size=64,internal_stride_sec=15,lr=0.001,max_epochs=20,num_layers=2,outer_stride_sec=5,seq_len=12,weight_decay=1e-05)|feature_set=EMG+NIRS|with_abs=True",abs_lt_err_median_sec,lt1,lt2,17,182.37005347364078,202.61840730554906,-20.248353831908275,157.38153076171875,165.5400009155273,-8.158470153808537,68.0,0.7118988037109375,-0.46695840989017107,0.646825264485689,-0.11325404980868481,-0.10034602076124567,-108.31534447389498,60.01023326270734,0.9966733090512387,fdr_bh,False
lt1_vs_lt2_per_model_class,"model_name=AttentionLSTMRegressor(batch_size=64,checkpoint_every_epochs=4,dropout=0.3,hidden_size=64,internal_stride_sec=15,lr=0.001,max_epochs=20,num_layers=2,outer_stride_sec=5,seq_len=12,weight_decay=1e-05)|feature_set=EMG+NIRS+HRV|with_abs=False",abs_lt_err_median_sec,lt1,lt2,17,163.97199194571544,154.21793814266425,9.754053803051193,124.54814910888678,142.16285705566406,-17.614707946777287,71.0,0.8175811767578125,0.26340427674958183,0.7956011148768348,0.06388492089870307,-0.12110726643598616,-60.61446525559713,86.37685576607201,0.9966733090512387,fdr_bh,False
lt1_vs_lt2_per_model_class,"model_name=AttentionLSTMRegressor(batch_size=64,checkpoint_every_epochs=4,dropout=0.3,hidden_size=64,internal_stride_sec=15,lr=0.001,max_epochs=20,num_layers=2,outer_stride_sec=5,seq_len=12,weight_decay=1e-05)|feature_set=EMG+NIRS+HRV|with_abs=True",abs_lt_err_median_sec,lt1,lt2,17,171.64841586000773,137.6317512287813,34.01666463122643,115.84024429321289,141.60327911376947,-25.763034820556584,74.0,0.926513671875,0.9299763437764231,0.3662029753923635,0.22555239380681846,-0.058823529411764705,-33.73144209209607,116.96070855575444,0.9966733090512387,fdr_bh,False
lt1_vs_lt2_per_model_class,"model_name=AttentionLSTMRegressor(batch_size=64,checkpoint_every_epochs=4,dropout=0.3,hidden_size=64,internal_stride_sec=30,lr=0.001,max_epochs=20,num_layers=2,outer_stride_sec=5,seq_len=12,weight_decay=1e-05)|feature_set=EMG|with_abs=False",abs_lt_err_median_sec,lt1,lt2,17,222.16122857525062,182.41967498554902,39.741553589701596,182.8351593017578,123.92018938064575,58.91496992111206,59.0,0.4306793212890625,0.9255764935012211,0.36841687851523863,0.22448527337025606,0.12802768166089964,-42.62479488768553,127.5081676494767,0.9966733090512387,fdr_bh,False
lt1_vs_lt2_per_model_class,"model_name=AttentionLSTMRegressor(batch_size=64,checkpoint_every_epochs=4,dropout=0.3,hidden_size=64,internal_stride_sec=30,lr=0.001,max_epochs=20,num_layers=2,outer_stride_sec=5,seq_len=12,weight_decay=1e-05)|feature_set=EMG|with_abs=True",abs_lt_err_median_sec,lt1,lt2,17,222.16122857525062,182.41967498554902,39.741553589701596,182.8351593017578,123.92018938064575,58.91496992111206,59.0,0.4306793212890625,0.9255764935012211,0.36841687851523863,0.22448527337025606,0.12802768166089964,-42.62479488768553,127.5081676494767,0.9966733090512387,fdr_bh,False
lt1_vs_lt2_per_model_class,"model_name=AttentionLSTMRegressor(batch_size=64,checkpoint_every_epochs=4,dropout=0.3,hidden_size=64,internal_stride_sec=30,lr=0.001,max_epochs=20,num_layers=2,outer_stride_sec=5,seq_len=12,weight_decay=1e-05)|feature_set=EMG+NIRS|with_abs=False",abs_lt_err_median_sec,lt1,lt2,17,190.12298301037615,190.01818411841106,0.10479889196508907,164.7291984558105,152.3692979812622,12.359900474548283,67.0,0.677703857421875,0.0024557175104973888,0.998070980797805,0.0005955989813211518,0.010380622837370242,-85.47857514777606,91.5088926133865,0.9966733090512387,fdr_bh,False
lt1_vs_lt2_per_model_class,"model_name=AttentionLSTMRegressor(batch_size=64,checkpoint_every_epochs=4,dropout=0.3,hidden_size=64,internal_stride_sec=30,lr=0.001,max_epochs=20,num_layers=2,outer_stride_sec=5,seq_len=12,weight_decay=1e-05)|feature_set=EMG+NIRS|with_abs=True",abs_lt_err_median_sec,lt1,lt2,17,187.99376654975552,213.7866683427025,-25.792901792946992,148.74625205993647,158.39557266235352,-9.649320602417049,66.0,0.644134521484375,-0.5548214878002973,0.5866899188044801,-0.1345639763272333,-0.12110726643598616,-120.03937604514987,62.839972890212174,0.9966733090512387,fdr_bh,False
lt1_vs_lt2_per_model_class,"model_name=AttentionLSTMRegressor(batch_size=64,checkpoint_every_epochs=4,dropout=0.3,hidden_size=64,internal_stride_sec=30,lr=0.001,max_epochs=20,num_layers=2,outer_stride_sec=5,seq_len=12,weight_decay=1e-05)|feature_set=EMG+NIRS+HRV|with_abs=False",abs_lt_err_median_sec,lt1,lt2,17,169.72781990556152,170.2303504803601,-0.502530574798584,124.02780914306643,176.16153717041038,-52.13372802734395,69.0,0.7466583251953125,-0.011130578734122928,0.9912568722149577,-0.0026995618702966204,-0.11418685121107267,-86.92320393709566,95.29194971007458,0.9966733090512387,fdr_bh,False
lt1_vs_lt2_per_model_class,"model_name=AttentionLSTMRegressor(batch_size=64,checkpoint_every_epochs=4,dropout=0.3,hidden_size=64,internal_stride_sec=30,lr=0.001,max_epochs=20,num_layers=2,outer_stride_sec=5,seq_len=12,weight_decay=1e-05)|feature_set=EMG+NIRS+HRV|with_abs=True",abs_lt_err_median_sec,lt1,lt2,17,164.66867216895602,156.6549802667954,8.013691902160616,116.658794403076,124.4407958984375,-7.782001495361499,72.0,0.8536376953125,0.2052352185200367,0.8399766817769927,0.04977685200322548,-0.14878892733564014,-67.8662326777683,90.42708334992918,0.9966733090512387,fdr_bh,False
lt1_vs_lt2_per_model_class,"model_name=DwtTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=30,weight_decay=0.001)|feature_set=EMG|with_abs=False",abs_lt_err_median_sec,lt1,lt2,17,213.3524024346295,170.27724007999197,43.07516235463754,204.55287170410156,120.48258972167991,84.07028198242165,59.0,0.4306793212890625,1.078854853076196,0.2966487078016452,0.2616607361143164,0.14186851211072665,-31.73629325207546,123.51247173126984,0.9966733090512387,fdr_bh,False
lt1_vs_lt2_per_model_class,"model_name=DwtTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=30,weight_decay=0.001)|feature_set=EMG|with_abs=True",abs_lt_err_median_sec,lt1,lt2,17,213.3524024346295,170.27724007999197,43.07516235463754,204.55287170410156,120.48258972167991,84.07028198242165,59.0,0.4306793212890625,1.078854853076196,0.2966487078016452,0.2616607361143164,0.14186851211072665,-31.73629325207546,123.51247173126984,0.9966733090512387,fdr_bh,False
lt1_vs_lt2_per_model_class,"model_name=DwtTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=30,weight_decay=0.001)|feature_set=EMG+NIRS|with_abs=False",abs_lt_err_median_sec,lt1,lt2,17,190.3140364534714,152.4153303258559,37.8987061276155,149.61833953857416,105.20626831054688,44.41207122802729,71.0,0.8175811767578125,0.7038058904270278,0.4916702231103069,0.17069800153897205,0.10726643598615918,-52.36586534836704,150.05463845379197,0.9966733090512387,fdr_bh,False
