comparison_kind,group_key,metric,condition_a,condition_b,n_subjects,mean_a,mean_b,delta_mean,median_a,median_b,delta_median,wilcoxon_stat,wilcoxon_pvalue,ttest_stat,ttest_pvalue,cohens_d,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high,pvalue_adj,correction_method,reject_at_alpha
modality_within_family,family=LSTM|target=lt1|with_abs=False,abs_lt_err_median_sec,EMG,EMG+NIRS,18,212.8067837917349,180.8935344171606,31.913249374574292,169.0538240671155,145.25287381559588,23.800950251519623,44.0,0.0736846923828125,1.9943323792610645,0.0624071578066578,0.47006864977180013,0.10493827160493827,1.6045237668272765,64.09263234143661,0.3379480698529412,fdr_bh,False
modality_within_family,family=LSTM|target=lt1|with_abs=False,abs_lt_err_median_sec,EMG,EMG+NIRS+HRV,18,212.8067837917349,161.583248535585,51.22353525614989,169.0538240671155,124.04036399722077,45.013460069894734,32.0,0.0182342529296875,2.834207982792022,0.011449634378644533,0.6680292279750949,0.2777777777777778,16.27226965627118,86.7371188645975,0.2525227864583333,fdr_bh,False
modality_within_family,family=LSTM|target=lt1|with_abs=False,abs_lt_err_median_sec,EMG+NIRS,EMG+NIRS+HRV,18,180.8935344171606,161.583248535585,19.310285881575595,145.25287381559588,124.04036399722077,21.21250981837511,46.0,0.0897674560546875,1.9206907012897942,0.07170532302931215,0.452711139814653,0.15432098765432098,-0.317656614890105,36.6658646920696,0.3379480698529412,fdr_bh,False
modality_within_family,family=LSTM|target=lt1|with_abs=True,abs_lt_err_median_sec,EMG,EMG+NIRS,18,209.48559466428634,191.201217930143,18.284376734143336,165.2044750973582,145.31509756483138,19.889377532526822,72.0,0.5798416137695312,0.7741177843172203,0.4494937079705308,0.18246131157593726,0.04938271604938271,-27.735742379603376,62.781006950667745,0.7136512169471154,fdr_bh,False
modality_within_family,family=LSTM|target=lt1|with_abs=True,abs_lt_err_median_sec,EMG,EMG+NIRS+HRV,18,209.48559466428634,174.32418475403549,35.16140991025085,165.2044750973582,128.65172627568228,36.55274882167592,48.0,0.1083831787109375,1.722651904653928,0.10309210107362543,0.40603294780157145,0.17901234567901234,-4.1168382574519455,73.6259134160768,0.36508018092105265,fdr_bh,False
modality_within_family,family=LSTM|target=lt1|with_abs=True,abs_lt_err_median_sec,EMG+NIRS,EMG+NIRS+HRV,18,191.201217930143,174.32418475403549,16.877033176107517,145.31509756483138,128.65172627568228,16.663371289149097,74.0,0.6396942138671875,0.9550229530857556,0.3529503313275245,0.2251010687719133,0.10493827160493827,-14.07161490485701,51.45907931217092,0.7443714488636364,fdr_bh,False
modality_within_family,family=LSTM|target=lt2|with_abs=False,abs_lt_err_median_sec,EMG,EMG+NIRS,18,174.03833222033245,180.89169350152625,-6.8533612811937985,163.06986976787448,139.69074208661905,23.379127681255426,80.0,0.83172607421875,-0.47967302130056627,0.6375729953112435,-0.1130600153712899,-0.024691358024691357,-32.91199504531974,19.640327533914036,0.9022113347457628,fdr_bh,False
modality_within_family,family=LSTM|target=lt2|with_abs=False,abs_lt_err_median_sec,EMG,EMG+NIRS+HRV,18,174.03833222033245,159.70010203872286,14.338230181609589,163.06986976787448,133.0850771665573,29.984792601317167,69.0,0.49507904052734375,0.6489958687223205,0.5250126084293866,0.15296979324520238,0.04938271604938271,-30.152091501500053,55.50914728164783,0.6601053873697916,fdr_bh,False
modality_within_family,family=LSTM|target=lt2|with_abs=False,abs_lt_err_median_sec,EMG+NIRS,EMG+NIRS+HRV,18,180.89169350152625,159.70010203872286,21.191591462803387,139.69074208661905,133.0850771665573,6.605664920061741,55.0,0.19638824462890625,1.122968997958873,0.277060302550509,0.2646863311729938,0.07407407407407407,-12.798176815758673,58.228653332728136,0.4834172175480769,fdr_bh,False
modality_within_family,family=LSTM|target=lt2|with_abs=True,abs_lt_err_median_sec,EMG,EMG+NIRS,18,173.21021401240588,192.84383171002068,-19.633617697614795,144.4509634822607,150.2851747833192,-5.834211301058502,59.0,0.2645263671875,-1.3579036992609443,0.19224559435041869,-0.3200609713152373,-0.12345679012345678,-46.86953727139884,6.233509546303086,0.5340791590073529,fdr_bh,False
