rank,model_id,architecture_id,family,target,feature_set,with_abs,wavelet_mode,phase_split,window_size_sec,sequence_length,stride_sec,sample_stride_sec,model_name,full_model_name,hyperparams_json,selected_epoch,epoch_policy,n_subjects,mae_mean,mae_std,mae_median,mae_worst,mae_best,mae_ci_low,mae_ci_high,rmse_mean,rmse_std,bias_mean,bias_std,r2_mean,pearson_r_mean,catastrophic_rate_mean,lt_mae_median_policy_mean,lt_mae_median_policy_std,lt_bias_median_policy_mean,lt_mae_median_policy_ci_low,lt_mae_median_policy_ci_high,lt_mae_crossing_policy_mean,lt_mae_crossing_policy_std,lt_bias_crossing_policy_mean,lt_mae_crossing_policy_ci_low,lt_mae_crossing_policy_ci_high,zero_crossing_coverage,lt_mae_stable_median_policy_mean,lt_mae_stable_median_policy_std,lt_bias_stable_median_policy_mean,lt_mae_stable_median_policy_ci_low,lt_mae_stable_median_policy_ci_high,stable_window_coverage,composite_score,training_instability_mean,converged_rate,train_mae_slope_last_K_mean,final_train_mae_mean,conformal_coverage_crossing_policy_at_alpha_020,conformal_width_crossing_policy_at_alpha_020_mean,conformal_coverage_gap_crossing_policy_at_alpha_020,conformal_coverage_crossing_policy_at_alpha_030,conformal_width_crossing_policy_at_alpha_030_mean,conformal_coverage_gap_crossing_policy_at_alpha_030,conformal_coverage_median_policy_at_alpha_020,conformal_width_median_policy_at_alpha_020_mean,conformal_coverage_gap_median_policy_at_alpha_020,conformal_coverage_median_policy_at_alpha_030,conformal_width_median_policy_at_alpha_030_mean,conformal_coverage_gap_median_policy_at_alpha_030,conformal_coverage_stable_median_policy_at_alpha_020,conformal_width_stable_median_policy_at_alpha_020_mean,conformal_coverage_gap_stable_median_policy_at_alpha_020,conformal_coverage_stable_median_policy_at_alpha_030,conformal_width_stable_median_policy_at_alpha_030_mean,conformal_coverage_gap_stable_median_policy_at_alpha_030
1,Lin17_52b37b3e,Lin17,Lin,lt2,HRV,True,none,split,30,1,0,5,"ElasticNet(alpha=1.0,l1_ratio=0.9,max_iter=5000,random_state=42)","ElasticNet(alpha=1.0,l1_ratio=0.9,max_iter=5000,random_state=42) HRV with_abs wavelet=none LT2","{""alpha"": 1.0, ""l1_ratio"": 0.9, ""max_iter"": 5000, ""random_state"": 42}",0,last,18,132.55255091646458,74.59110556604801,115.23458022238277,347.9117303278605,48.695336517528894,102.2244974575367,167.37504115033047,151.63565536971953,78.73013013394338,17.093379166216874,136.61873490660915,0.28901496633463436,0.9644878560504306,0.44589059647851464,110.93335103222242,85.57962106445927,25.612311441125915,76.7116208445512,153.92565876340447,144.74683942534637,84.61587933202647,17.46016973001728,108.9300365518448,183.84466578480928,0.8888888888888888,128.44065337099013,72.65146412133195,32.7718712051321,98.93240106884319,163.8449203809145,0.9444444444444444,-3.7582046676606295,,,,,0.8888888888888888,492.8325966934451,0.0888888888888888,0.7777777777777778,448.80522268300007,0.07777777777777783,0.8888888888888888,456.9653869763223,0.0888888888888888,0.7777777777777778,298.04074485432216,0.07777777777777783,0.8888888888888888,382.49268969623085,0.0888888888888888,0.7777777777777778,346.1438474300164,0.07777777777777783
2,LSTM5_0470318e,LSTM5,LSTM,lt2,EMG+NIRS+HRV,True,none,split,30,6,5,5,"LSTMRegressor(batch_size=64,checkpoint_every_epochs=4,dropout=0.3,hidden_size=64,internal_stride_sec=5,lr=0.001,max_epochs=80,num_layers=2,outer_stride_sec=5,seq_len=6,weight_decay=1e-05)","LSTMRegressor(batch_size=64,checkpoint_every_epochs=4,dropout=0.3,hidden_size=64,internal_stride_sec=5,lr=0.001,max_epochs=80,num_layers=2,outer_stride_sec=5,seq_len=6,weight_decay=1e-05) EMG+NIRS+HRV with_abs wavelet=none LT2","{""batch_size"": 64, ""checkpoint_every_epochs"": 4, ""dropout"": 0.3, ""hidden_size"": 64, ""internal_stride_sec"": 5, ""lr"": 0.001, ""max_epochs"": 80, ""num_layers"": 2, ""outer_stride_sec"": 5, ""seq_len"": 6, ""weight_decay"": 1e-05}",80,last,18,140.92006721397826,57.99745824380139,130.33020396487643,282.9274528990114,61.72479039470621,116.62397110035317,167.5717964923437,165.43718376490597,63.18144161843182,1.705833125080603,129.784174577434,0.48119487018046325,0.9187416737783847,0.5200346088882379,108.58884238534499,69.21749345974835,-2.0727651384141077,79.78380542861092,143.3648747238848,180.0899356338713,129.50929648009983,-22.87316122319954,124.86272598554692,239.21550989432464,0.8333333333333334,137.8345915608935,94.94229355998615,-18.727697915500976,97.60981846774625,183.2404955591592,0.8888888888888888,-3.754835478694709,0.7048322826596061,0.8888888888888888,-5.19721927548119e-05,0.0712037315938819,0.8888888888888888,739.9233805338549,0.0888888888888888,0.7777777777777778,592.9439468383787,0.07777777777777783,0.8888888888888888,400.54934226142075,0.0888888888888888,0.7777777777777778,275.83098550637544,0.07777777777777783,0.8888888888888888,423.6703289879693,0.0888888888888888,0.7777777777777778,400.15716552734443,0.07777777777777783
3,Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,none,split,30,1,0,5,"ElasticNet(alpha=0.1,l1_ratio=0.2,max_iter=5000,random_state=42)","ElasticNet(alpha=0.1,l1_ratio=0.2,max_iter=5000,random_state=42) HRV with_abs wavelet=none LT2","{""alpha"": 0.1, ""l1_ratio"": 0.2, ""max_iter"": 5000, ""random_state"": 42}",0,last,18,132.51612521656617,73.19333785864657,114.15012374534967,344.3270752259219,56.47712469200022,104.1801612820079,170.3101770981578,150.86012265057713,77.28719068747793,15.815873315429807,136.82382467444407,0.30140508246877284,0.9657645538815127,0.4511905596946074,111.73776947825634,83.84590421815543,23.45324157898721,76.67395042100021,155.0300801465523,142.77414439018585,80.50688715269108,14.348478911462141,106.09130226596685,180.31385493889317,0.8888888888888888,119.01288596764542,81.41074286813911,27.44394303604372,86.26119850497263,156.86449940163547,0.9444444444444444,-3.7474818213218635,,,,,0.8888888888888888,471.7606533545693,0.0888888888888888,0.7777777777777778,430.3623301884388,0.07777777777777783,0.8888888888888888,450.03796266120344,0.0888888888888888,0.7777777777777778,293.14052887983934,0.07777777777777783,0.8888888888888888,380.49450490174684,0.0888888888888888,0.7777777777777778,351.63916922084564,0.07777777777777783
4,Lin18_6bc10125,Lin18,Lin,lt2,EMG+NIRS+HRV,True,none,split,30,1,0,5,"GradientBoostingRegressor(max_depth=2,n_estimators=50,random_state=42)","GradientBoostingRegressor(max_depth=2,n_estimators=50,random_state=42) EMG+NIRS+HRV with_abs wavelet=none LT2","{""max_depth"": 2, ""n_estimators"": 50, ""random_state"": 42}",0,last,18,130.91952149921502,67.06875808222212,118.10139257972439,301.5217081440669,52.284412895523594,101.7896699409439,164.35883289409378,146.64713811256345,68.07941963689264,19.726225038468478,136.07014905184562,0.5070563540508881,0.9753103606578026,0.45737033451145,117.90094864461065,76.37359147815368,15.865277419954332,88.30137940610528,154.8211941074889,123.35248008690976,99.97719476975466,24.857831564009626,83.14840673660296,167.9948683002535,0.8888888888888888,131.45015972201094,100.04124083655424,32.717940814044496,85.87302149197211,178.02302987971385,0.8888888888888888,-3.7389579019640733,,,,,0.8888888888888888,539.004225665741,0.0888888888888888,0.7777777777777778,447.8362366611666,0.07777777777777783,0.8888888888888888,495.7148571869115,0.0888888888888888,0.7777777777777778,301.147777375223,0.07777777777777783,0.8888888888888888,507.07251970490313,0.0888888888888888,0.7777777777777778,429.26851313086587,0.07777777777777783
5,Lin13_ce48e1f0,Lin13,Lin,lt2,HRV,True,none,split,30,1,0,5,"ElasticNet(alpha=0.1,l1_ratio=0.5,max_iter=5000,random_state=42)","ElasticNet(alpha=0.1,l1_ratio=0.5,max_iter=5000,random_state=42) HRV with_abs wavelet=none LT2","{""alpha"": 0.1, ""l1_ratio"": 0.5, ""max_iter"": 5000, ""random_state"": 42}",0,last,18,133.21499770703045,69.82935448068405,112.73827076218225,333.1958976295457,51.22640349425105,103.2426170030286,162.4173612885491,150.37317824387708,73.86115169834638,12.882060683455055,137.10597426551715,0.330186245106741,0.9675468281779869,0.46043062407244784,114.28145091679329,79.44209428464345,18.28469465628198,79.70837260778596,152.74250987739757,140.81560533136906,79.8440265827313,12.013152461596341,106.41711222773229,178.20883335637075,0.8888888888888888,120.5001247748846,77.04042161595748,19.10799744427427,87.66176240737506,158.74898831618603,0.9444444444444444,-3.73559137346397,,,,,0.8888888888888888,492.8325966934451,0.0888888888888888,0.7777777777777778,425.47188934966675,0.07777777777777783,0.8888888888888888,440.5393585701311,0.0888888888888888,0.7777777777777778,306.7061098164447,0.07777777777777783,0.8888888888888888,394.2011899081101,0.0888888888888888,0.7777777777777778,357.25087870453666,0.07777777777777783
6,Lin3_c0ae5bce,Lin3,Lin,lt2,HRV,True,none,split,30,1,0,5,Ridge(alpha=100),Ridge(alpha=100) HRV with_abs wavelet=none LT2,"{""alpha"": 100}",0,last,18,134.38175719245288,67.35613288187697,111.69619712364602,322.94637761163943,48.85882722425192,106.50242971768006,167.5332321466481,150.8670403285986,71.05139801526855,10.034965085809526,138.0205770823433,0.3492428299460333,0.9685595202082996,0.4629652018176351,116.87285502923845,76.5046701817407,14.630809595262154,84.57812329948483,152.8777739343722,137.0313586332553,72.89671343253846,12.277356139274723,106.88947770501821,172.77772034827711,0.8888888888888888,121.80499014329946,76.04205862099728,15.618572501071387,88.33539960357753,156.70913244318956,0.9444444444444444,-3.735408801063053,,,,,0.8888888888888888,485.5206254688592,0.0888888888888888,0.7777777777777778,383.9473126411726,0.07777777777777783,0.8888888888888888,432.0062884363754,0.0888888888888888,0.7777777777777778,329.6405779334285,0.07777777777777783,0.8888888888888888,425.3740306817019,0.0888888888888888,0.7777777777777778,351.3636959682307,0.07777777777777783
7,Lin18_94d73c50,Lin18,Lin,lt2,EMG+NIRS+HRV,True,none,full_cycles,30,1,0,5,"GradientBoostingRegressor(max_depth=2,n_estimators=50,random_state=42)","GradientBoostingRegressor(max_depth=2,n_estimators=50,random_state=42) EMG+NIRS+HRV with_abs wavelet=none LT2","{""max_depth"": 2, ""n_estimators"": 50, ""phase_split"": ""full_cycles"", ""random_state"": 42}",0,last,18,129.39030312823846,67.0612891716253,115.89007227118375,293.49592924727955,41.95535554561458,102.093925794514,161.24691143361565,145.51047490743537,68.66195640962908,20.434394076089077,136.09230096952768,0.5202762112394748,0.9759191003810304,0.4539475170281505,118.26943322327303,78.7948862685081,17.76790489929914,87.33563644844769,153.29148030867435,125.3548247451186,105.95514359174133,34.177435434663444,83.02488774963312,172.78865654732428,0.8888888888888888,123.28399396828337,105.93185738083038,32.330445022907995,75.66839566430374,169.4502156446822,0.8888888888888888,-3.7021788411561167,,,,,0.8888888888888888,551.0265304937226,0.0888888888888888,0.7777777777777778,485.84595094106106,0.07777777777777783,0.8888888888888888,505.21423953917315,0.0888888888888888,0.7777777777777778,292.08337231066224,0.07777777777777783,0.8888888888888888,513.7447086013894,0.0888888888888888,0.7777777777777778,480.6712440781222,0.07777777777777783
8,Lin18_6e2960bd,Lin18,Lin,lt2,EMG+NIRS+HRV,True,none,full_window,30,1,0,5,"GradientBoostingRegressor(max_depth=2,n_estimators=50,random_state=42)","GradientBoostingRegressor(max_depth=2,n_estimators=50,random_state=42) EMG+NIRS+HRV with_abs wavelet=none LT2","{""max_depth"": 2, ""n_estimators"": 50, ""phase_split"": ""full_window"", ""random_state"": 42}",0,last,18,130.32460711690365,68.81835857024082,122.07357009515522,302.90230736480936,38.838320746100415,100.2568303637321,160.35832248562338,145.66323733890786,70.13142239740672,18.464818161418897,138.00672885812926,0.49592087546823227,0.9777880339937729,0.45425206052804273,119.62659273566175,77.95493052289585,16.348173478111026,88.34035540301547,156.6715489704462,127.57040148786164,106.86998625204298,33.05967884407319,84.01822875964794,178.66115667741477,0.8888888888888888,119.86081455355,101.9595779367916,31.242870071319924,75.87452469347704,169.6429605989285,0.8888888888888888,-3.6949325873027026,,,,,0.8888888888888888,559.2201928325043,0.0888888888888888,0.7777777777777778,485.84595094106106,0.07777777777777783,0.8888888888888888,524.1508962101863,0.0888888888888888,0.7777777777777778,280.78768719463187,0.07777777777777783,0.8888888888888888,528.5553623083113,0.0888888888888888,0.7777777777777778,433.3940965906729,0.07777777777777783
9,Lin19_c8f03f08,Lin19,Lin,lt2,EMG+NIRS+HRV,True,none,full_window,30,1,0,5,"GradientBoostingRegressor(max_depth=3,n_estimators=50,random_state=42)","GradientBoostingRegressor(max_depth=3,n_estimators=50,random_state=42) EMG+NIRS+HRV with_abs wavelet=none LT2","{""max_depth"": 3, ""n_estimators"": 50, ""phase_split"": ""full_window"", ""random_state"": 42}",0,last,18,127.32025713678046,68.14133886304957,119.46068930111903,309.9842721254309,29.711418914719616,98.3505924704184,158.90399673231042,143.09912441698955,67.51512414777513,22.34555751707663,134.02492194467698,0.5063489768587184,0.9781199540931235,0.4611059010871317,113.07263542510343,80.34885037507806,25.89337679161103,80.6613057026648,151.29073931296224,115.28253533645001,103.39603152977655,14.660701581550427,72.05403774483815,168.34949878635095,0.8888888888888888,120.41955131282874,92.33403625099278,31.193577912824587,82.45879024732544,161.26586029044907,0.8888888888888888,-3.6576534659262547,,,,,0.8888888888888888,497.25300758984486,0.0888888888888888,0.7777777777777778,437.69717380057244,0.07777777777777783,0.8888888888888888,508.6313669723485,0.0888888888888888,0.7777777777777778,300.5234386870681,0.07777777777777783,0.8888888888888888,519.2207492619491,0.0888888888888888,0.7777777777777778,353.77425175166877,0.07777777777777783
10,Lin11_4d0f13b4,Lin11,Lin,lt2,EMG+NIRS+HRV,False,none,full_window,30,1,0,5,"ElasticNet(alpha=0.01,l1_ratio=0.9,max_iter=5000,random_state=42)","ElasticNet(alpha=0.01,l1_ratio=0.9,max_iter=5000,random_state=42) EMG+NIRS+HRV no_abs wavelet=none LT2","{""alpha"": 0.01, ""l1_ratio"": 0.9, ""max_iter"": 5000, ""phase_split"": ""full_window"", ""random_state"": 42}",0,last,18,158.61307565595123,83.32686896720212,143.1781189865986,311.559114275282,58.04038975240255,125.16285601093657,197.53018892990556,241.32164907834644,273.2049963900163,-4.863250339760029,158.3091257132839,-1.2990225665325177,0.9249324877360434,0.4785364716105043,111.71303438747675,89.88003684747184,13.988109056647298,73.67155941268454,154.45943418675526,123.21804825879379,101.90646309337842,-17.652157124992534,77.98451424702704,170.41988982064697,0.8888888888888888,128.05847621532828,112.38032826272031,20.188184489830032,80.3377843559693,179.0679822919157,0.8888888888888888,-3.5832733252310787,,,,,0.8888888888888888,552.4153674304295,0.0888888888888888,0.7777777777777778,408.3482477186798,0.07777777777777783,0.8888888888888888,529.4202394520936,0.0888888888888888,0.7777777777777778,355.48795457482606,0.07777777777777783,0.8888888888888888,583.5558268025255,0.0888888888888888,0.7777777777777778,518.76906904965,0.07777777777777783
