rank,model_id,architecture_id,family,target,feature_set,with_abs,wavelet_mode,lt_mae_median_policy_mean,lt_mae_median_policy_std,lt_mae_median_policy_ci_low,lt_mae_median_policy_ci_high,mae_mean,r2_mean,r2_median,catastrophic_rate_mean,composite_score
1,Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,none,119.43849316798095,158.66402521050568,61.06291959292768,200.1163375615575,164.20893002024178,0.16527221055988933,0.7760342023800835,0.4492551042254616,-2.6343641659109416
2,Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,none,121.48721116507119,162.62969463113703,58.30926384114207,201.85474097308375,166.97540784946247,0.23016416234031092,0.729451139493194,0.466331072122814,-2.430062037356328
3,Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,none,122.50305946860072,157.42511861938192,61.70613899649897,197.30640539196386,167.00083635221733,0.05144412592682996,0.8033503018592743,0.4640402592588816,-2.4087021359028062
4,Lin14_228f08a1,Lin14,Lin,lt1,EMG+NIRS+HRV,False,none,122.65205695263295,164.9283032682157,51.949532722111584,196.8394531422973,170.35094519324377,0.2560807914684646,0.7205608555894685,0.47168558475086986,-2.3304040709996885
5,Lin14_d91c8cf5,Lin14,Lin,lt1,EMG+NIRS+HRV,False,none,124.93936166576749,168.36286869713982,57.47754843043326,202.19341179469964,175.20339987333057,0.24976278734162516,0.767140783875921,0.4764864562966452,-2.2429462881921625
6,Lin3_291cdc06,Lin3,Lin,lt1,EMG+NIRS+HRV,False,none,124.9735436953386,166.91254229925553,58.11058720836165,204.23244071838212,177.49510013175328,0.3194746934243663,0.7205372192057289,0.48824025074818206,-2.1760607950742377
7,Lin9_f5e38d54,Lin9,Lin,lt1,EMG+NIRS+HRV,False,none,125.05149317882835,165.9129573143069,59.75586322073213,205.36254827190112,174.16579497634754,0.1766869884138893,0.7686409353662229,0.46974703723722033,-2.3059788556155274
8,Lin11_1cfe4568,Lin11,Lin,lt1,EMG+NIRS+HRV,False,none,125.16285691754794,160.66068253878925,61.3919199828721,204.8650533495774,175.02546946593012,-0.05969078575650482,0.7867190485263496,0.48138724393893395,-2.1059063932728397
9,Lin10_e49c25b4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,none,125.99687370328489,161.85809795108605,63.720671550549504,207.72994020580305,175.11969767423702,0.01748332943479021,0.7739641531964045,0.47338101346215045,-2.2873933216685978
10,Lin24_e975ad29,Lin24,Lin,lt1,EMG+NIRS+HRV,False,none,129.38142439442598,118.37918446770846,77.89959346289835,182.85177809081927,215.03670062622894,0.4231448861441612,0.5180087753844542,0.6064880594565069,-1.9656370575581474
