rank,model_id,architecture_id,family,target,feature_set,with_abs,wavelet_mode,lt_mae_median_policy_mean,lt_mae_median_policy_std,lt_mae_median_policy_ci_low,lt_mae_median_policy_ci_high,mae_mean,catastrophic_rate_mean,composite_score
1,Lin15_c71dad01,Lin15,Lin,lt2,HRV,True,none,107.98216292040254,96.61383854932632,68.64434663400229,156.45013093991935,154.6307676797174,0.4975592848278549,-3.2852243707129163
2,LSTM5_0470318e,LSTM5,LSTM,lt2,EMG+NIRS+HRV,True,none,108.58884238534499,69.21749345974835,79.30368108401694,140.88077490238675,140.92006721397826,0.5200346088882379,-3.8468326821241807
3,Lin17_52b37b3e,Lin17,Lin,lt2,HRV,True,none,110.93335103222242,85.57962106445927,77.28177455593747,151.68999179472996,132.55255091646458,0.44589059647851464,-3.901103869231403
4,Lin25_899597df,Lin25,Lin,lt2,HRV,True,none,111.09195365851991,92.36682876450936,71.63064776070775,152.2134828515332,180.64968681014045,0.5467184485511688,-3.2285881482102923
5,Lin24_f07244f4,Lin24,Lin,lt2,HRV,True,none,111.11468554299785,92.38828679799462,74.28776959187917,153.88265724503307,180.66628193266035,0.5466454672061177,-3.2265331071482373
6,Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,none,111.73776947825634,83.84590421815543,75.86072966179547,156.976844102506,132.51612521656617,0.4511905596946074,-3.8864457680028934
7,Lin16_289a1ac8,Lin16,Lin,lt2,HRV,True,none,112.43003378738211,94.25978334709917,75.5257789589726,158.47350277228043,147.58833335593368,0.4705339401551569,-3.406527663545493
8,Lin4_779f8028,Lin4,Lin,lt2,HRV,True,none,113.11132980273375,92.0037042747555,77.35851294161873,158.48630068844955,140.85807410256078,0.4537799294086112,-3.5721737978815025
9,Lin12_e07292c3,Lin12,Lin,lt2,EMG+NIRS+HRV,True,none,113.3564374028888,111.80667398121048,70.54451456424245,167.85169959952856,144.78060146348295,0.4497897528056877,-3.589629240763364
10,Lin13_ce48e1f0,Lin13,Lin,lt2,HRV,True,none,114.28145091679329,79.44209428464345,81.92954377136627,150.45470703650278,133.21499770703045,0.46043062407244784,-3.8665109262371455
