model_id,architecture_id,family,target,selected_epoch,n_folds,n_epochs_mean,final_train_mae_mean,final_train_mae_std,final_train_loss_mean,train_mae_slope_last_K_mean,train_loss_slope_last_K_mean,training_instability_mean,converged_rate,relative_change_last_K_mean,stability_window_epochs,convergence_relative_threshold
LSTM1_914d0370,LSTM1,LSTM,lt1,80,18,80.0,0.06942900928868276,0.001907066571890616,0.009433622163606707,-0.00013100608969663022,-2.7052807875403833e-05,0.7575631658375506,0.8333333333333334,0.028330231045949,10,0.05
LSTM1_c897e628,LSTM1,LSTM,lt1,80,18,80.0,0.06942900928868276,0.001907066571890616,0.009433622163606707,-0.00013100608969663022,-2.7052807875403833e-05,0.7575631658375506,0.8333333333333334,0.028330231045949,10,0.05
LSTM1_021fcbe2,LSTM1,LSTM,lt1,80,18,80.0,0.06592060252970867,0.0012836161490599471,0.008625079369562581,-6.576683447506536e-05,-2.1121583258731612e-05,0.7072010824608438,0.7777777777777778,0.035268126820354455,10,0.05
LSTM1_4273303e,LSTM1,LSTM,lt1,80,18,80.0,0.06672539269043495,0.0012480126682968698,0.00876842105190674,-8.778463954958661e-05,-2.4161900498118965e-05,0.7305406970262476,0.8888888888888888,0.025496115336186356,10,0.05
LSTM1_a17a1b70,LSTM1,LSTM,lt1,80,18,80.0,0.06465778057408293,0.002172332467239707,0.008467766089971828,-1.1815455479918014e-06,-2.8743217645042602e-06,0.7334704119676897,0.8333333333333334,0.027632517740317553,10,0.05
LSTM1_a80d4239,LSTM1,LSTM,lt1,80,18,80.0,0.0653498797703921,0.0018347908355230837,0.008574693462023893,-2.2562392830478717e-06,-7.66140701385939e-08,0.7281970054449458,0.9444444444444444,0.02706050045244876,10,0.05
LSTM1_90944f5f,LSTM1,LSTM,lt2,80,17,80.0,0.072296299458144,0.002250832075989851,0.009967540021482035,-0.0001238323310089269,-2.7492031539533474e-05,0.6908582887508989,0.7647058823529411,0.03133069944034636,10,0.05
LSTM1_06b2f45b,LSTM1,LSTM,lt2,80,17,80.0,0.072296299458144,0.002250832075989851,0.009967540021482035,-0.0001238323310089269,-2.7492031539533474e-05,0.6908582887508989,0.7647058823529411,0.03133069944034636,10,0.05
LSTM1_aad20824,LSTM1,LSTM,lt2,80,17,80.0,0.0678375253189743,0.0026386502702297394,0.008888198900136283,-4.9799214169808036e-05,-6.54965554730818e-06,0.8378667310029764,0.5882352941176471,0.03798732600669754,10,0.05
LSTM1_e66f4772,LSTM1,LSTM,lt2,80,17,80.0,0.06929528603308077,0.0030151740669119476,0.009306040132065029,-9.376018661313549e-07,9.545853662279245e-06,0.7792669375185832,0.7647058823529411,0.031912323563224834,10,0.05
