Место,Идентификатор модели,Семейство,Модальности,С абс. признаками,Режим ЭМГ-признаков,"Ошибка LT, с","Смещение LT, с",Доля грубых ошибок,Медиана R²
1,TCN1_aa09c186,TCN,EMG+NIRS+HRV,True,По фазам цикла,104.44019654217888,20.19197935216567,0.5300142959090011,0.61427660014716
2,Lin15_c71dad01,Lin,HRV,True,По фазам цикла,107.98216292040254,38.97375520727274,0.4975592848278549,0.6477505833130882
3,LSTM5_0470318e,LSTM,EMG+NIRS+HRV,True,По фазам цикла,108.58884238534499,-2.0727651384141077,0.5200346088882379,0.7148432483655787
4,Lin17_52b37b3e,Lin,HRV,True,По фазам цикла,110.93335103222242,25.612311441125915,0.44589059647851464,0.7656789510991941
5,Lin25_899597df,Lin,HRV,True,По фазам цикла,111.09195365851991,-8.627122942734477,0.5467184485511688,0.6290651649043835
6,Lin24_f07244f4,Lin,HRV,True,По фазам цикла,111.11468554299785,-8.786745168207139,0.5466454672061177,0.6287429935123611
7,Lin11_4d0f13b4,Lin,EMG+NIRS+HRV,False,По полному окну,111.71303438747675,13.988109056647298,0.4785364716105043,0.710061707198097
8,Lin12_ecfa2a6a,Lin,HRV,True,По фазам цикла,111.73776947825634,23.45324157898721,0.4511905596946074,0.7735095729647831
9,Lin2_443bcbe2,Lin,EMG+NIRS+HRV,False,По полному окну,111.94162973835002,17.742211023002557,0.4923855990810995,0.7024266379562812
10,Lin16_289a1ac8,Lin,HRV,True,По фазам цикла,112.43003378738211,39.95911086914725,0.4705339401551569,0.6784446206439451
