job_id,runner,architecture_id,target,feature_set,with_abs,wavelet_mode,cmd
J0001,tcn_runner.py,TCN1,lt1,EMG,true,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN1 --target lt1 --feature-set EMG --with-abs --max-epochs 40
J0002,tcn_runner.py,TCN1,lt1,EMG,false,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN1 --target lt1 --feature-set EMG --no-abs --max-epochs 40
J0003,tcn_runner.py,TCN1,lt1,EMG+NIRS,true,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN1 --target lt1 --feature-set EMG+NIRS --with-abs --max-epochs 40
J0004,tcn_runner.py,TCN1,lt1,EMG+NIRS,false,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN1 --target lt1 --feature-set EMG+NIRS --no-abs --max-epochs 40
J0005,tcn_runner.py,TCN1,lt1,EMG+NIRS+HRV,true,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN1 --target lt1 --feature-set EMG+NIRS+HRV --with-abs --max-epochs 40
J0006,tcn_runner.py,TCN1,lt1,EMG+NIRS+HRV,false,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN1 --target lt1 --feature-set EMG+NIRS+HRV --no-abs --max-epochs 40
J0007,tcn_runner.py,TCN1,lt2,EMG,true,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN1 --target lt2 --feature-set EMG --with-abs --max-epochs 40
J0008,tcn_runner.py,TCN1,lt2,EMG,false,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN1 --target lt2 --feature-set EMG --no-abs --max-epochs 40
J0009,tcn_runner.py,TCN1,lt2,EMG+NIRS,true,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN1 --target lt2 --feature-set EMG+NIRS --with-abs --max-epochs 40
J0010,tcn_runner.py,TCN1,lt2,EMG+NIRS,false,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN1 --target lt2 --feature-set EMG+NIRS --no-abs --max-epochs 40
J0011,tcn_runner.py,TCN1,lt2,EMG+NIRS+HRV,true,none,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN1 --target lt2 --feature-set EMG+NIRS+HRV --with-abs --max-epochs 40
