model_id,architecture_id,fold_id,epoch,train_loss,val_loss,train_mae,val_mae,lr
LSTM1_a17a1b70,LSTM1,loso_subject_S001,1,0.2545525766203324,,0.3534885201053975,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,2,0.03152364878399687,,0.12900386823924637,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,3,0.021461072193139964,,0.10615632809200112,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,4,0.019217298899337765,,0.10122072649926671,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,5,0.01887668873464094,,0.1008829344494093,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,6,0.014969413471449543,,0.08981446829189416,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,7,0.013890610219300888,,0.08665734978118121,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,8,0.013394356226077653,,0.08475228573723331,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,9,0.013147541970541715,,0.08308375554458144,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,10,0.012365808036639324,,0.08143149757875784,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,11,0.012130859492113951,,0.07954337275843426,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,12,0.012260405666565952,,0.07955376335842641,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,13,0.01250806163065687,,0.07846074912183168,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,14,0.011348344017285577,,0.07723489309324182,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,15,0.01055903534491504,,0.07530686183837548,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,16,0.010188514283483836,,0.07210081688675957,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,17,0.011027479433449611,,0.07503383572264632,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,18,0.009507615481078174,,0.0702069229261631,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,19,0.010489832865743683,,0.07292948623533571,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,20,0.010319646231746306,,0.07382925802730399,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,21,0.009738654255549395,,0.07114240376288683,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,22,0.009978372019165857,,0.07137419723631575,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,23,0.0107485019028972,,0.07343774316683543,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,24,0.009472895058532521,,0.06951742242556341,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,25,0.010250509368633998,,0.07384839728959854,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,26,0.009924811447814522,,0.07088708818011767,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,27,0.009369641492256863,,0.06901760792823992,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,28,0.00909549747127764,,0.06876339459027532,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,29,0.010472366562065745,,0.07308303167334387,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,30,0.009039583656211235,,0.06701134280684856,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,31,0.008987283685380817,,0.06739788229840263,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,32,0.009812307262284789,,0.07045268131526988,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,33,0.009364796005070316,,0.06869477484002488,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,34,0.00997767305247543,,0.07182261488489176,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,35,0.009340116218760249,,0.06930142610629965,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,36,0.00914432394857005,,0.06653153019377718,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,37,0.009233336932096981,,0.06942112234797684,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,38,0.008451393330684776,,0.06635430981909615,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,39,0.009114448152881727,,0.06769494077575637,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,40,0.008870865929653441,,0.06683934134110817,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,41,0.009101415559750926,,0.06850026282352269,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,42,0.009781636065009997,,0.06988061428987606,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,43,0.008844387406001365,,0.06705196628809117,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,44,0.009776182433004701,,0.06963373510670987,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,45,0.010183718294520626,,0.07001546256866167,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,46,0.008677651243567766,,0.06617595923015746,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,47,0.00853299712922144,,0.06509679307540257,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,48,0.00922040544150319,,0.07011377610720566,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,49,0.008796408203418895,,0.06579863251825985,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,50,0.00940704435968078,,0.06826162584183341,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,51,0.008821930181590179,,0.0664511211370843,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,52,0.009281234343162897,,0.0677548156441352,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,53,0.010190416055209294,,0.07141572871350763,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,54,0.009161451860408747,,0.0665910066457773,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,55,0.00836529275551306,,0.06485935315586816,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,56,0.008344765913564119,,0.06507676140206181,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,57,0.008214075088251742,,0.06398039901835316,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,58,0.008116869945156285,,0.06440674320807324,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,59,0.00871902643198389,,0.06493853319760538,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,60,0.008969541932436896,,0.06710939578239984,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,61,0.008755372834153135,,0.06582788561948874,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,62,0.00800215280457643,,0.06340720890726191,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,63,0.00837708302470814,,0.06471031451627586,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,64,0.008777503794871928,,0.06449716753018121,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,65,0.00837160356738701,,0.06468957150878817,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,66,0.008495714343409344,,0.06529617912145393,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,67,0.00914916108693771,,0.06798577577740289,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,68,0.008797863867219875,,0.06684540735327188,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,69,0.008169403038323454,,0.06357932418514244,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,70,0.00798696918824391,,0.0624732634702189,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,71,0.008755822443497594,,0.06546875931512258,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,72,0.008388759207163534,,0.06457122784745348,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,73,0.008389276614475525,,0.06404174729749393,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,74,0.007930934721688905,,0.06252390558926786,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,75,0.008394764219904224,,0.06481849377927447,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,76,0.00885545410537875,,0.06566617819615692,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,77,0.007964413102480207,,0.06351592756097595,,0.001
LSTM1_a17a1b70,LSTM1,loso_subject_S001,78,0.00828931854663956,,0.06421641226418982,,0.001
