model_id,architecture_id,fold_id,epoch,train_loss,val_loss,train_mae,val_mae,lr
LSTM10_315cbe24,LSTM10,loso_subject_S001,1,0.8239064047243106,,0.7176038569351537,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,2,0.5094191186030695,,0.5269214773012676,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,3,0.41023920005686576,,0.4795930060814074,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,4,0.24726953492027362,,0.3790840685290041,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,5,0.1665443710830137,,0.29854512929993926,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,6,0.35894409621115014,,0.45284522153559914,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,7,0.24457549834858178,,0.3568421894715128,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,8,0.1808152207296991,,0.3131094554120938,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,9,0.13780126861778813,,0.28664449356166777,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,10,0.23091312181059165,,0.34310841195912123,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,11,0.15461270407280228,,0.2867572188946028,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,12,0.1457212288866653,,0.2687545817632936,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,13,0.11077134000401578,,0.2538977207976223,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,14,0.12249687005235052,,0.2432466930768744,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,15,0.134632425009962,,0.2578230915915832,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,16,0.12712686690877467,,0.2554494124955957,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,17,0.10502284058754988,,0.23835020618963945,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,18,0.12444057985809079,,0.2634035674120071,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,19,0.1195723622883546,,0.2640008300749612,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S001,20,0.1105725727133301,,0.23961942428391805,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S002,1,0.7736257531948191,,0.6946419747363392,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S002,2,0.48815848176402576,,0.5307390185551802,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S002,3,0.3528705156964181,,0.43273510528135056,,0.001
LSTM10_315cbe24,LSTM10,loso_subject_S002,4,0.2991735722891904,,0.4365237044738359,,0.001
