model_id,architecture_id,fold_id,epoch,train_loss,val_loss,train_mae,val_mae,lr
LSTM11_210d914a,LSTM11,loso_subject_S001,1,0.45391431740431576,,0.5257608427701563,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,2,0.28607951084407757,,0.404443776593664,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,3,0.21345320824929168,,0.3417320998080969,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,4,0.20392130218690582,,0.31744358925115845,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,5,0.17789556509489884,,0.30730093520047047,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,6,0.21863682617155028,,0.34517962701300564,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,7,0.14712107528935367,,0.27282314467769425,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,8,0.1261539785075272,,0.26321375670385955,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,9,0.1300478047221161,,0.2678579178498368,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,10,0.12682189980160413,,0.25128383608602556,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,11,0.14501107873014968,,0.2720194523729386,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,12,0.10425999635249239,,0.2421043938869243,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,13,0.12139237907010766,,0.24836802653992138,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,14,0.12592375360944602,,0.2545442783725217,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,15,0.09717180793816854,,0.22833115737338833,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,16,0.13060820293409392,,0.24876070364058936,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,17,0.08684316947613958,,0.2130072820101787,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,18,0.09351895169940332,,0.21852834687186576,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,19,0.06467682783434564,,0.18997438602969635,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S001,20,0.0960748748737624,,0.22006682182964876,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,1,0.48488661730353555,,0.5372532542421029,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,2,0.3235113464606394,,0.4539986784999494,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,3,0.19087978490304647,,0.3134577364360124,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,4,0.23714507867814907,,0.36887656438596117,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,5,0.16042164949556956,,0.2968197014371361,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,6,0.15401928634472,,0.2856223321076901,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,7,0.1435875695743799,,0.28295222211981763,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,8,0.1270808754504139,,0.26228411394696866,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,9,0.11510263766331108,,0.2467119129348524,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,10,0.10741706358074843,,0.2392230984020615,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,11,0.12260680964942579,,0.24998901320809394,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,12,0.10924501082798546,,0.24112262564674256,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,13,0.08592964368806263,,0.2127504863733389,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,14,0.09973824154883879,,0.23431552067283976,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,15,0.12558211589586027,,0.24171936400991048,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,16,0.08826621707405923,,0.20925868264659664,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,17,0.10136885295864002,,0.2315597956009957,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,18,0.0842867808240448,,0.22100254582453702,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,19,0.1191616805757947,,0.24803466072440794,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S002,20,0.10333230192022853,,0.22663938876029455,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,1,0.4654804752684975,,0.5305439969579849,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,2,0.39464936733546185,,0.4782612131324393,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,3,0.2630259189943469,,0.39105727704759885,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,4,0.19197653621895316,,0.3148857712216631,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,5,0.21910305892726264,,0.32766137130161715,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,6,0.13622818948796084,,0.27487213985013537,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,7,0.15571588313492213,,0.30116534124641026,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,8,0.16196541893007274,,0.28747511680221416,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,9,0.14292837385558,,0.26609215529624525,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,10,0.14472801924239537,,0.27249031903652043,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,11,0.10086534928066171,,0.2303341623660199,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,12,0.1226494778978999,,0.25097562820821473,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,13,0.08402907435884548,,0.21813971711730462,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,14,0.11605966790570993,,0.23580475008478885,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,15,0.08013803101748851,,0.21151966889493565,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,16,0.09279845015297127,,0.2224514055313796,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,17,0.08209412442468597,,0.21000880457064103,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,18,0.1024165596897003,,0.2212821571608267,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,19,0.1649375348748328,,0.26673739468072644,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S003,20,0.09664198973595993,,0.2213062040618009,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S004,1,0.5826580544998137,,0.5978331994575581,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S004,2,0.3446212612546655,,0.42461586705077864,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S004,3,0.23316508389919535,,0.3552869500818094,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S004,4,0.1320041653417727,,0.2723472499936425,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S004,5,0.15084541084524083,,0.29037612191755013,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S004,6,0.21103147426390353,,0.349604610099079,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S004,7,0.11842485276027596,,0.25151653450446726,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S004,8,0.11823044257003269,,0.25171997118473805,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S004,9,0.11486957316791506,,0.24098406939209363,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S004,10,0.10183717270054368,,0.23408008429303653,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S004,11,0.11622356568017779,,0.24752426411933012,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S004,12,0.10486566014410013,,0.23941372519188883,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S004,13,0.09701417419430358,,0.22727529228264268,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S004,14,0.07835186478866549,,0.21403409592434977,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S004,15,0.09958978438088127,,0.22325778393516726,,0.001
LSTM11_210d914a,LSTM11,loso_subject_S004,16,0.10210665592312329,,0.23626446549335064,,0.001
