model_id,architecture_id,fold_id,epoch,train_loss,val_loss,train_mae,val_mae,lr
LSTM11_a3b79c56,LSTM11,loso_subject_S001,1,0.4805805042184604,,0.5371191561827627,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,2,0.3426461150190518,,0.44499907421078455,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,3,0.36664672394703746,,0.4166179419315033,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,4,0.19290138727426243,,0.33326875465565625,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,5,0.19156352354421036,,0.31884491719389835,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,6,0.19230230420745464,,0.3300190126914301,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,7,0.15635400994416374,,0.2952355551935824,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,8,0.1381762226679532,,0.2756048161843063,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,9,0.15333865771990607,,0.3011397425422575,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,10,0.12471151207373699,,0.2675877016443958,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,11,0.11799593663181815,,0.2543007339247399,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,12,0.15234433861592844,,0.2880346964385529,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,13,0.11938767760174987,,0.24616253310469566,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,14,0.12549556012470428,,0.2467041715420016,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,15,0.09659719262615857,,0.22237599598542776,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,16,0.12007486900238516,,0.25221298546472815,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,17,0.11400588681378092,,0.2429528858957222,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,18,0.13673643467938498,,0.2627214296920217,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,19,0.0913123790400008,,0.21425504259834136,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S001,20,0.11471215153663106,,0.23627299717301695,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S002,1,0.5581383024383721,,0.561521397203312,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S002,2,0.38276902091523957,,0.4406357172803478,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S002,3,0.23974901081377356,,0.3580923380079915,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S002,4,0.21507340404495623,,0.3333941451983951,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S002,5,0.17335619727078364,,0.306294733363147,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S002,6,0.17638091277026455,,0.3085448768704185,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S002,7,0.17168679058509137,,0.3098845956354928,,0.001
LSTM11_a3b79c56,LSTM11,loso_subject_S002,8,0.13313255458402298,,0.2631903957251214,,0.001
