model_id,architecture_id,fold_id,epoch,train_loss,val_loss,train_mae,val_mae,lr
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,1,0.5524971693320753,,0.5750293978279142,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,2,0.3831538004017868,,0.47433442684128085,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,3,0.4168933492666254,,0.45169719938694697,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,4,0.259632543861912,,0.38544519346805267,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,5,0.26857688431287907,,0.3741477409439016,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,6,0.21887810384075473,,0.3427537812012029,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,7,0.19621661380127384,,0.33343717375762544,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,8,0.17120362396912273,,0.30277811356057477,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,9,0.17452913333533462,,0.30358191095139264,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,10,0.1891503173618629,,0.313120866077473,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,11,0.1397516068665072,,0.268406128016427,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,12,0.14090335622364333,,0.27601945479572926,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,13,0.1617169780427937,,0.2954076669972252,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,14,0.14676286930847365,,0.2713140702074386,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,15,0.13552444176223807,,0.26388771091913615,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,16,0.13171097392056075,,0.2502936904851363,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,17,0.12651917068768603,,0.2569829201586391,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,18,0.15473447637298335,,0.27414823071686206,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,19,0.13784452117750767,,0.2648907170282225,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S001,20,0.11328675261475414,,0.24018136646460603,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S002,1,0.7237662312669715,,0.6133824763364929,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S002,2,0.4541059779604966,,0.519605432063806,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S002,3,0.21852433254307668,,0.3540230241885843,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S002,4,0.2804372675564137,,0.385235948685911,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S002,5,0.25418931657663313,,0.37487437210463376,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S002,6,0.19843597009121364,,0.3283192029416891,,0.001
LSTM11_caeb7b3a,LSTM11,loso_subject_S002,7,0.20387396696513443,,0.34129936490667245,,0.001
