model_id,architecture_id,fold_id,epoch,train_loss,val_loss,train_mae,val_mae,lr
LSTM11_f33fb36c,LSTM11,loso_subject_S001,1,0.766829678471082,,0.6880282256497985,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,2,0.4151206348386578,,0.4915340706822902,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,3,0.4020065272726944,,0.45694022339390283,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,4,0.4397953359781154,,0.45662900518962474,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,5,0.29151321372317923,,0.38555374320443897,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,6,0.1813148258943971,,0.3019514521245793,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,7,0.24260177463218688,,0.35359746644897166,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,8,0.1521940355155603,,0.2916330809323829,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,9,0.172453519009579,,0.30329700487966355,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,10,0.10993969326526697,,0.24976670216620747,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,11,0.13711263549199593,,0.27246772946052483,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,12,0.13085529087189798,,0.2673576345368073,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,13,0.10371479754773505,,0.2441975138984099,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,14,0.12718278405608402,,0.24541402159996098,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,15,0.13804822838448655,,0.2514516591264036,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,16,0.11930789492396525,,0.2423567475165145,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,17,0.08695409962292863,,0.2055149042338886,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,18,0.13096466796444808,,0.24303713535460975,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,19,0.13055339968492152,,0.257535891897918,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S001,20,0.08422066408674657,,0.2124406829835577,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,1,0.6893500369379053,,0.6348508145507826,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,2,0.5329221428112569,,0.547292030203639,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,3,0.3871903102632563,,0.4586878735268494,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,4,0.30609536360520534,,0.41628340430811267,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,5,0.2985688405667243,,0.39364004494770954,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,6,0.2676686685707304,,0.35653415413065775,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,7,0.20983888021170133,,0.34258512915041506,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,8,0.17053411418557687,,0.3045974545881753,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,9,0.17790450005212993,,0.297724033530385,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,10,0.1605581001956245,,0.2898039048335741,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,11,0.12975681323830004,,0.2650895756646705,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,12,0.11344985239618738,,0.25286815345099833,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,13,0.1346482189470321,,0.2636397066676586,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,14,0.1572717394577784,,0.28242603846028563,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,15,0.12501161587523782,,0.253996624730896,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,16,0.12226204541467225,,0.2427757123912918,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,17,0.13596676010682401,,0.24448111127504868,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,18,0.09235297904969325,,0.21703196772471953,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,19,0.14026865644135703,,0.2600111616383902,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S002,20,0.09312657302582959,,0.2211420308710133,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S003,1,0.6181722180909592,,0.6024538340565015,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S003,2,0.49786035193339784,,0.5255681176818687,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S003,3,0.3913254834196293,,0.4618973298362021,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S003,4,0.3918879261638517,,0.4485236847850345,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S003,5,0.290089390211678,,0.37940551965723374,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S003,6,0.26484657164005915,,0.3614375884010947,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S003,7,0.24264143824545645,,0.3444017740881302,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S003,8,0.2327399767386953,,0.34129210487008094,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S003,9,0.18989787856991727,,0.3124585739739195,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S003,10,0.16210335161946451,,0.2870973588931843,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S003,11,0.18421716724478326,,0.3026181579561981,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S003,12,0.16976834707163252,,0.301900905776306,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S003,13,0.14011667926421048,,0.2508516028126669,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S003,14,0.19898422579460132,,0.2985693153280478,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S003,15,0.14401177175810764,,0.2644863191705484,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S003,16,0.12170725031356333,,0.24109325755894537,,0.001
LSTM11_f33fb36c,LSTM11,loso_subject_S003,17,0.13225504498137988,,0.257869855896432,,0.001
