model_id,architecture_id,fold_id,epoch,train_loss,val_loss,train_mae,val_mae,lr
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,1,0.5912435084666171,,0.6187303438782692,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,2,0.32574004519970734,,0.42928047895186233,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,3,0.3123913896321597,,0.421582809116676,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,4,0.21512612509803808,,0.3391703712665802,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,5,0.30152102559421656,,0.3987388919096118,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,6,0.2022291127434949,,0.33792707300649133,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,7,0.23555951425117017,,0.3582415444117208,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,8,0.19266091302753935,,0.3149603566906028,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,9,0.19465667059430491,,0.3203255494121355,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,10,0.17340599117156716,,0.3064654963282646,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,11,0.14406366755602854,,0.28085291300183585,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,12,0.22317802966256153,,0.33653705647222915,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,13,0.17110719427156432,,0.2845791927289693,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,14,0.12756216798038528,,0.2497464410113669,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,15,0.1478157864803656,,0.2802771258555015,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,16,0.1316304842670033,,0.27428841815471894,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,17,0.11506950779285746,,0.24304822368217716,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,18,0.12616470345762346,,0.246737249057602,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,19,0.11938971711165529,,0.24211568013600115,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S001,20,0.11736795748452226,,0.25327798729156886,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,1,0.6114788893994579,,0.5975796588788875,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,2,0.3687162051423442,,0.4692172037112275,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,3,0.34533773501502996,,0.46346137880019106,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,4,0.20959217010019512,,0.3491050177968562,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,5,0.3123295952328802,,0.4123476783219569,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,6,0.23239340529089048,,0.36797863787586627,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,7,0.20196959129569228,,0.3410892898922718,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,8,0.18793540975306905,,0.3184094542480919,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,9,0.16004262585717285,,0.2922280227712008,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,10,0.18334944121274538,,0.30110381011934095,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,11,0.1741122760171695,,0.29167619620172835,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,12,0.12958727428590233,,0.265058288972208,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,13,0.15287931554813208,,0.28260223191019634,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,14,0.11958836443313535,,0.251410856850494,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,15,0.13617576969127537,,0.2727189173891008,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,16,0.20281078535608785,,0.28558896474116524,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,17,0.11945084006051361,,0.24752634749093966,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,18,0.18442008864553106,,0.29640011730494664,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,19,0.10746108806181406,,0.2370115408929797,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S002,20,0.139164952596178,,0.24658151439268744,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S003,1,0.5668593050879764,,0.5860949761831238,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S003,2,0.4354497608250949,,0.5137980945097496,,0.001
LSTM12_7a0b0e4c,LSTM12,loso_subject_S003,3,0.38390991164076166,,0.4693795202348339,,0.001
