model_id,architecture_id,fold_id,epoch,train_loss,val_loss,train_mae,val_mae,lr
LSTM13_3a1670e3,LSTM13,loso_subject_S001,1,0.4383773919525026,,0.5091680339620083,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,2,0.06675053420574856,,0.19057904996197939,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,3,0.03388622934701126,,0.1378586778786615,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,4,0.021226740084619965,,0.11000741541637148,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,5,0.015666821105444984,,0.09487850004610633,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,6,0.016656002535520097,,0.09626862077270379,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,7,0.013757175892465728,,0.08839678175841706,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,8,0.015501679832170785,,0.0944642491984468,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,9,0.014088913555481012,,0.09004490121507444,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,10,0.012220447562352011,,0.08363756594024127,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,11,0.011208449825958864,,0.08020905354354955,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,12,0.013651781461402019,,0.08747481192591824,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,13,0.010856856474896523,,0.07725138090833833,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,14,0.012842078205150894,,0.08532101617583746,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,15,0.01159995501735228,,0.08049046553765671,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,16,0.010175922856457877,,0.07513142039504232,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,17,0.009820695075241826,,0.07378635396434285,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,18,0.010552182905513494,,0.07705505885152374,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,19,0.009759953119772395,,0.07372137394258242,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S001,20,0.012975334723083152,,0.08568206009482533,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,1,0.41673710922596874,,0.49021535777416164,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,2,0.05864519609919082,,0.17888296761921924,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,3,0.03061959597438869,,0.12733660766197116,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,4,0.01956935817676999,,0.10522633643433599,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,5,0.01611578321274948,,0.09509618437722965,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,6,0.014457870314739916,,0.09091309207205725,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,7,0.014401778452737693,,0.09047408554420219,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,8,0.014023458247039185,,0.08914039475787984,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,9,0.012747410039352898,,0.08623173845188059,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,10,0.01148042206655536,,0.08144934886064467,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,11,0.012084252231757436,,0.0827862823953723,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,12,0.01140211459876287,,0.08042305368598145,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,13,0.01134160722578221,,0.08018427484794811,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,14,0.010807877704624099,,0.07823420716787723,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,15,0.010674095051762688,,0.07748111529220449,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,16,0.011409359529196429,,0.07893234953628515,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,17,0.010709337087919806,,0.07761539135238912,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,18,0.010148302618131386,,0.07513071023690032,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,19,0.010228255380977793,,0.0745653384687877,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S002,20,0.01094108214755558,,0.07789999005621416,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,1,0.4472227004596073,,0.5099265503583659,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,2,0.061229847132793086,,0.18183869249088505,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,3,0.027059316890266586,,0.12130812093725336,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,4,0.020359401379182684,,0.10610541173607745,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,5,0.018213970815753995,,0.10042873610297115,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,6,0.015371021481798449,,0.09348188125575628,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,7,0.0143043474808148,,0.08977081440954328,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,8,0.014660772715711754,,0.09030451488652476,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,9,0.011923795603910048,,0.08155396356565073,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,10,0.012634191566801298,,0.084433748665753,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,11,0.014325664278182779,,0.08819271009827157,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,12,0.011664113671711425,,0.08095800322426001,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,13,0.014070495500059343,,0.08812134127739348,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,14,0.012823509919139935,,0.08372747831007826,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,15,0.011153568806369737,,0.07965880865574296,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,16,0.01192838817897023,,0.08161717794406037,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,17,0.010483119190288251,,0.07553156427506198,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,18,0.011606299508109489,,0.0810088633418755,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,19,0.012005945153721727,,0.081017682652583,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S003,20,0.00967859846830859,,0.07264132782862101,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S004,1,0.362002603020001,,0.4585310287151954,,0.001
LSTM13_3a1670e3,LSTM13,loso_subject_S004,2,0.05138467398003183,,0.166810771052201,,0.001
