model_id,architecture_id,fold_id,epoch,train_loss,val_loss,train_mae,val_mae,lr
LSTM13_41ab3816,LSTM13,loso_subject_S001,1,0.2989536325891037,,0.3828051940781089,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,2,0.033658084104043674,,0.13401291840484153,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,3,0.01712715962803394,,0.09518624221554547,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,4,0.01564365529622923,,0.08981512101206846,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,5,0.012922358451328973,,0.0836932046025108,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,6,0.012254739766745187,,0.07933023114589703,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,7,0.011069449049973522,,0.0765379396949397,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,8,0.011133850094897972,,0.0757104186927031,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,9,0.010431107638009156,,0.07200164509504839,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,10,0.00991381174229511,,0.07133329235184305,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,11,0.00861422022614717,,0.06741712233745267,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,12,0.010226722008704234,,0.0700626523864933,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,13,0.00941693710002628,,0.06792473011203676,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,14,0.009608483288116585,,0.06773281840315265,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,15,0.00899866232224245,,0.06743051059441728,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,16,0.009283274440943323,,0.06714961382298476,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,17,0.009274340743792936,,0.06678556791484486,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,18,0.008072047645195144,,0.06380348870246547,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,19,0.009490900056130932,,0.06797812692147619,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S001,20,0.008400071520743513,,0.06509075802431016,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,1,0.24585360887383345,,0.352927544278316,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,2,0.028748665511775316,,0.12268146145226745,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,3,0.016712245054616166,,0.09442765059845645,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,4,0.014865365746688375,,0.08798879023437581,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,5,0.012074142489399432,,0.08092752229657448,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,6,0.012098057334001737,,0.07938096398516424,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,7,0.011559761258633741,,0.07829947764417065,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,8,0.011108606856520096,,0.07628148411718023,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,9,0.01023954142611291,,0.07373437701840722,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,10,0.010582403440503887,,0.07455063705315597,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,11,0.009467944581855773,,0.06961724032003949,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,12,0.009608930932308272,,0.07004565631691236,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,13,0.009099946413476537,,0.06827632828940851,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,14,0.009881157610894586,,0.06981101485823515,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,15,0.009004084106670564,,0.06714280891176026,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,16,0.009420010691304883,,0.06812110115339011,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,17,0.0080325255682496,,0.0640619102797535,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,18,0.009299033539576082,,0.06794710760364024,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,19,0.008423905099936738,,0.0651798521078402,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S002,20,0.008355514213003918,,0.06396385571732595,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S003,1,0.3515160159440278,,0.4164033000100807,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S003,2,0.03992793973231901,,0.1399892031725298,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S003,3,0.02130581808265045,,0.10599657850511103,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S003,4,0.015844241531711944,,0.09244904081399842,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S003,5,0.014489425184858382,,0.08809856780624248,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S003,6,0.016093531993725856,,0.0910879373107093,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S003,7,0.012870796366122664,,0.08086108587274946,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S003,8,0.012185812950327451,,0.07946010046441478,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S003,9,0.011268545217831457,,0.07628180604745305,,0.001
LSTM13_41ab3816,LSTM13,loso_subject_S003,10,0.012479574231882177,,0.07921807040685878,,0.001
