model_id,architecture_id,fold_id,epoch,train_loss,val_loss,train_mae,val_mae,lr
LSTM14_60f14c9a,LSTM14,loso_subject_S001,1,0.33888523861367204,,0.41122012760487486,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,2,0.029494635455057143,,0.12411826639958076,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,3,0.016060585817369275,,0.09422533416114505,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,4,0.0146934586016169,,0.08696629985660552,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,5,0.013864035809052998,,0.08614214671882096,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,6,0.013226033512311662,,0.08513640837012558,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,7,0.012445937819234806,,0.0806825591907153,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,8,0.011900184763930819,,0.07844120163311583,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,9,0.010745833369964547,,0.07660023773268178,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,10,0.011120219888005323,,0.07540924153246918,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,11,0.011397033393455755,,0.07555783941361323,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,12,0.00984356642397025,,0.07133876601273136,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,13,0.010311299347098504,,0.07310903116802073,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,14,0.009707167313655734,,0.07024899741940453,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,15,0.009835442597489596,,0.06970893251706273,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,16,0.009248926764218082,,0.06999940906239865,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,17,0.010152343216817489,,0.07094960790652774,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,18,0.00907096766953613,,0.06845383516318196,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,19,0.010001483792876818,,0.07088877556445541,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S001,20,0.009131771389096006,,0.06723634411115537,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,1,0.3194250444532862,,0.40191049938616547,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,2,0.03306327294688907,,0.13135436710184453,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,3,0.01826988509627579,,0.09894275035170987,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,4,0.014990978129730569,,0.09041407615531544,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,5,0.01584139129154771,,0.09134666281027345,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,6,0.01357609342109689,,0.08617621707255843,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,7,0.01194981389468716,,0.07915384223133451,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,8,0.012050176091586222,,0.08097415248148906,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,9,0.011970837691963387,,0.07917200271327565,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,10,0.011549328660218863,,0.07721867957798996,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,11,0.010984296304386678,,0.07608542641491575,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,12,0.011156463301982235,,0.07540912332658514,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,13,0.00955223784289554,,0.0713864672944723,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,14,0.012086798952236709,,0.07664063099515722,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,15,0.010398174130565489,,0.07186932755218817,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,16,0.009479986309096071,,0.0686307172872241,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,17,0.009740838308806883,,0.07069241972365854,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,18,0.009493132674384753,,0.06975582005850563,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,19,0.009655523364697315,,0.06957339965130972,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S002,20,0.008254509037791596,,0.06477501222453645,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,1,0.2823764455777289,,0.37416958469757583,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,2,0.02650730379477182,,0.11897841666701471,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,3,0.02099487957754683,,0.10357559800103679,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,4,0.015444512646984727,,0.08904278535477599,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,5,0.015585074767500838,,0.08997580628494385,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,6,0.013350490220556054,,0.08426656661844023,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,7,0.015419823441949877,,0.08610139330021287,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,8,0.011777843013050817,,0.07764625203525236,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,9,0.010628753632634717,,0.07311638174512741,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,10,0.010771749293872883,,0.07315560334142852,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,11,0.012366541286230132,,0.07974990035309229,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,12,0.011231279617253648,,0.07579354167693873,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,13,0.010933613047549586,,0.0732551103367066,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,14,0.01022249728153079,,0.07009990307734154,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,15,0.01494752721379198,,0.08727651375649631,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,16,0.010190331808288952,,0.07071722970216325,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,17,0.00986542686927051,,0.0701767837815056,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,18,0.008742229870838131,,0.06533530433189474,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,19,0.010706323798974113,,0.07281978377935922,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S003,20,0.008119824180710724,,0.06348863575439907,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,1,0.30081063594632323,,0.3889018601313633,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,2,0.025924489189764255,,0.11671503289630282,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,3,0.016939725508789923,,0.09189128924071872,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,4,0.015325029121845834,,0.09063378957918568,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,5,0.01335964744913225,,0.08420745271805816,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,6,0.012301900816164458,,0.08107981474069177,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,7,0.012773607177095032,,0.08115904633749187,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,8,0.011209992630136618,,0.0751609899660596,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,9,0.010680691238587305,,0.07511025702919712,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,10,0.010717433638219184,,0.0748779803976858,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,11,0.010010799823909452,,0.07239691236375585,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,12,0.009893377049470107,,0.0709632357585077,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,13,0.009940203848033513,,0.07151286710678943,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,14,0.011162276067133934,,0.07527272447376224,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,15,0.00936740871166813,,0.06976764620779599,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,16,0.00880169479848951,,0.06694606181932941,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,17,0.00831154325178316,,0.06463961415675867,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,18,0.008692495455920738,,0.06611051150349367,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,19,0.009032779844800911,,0.06814743518009676,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S004,20,0.00894782983018834,,0.06800662723011291,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,1,0.3544500276728726,,0.4244269545328513,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,2,0.03543936451978482,,0.1346371461455398,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,3,0.020814739906231793,,0.10714903037245697,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,4,0.01643603923391149,,0.09477264875051927,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,5,0.014633917415367965,,0.08751696248269984,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,6,0.012736347474092646,,0.08088578587892103,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,7,0.013220657735693734,,0.08162410029430084,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,8,0.012599879302866431,,0.0812070015654967,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,9,0.011271870556577997,,0.0757937752383791,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,10,0.01157895297778678,,0.07684549400392844,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,11,0.010908604987812806,,0.0730557437367064,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,12,0.011440300230621075,,0.07552658618799798,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,13,0.010373482114089647,,0.07214110704144305,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,14,0.010646545349921674,,0.07239066294608937,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,15,0.010288205960325614,,0.07170395523787587,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,16,0.009487059866091774,,0.06952699041401332,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,17,0.009389784798004364,,0.06928107423745856,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,18,0.009542206364735396,,0.06970059026695201,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,19,0.009357503987305714,,0.06728937494250846,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S005,20,0.008704255720595055,,0.06590133386259524,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,1,0.2710915290762582,,0.3683007384140732,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,2,0.024424353794412077,,0.11417653834701291,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,3,0.016065738494902653,,0.09234564430702427,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,4,0.013517845555539637,,0.0856543757439824,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,5,0.013260526107679397,,0.08319529847095435,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,6,0.012271794708485299,,0.07979376682180704,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,7,0.01145851607721937,,0.07757545577672079,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,8,0.012415405383634368,,0.08027301374777378,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,9,0.010618924568684978,,0.0751557268220496,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,10,0.01016073848143932,,0.07371775131577767,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,11,0.010932192746920165,,0.07423782074466,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,12,0.009490848209658254,,0.06997479561015958,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,13,0.00915385977526523,,0.06693866394816228,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,14,0.00853633105281882,,0.06570601273739966,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,15,0.008524431244453613,,0.06628556736918081,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,16,0.008648710142474142,,0.06618174371307305,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,17,0.008922730075431916,,0.06768046521536557,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,18,0.008834023968055766,,0.06635425813082914,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,19,0.008314793953495986,,0.06449423454647327,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S006,20,0.008328440667035523,,0.06511685597301985,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S007,1,0.3321088919458266,,0.4055731901024923,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S007,2,0.028312495992348502,,0.12370029014141086,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S007,3,0.016110384072579313,,0.09288859813440965,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S007,4,0.013313481343741985,,0.08478218212546912,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S007,5,0.014871737417081456,,0.08828584816077767,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S007,6,0.014063627632915524,,0.08535550647515353,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S007,7,0.012173075646534429,,0.07931734103118718,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S007,8,0.01115932303063199,,0.07770258429366794,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S007,9,0.011426808504760801,,0.07751719618242278,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S007,10,0.011855515505728727,,0.07792803775338293,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S007,11,0.010639447103000318,,0.07461296236266425,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S007,12,0.010307051433121042,,0.07172113661418197,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S007,13,0.009620661135657106,,0.07111302333763717,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S007,14,0.010545643197532631,,0.07442746550669906,,0.001
LSTM14_60f14c9a,LSTM14,loso_subject_S007,15,0.010059189434166286,,0.07197261963633057,,0.001
