model_id,architecture_id,fold_id,epoch,train_loss,val_loss,train_mae,val_mae,lr
LSTM15_9adc484b,LSTM15,loso_subject_S001,1,0.4145965152995351,,0.48545382342065424,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,2,0.08690999855536112,,0.2064532149220599,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,3,0.04572172109821774,,0.15084294813863156,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,4,0.034513712626045696,,0.1308796600000952,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,5,0.025486317999259902,,0.11618852836971369,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,6,0.02314870837584827,,0.10852026926023209,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,7,0.01740441699509089,,0.09934697414859564,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,8,0.0192199347655143,,0.10149648766566179,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,9,0.014977855350773362,,0.09141016230655588,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,10,0.01412295152512273,,0.08957401205952041,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,11,0.013382860944651997,,0.08712368062584873,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,12,0.014867711609153603,,0.08975112059759716,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,13,0.013517792418270048,,0.08753193262386026,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,14,0.013050558903557297,,0.08454481949881902,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,15,0.012957821450381957,,0.08400036058831495,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,16,0.011236142852389252,,0.08006039410932382,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,17,0.012232366636308042,,0.08197476525628378,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,18,0.011590895581067514,,0.08047103894176444,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,19,0.011361297254699358,,0.07822480927342954,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S001,20,0.011156785287081248,,0.0781763846336191,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S002,1,0.3897989040144737,,0.47304637875498795,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S002,2,0.07668694518607483,,0.1917540614359424,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S002,3,0.05005018192981963,,0.1540884299249184,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S002,4,0.03461837529288075,,0.12937705222830218,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S002,5,0.024838362111227946,,0.11384089404166875,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S002,6,0.021971945242002244,,0.10860103562595398,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S002,7,0.01748659977118982,,0.09868380194151305,,0.001
LSTM15_9adc484b,LSTM15,loso_subject_S002,8,0.016500260037317024,,0.094295264663412,,0.001
