model_id,architecture_id,fold_id,epoch,train_loss,val_loss,train_mae,val_mae,lr
LSTM16_a489f6f3,LSTM16,loso_subject_S001,1,0.3698776135152994,,0.4501007422342064,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,2,0.033385096324171956,,0.13897828263114287,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,3,0.019397430765918818,,0.10470885434300427,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,4,0.01757955671853037,,0.09860678506131991,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,5,0.013944154388025105,,0.08821142601135931,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,6,0.01358726654032064,,0.08718207837426309,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,7,0.01181217987062069,,0.08073273001867298,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,8,0.01224077498736959,,0.08316457425318068,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,9,0.01189737957102048,,0.08130525520972501,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,10,0.011578228283516697,,0.08073812673283577,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,11,0.01080363617182868,,0.07705521918807547,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,12,0.010782024555751543,,0.07666998157590073,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,13,0.010290477897912736,,0.07476315053476804,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,14,0.01084837234682507,,0.0778807502180811,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,15,0.009789723118804421,,0.07272107213262528,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,16,0.009692889502628085,,0.07227429051371259,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,17,0.010327456993345889,,0.07380065883929521,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,18,0.009445454564081792,,0.07194031888633205,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,19,0.00904006389753213,,0.06895310191078956,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S001,20,0.009904532146359247,,0.07261941318186174,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,1,0.3013569091555226,,0.3884213649160494,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,2,0.024838673041724577,,0.11992908727508897,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,3,0.01717593876750973,,0.09799672196793362,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,4,0.014819488444221698,,0.09204513305005665,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,5,0.013212444316242446,,0.08554503117715763,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,6,0.012727908132633138,,0.08426313271852044,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,7,0.012006744469811276,,0.08213040174103688,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,8,0.01137000014929752,,0.07781171899662431,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,9,0.01112590467198916,,0.07853589075690685,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,10,0.010955742435393536,,0.07655786896543451,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,11,0.010532481923982057,,0.07656908871197118,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,12,0.011604569168372691,,0.07864987313101285,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,13,0.010327677103642848,,0.07477890437615273,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,14,0.009329740715220691,,0.07087204235840619,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,15,0.010558967978307387,,0.07380378222077842,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,16,0.009693179408285192,,0.07129464308582348,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,17,0.01056006051054815,,0.07505210462785995,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,18,0.009499749946117724,,0.07064094521650453,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,19,0.010378350445692778,,0.07253819334555447,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S002,20,0.009259029612106683,,0.07102033867422482,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,1,0.36430733818330885,,0.43429410320951406,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,2,0.032483964897626505,,0.13275095973906273,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,3,0.017792213559019294,,0.10106141914661179,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,4,0.015497421417418191,,0.0937270381436987,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,5,0.013058785476592063,,0.08496524523910812,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,6,0.012537249153056157,,0.08361265779697916,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,7,0.012860355552818094,,0.08478385881246503,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,8,0.011630586267003832,,0.08008813935823121,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,9,0.011216086470825858,,0.07970176011823263,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,10,0.011041285496080258,,0.07838585363336341,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,11,0.009672138266712165,,0.07336448977390925,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,12,0.00963541078126646,,0.07215772948804355,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,13,0.010710762566648673,,0.07534234307220163,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,14,0.010372828474067926,,0.07474741400917581,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,15,0.009304728320876967,,0.07082189616124676,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,16,0.009244786070189989,,0.06966711009147937,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,17,0.009593524213558361,,0.07054233098077396,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,18,0.009227202613911932,,0.06981697637042461,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,19,0.010305616499057839,,0.07416811205144493,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S003,20,0.009133284847125596,,0.07003206103987585,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,1,0.3312111560383397,,0.4182383064402583,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,2,0.02759753634210119,,0.1261064831698919,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,3,0.01658915706450715,,0.09747813922087677,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,4,0.014996086062713163,,0.09220075374421596,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,5,0.0137623276835473,,0.08644858458779238,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,6,0.012849929635335301,,0.08519124910159301,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,7,0.012024076057773668,,0.08150605415715463,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,8,0.01087774760966596,,0.07809196381360688,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,9,0.010911352536712408,,0.07672000484357774,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,10,0.010099612856280613,,0.07610179125694422,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,11,0.010985981213207305,,0.07620785361016978,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,12,0.009839669211805983,,0.07263775103638925,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,13,0.0093451136289368,,0.07098541144696392,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,14,0.008620403844014617,,0.06944971139947695,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,15,0.009575372947088849,,0.07038673484278732,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,16,0.009888771983547847,,0.07247328983000195,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,17,0.00900621126619303,,0.06925783778712341,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,18,0.009255842142730475,,0.0701241839980243,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,19,0.009945531727052948,,0.07147671943127723,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S004,20,0.009167795949785187,,0.06840325396788295,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,1,0.29524118490699114,,0.3923470886620457,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,2,0.027212987026746925,,0.12513403186869637,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,3,0.017801875294045144,,0.10061999147826778,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,4,0.015619635342802939,,0.0933024199459824,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,5,0.014361327683029272,,0.08920292814170575,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,6,0.013021936828617606,,0.08564963920168002,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,7,0.013571995214298523,,0.08620210984476114,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,8,0.012072151341584082,,0.08112519863012864,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,9,0.011736067405473559,,0.07978527410383501,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,10,0.011668820747168473,,0.08049102784742114,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,11,0.010984376005942764,,0.07834941476833046,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,12,0.010064167222716512,,0.07413830836898201,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,13,0.011021059952073179,,0.07853853894918846,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,14,0.009728453986461105,,0.07313560537437584,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,15,0.010449696464798123,,0.07473437089813563,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,16,0.01012119481278959,,0.0746505676982541,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,17,0.009162626652968612,,0.07031092143878184,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,18,0.009914517799094684,,0.07299610793548951,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,19,0.010040591684392986,,0.07304938737529187,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S005,20,0.00998451331967003,,0.07357305220204138,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S006,1,0.30378798985138744,,0.39172694474749986,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S006,2,0.025946044907373112,,0.12260558462962584,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S006,3,0.015912657064979914,,0.09555286438247351,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S006,4,0.013730867333298365,,0.08916916664316873,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S006,5,0.012777085531688787,,0.0853280360183613,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S006,6,0.012158637034559555,,0.08239442899315937,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S006,7,0.011652773586115956,,0.08089889084495275,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S006,8,0.010943523438331612,,0.07753344475318978,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S006,9,0.010217586512773737,,0.07476901090984839,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S006,10,0.01062822527579215,,0.07571054372671561,,0.001
LSTM16_a489f6f3,LSTM16,loso_subject_S006,11,0.00964450657466269,,0.07214792525784351,,0.001
