model_id,architecture_id,fold_id,epoch,train_loss,val_loss,train_mae,val_mae,lr
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,1,0.31876153018386333,,0.4121656980613244,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,2,0.04001799407397564,,0.1499010966798592,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,3,0.027429636647291436,,0.12596636227188326,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,4,0.022441363759067755,,0.11328916637743432,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,5,0.019358328375334348,,0.10511333860896313,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,6,0.01884488423952045,,0.10398470745930259,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,7,0.017907022705378767,,0.10137364516032385,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,8,0.015110807052791268,,0.09301313067058398,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,9,0.01563817107468058,,0.09346760555148274,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,10,0.014212567027345057,,0.08844315411156065,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,11,0.014799357021468198,,0.09132487167939637,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,12,0.013443612880359779,,0.08740080202201678,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,13,0.014113057791541705,,0.0892167382568607,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,14,0.013762284091287007,,0.08812085675120054,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,15,0.011764682368977156,,0.07969550745400461,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,16,0.012900694061907352,,0.08560033044409722,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,17,0.012937867108363204,,0.08415594635299936,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,18,0.012230854703480357,,0.0815986498180716,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,19,0.011732903448222124,,0.08039513378026644,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,20,0.0115266534846879,,0.08128707612884538,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,21,0.011873350982347427,,0.07964204342444538,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,22,0.011673512900133654,,0.0799006314543888,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,23,0.011013810058945844,,0.0773420929628304,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,24,0.011995601111384976,,0.08102534152333679,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,25,0.010594386545476156,,0.07609569810452395,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,26,0.010448801486637242,,0.07586836683069598,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,27,0.011067150451635551,,0.07703602471981323,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,28,0.011428039337518897,,0.07786229809972842,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,29,0.010739601302513365,,0.07681807406349493,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,30,0.010980903880888014,,0.07656024170191106,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,31,0.011093136708402873,,0.07582954727720885,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,32,0.010740202739414112,,0.07545563914208969,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,33,0.01086439345840603,,0.0771008598591333,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,34,0.011113844504591587,,0.07665469574098156,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,35,0.009880629896304314,,0.07196850383857561,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,36,0.010130282510142105,,0.0732049212757138,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,37,0.009760140453043442,,0.07179827129040638,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,38,0.011011671509776017,,0.07568321459303835,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,39,0.010316713988883806,,0.0742801329964676,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,40,0.009580199080875781,,0.07248971627153447,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,41,0.010700592276882123,,0.0757404992279773,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,42,0.01023700370931229,,0.07403021969527493,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,43,0.010416170875477596,,0.07317366104203754,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,44,0.010242315956918404,,0.07313761575944451,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,45,0.009922726405258648,,0.0729249197816759,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,46,0.009513372379510547,,0.07075454665808337,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,47,0.010899762060946623,,0.07463239336215717,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,48,0.009656954762365767,,0.07121093943247682,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,49,0.009678967243324559,,0.07146952233021352,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,50,0.009941768083473669,,0.07215330946064055,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,51,0.009200922486932021,,0.07005860114299518,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,52,0.010104419447369452,,0.07274572698018482,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,53,0.010004488148328052,,0.07282140961330538,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,54,0.009627773801572948,,0.07057334909886309,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,55,0.009957569103262655,,0.07224170521481274,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,56,0.009678213979226247,,0.07019727277000395,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,57,0.010316391249971378,,0.0733881555450905,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,58,0.00962586089421807,,0.07051639256991886,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,59,0.00931292669695698,,0.07002508621592743,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,60,0.009220012319315145,,0.069502017793796,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,61,0.008996317670254068,,0.0684166190820925,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,62,0.009192011459325083,,0.06980880516273913,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,63,0.009687443838748085,,0.07058418000881167,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,64,0.010084823262381136,,0.07299106636340526,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,65,0.009193017163840935,,0.06924199368080201,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,66,0.009618879743434554,,0.07129927583440783,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,67,0.00882777992526123,,0.06788801819721758,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,68,0.009791496024003142,,0.07139305991951465,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,69,0.009504649598254276,,0.0688008413354456,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,70,0.009656154519061521,,0.07089990691528417,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,71,0.010355543982064635,,0.07221932676498086,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,72,0.00961716464455409,,0.06966212031009655,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,73,0.00957319101054628,,0.07076361421098375,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,74,0.009601638237554276,,0.07002228400301903,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,75,0.009054707087473558,,0.06864374727384658,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,76,0.008823816201776977,,0.06798900174002726,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,77,0.009160882442222074,,0.06925269624351557,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,78,0.009901205920865538,,0.07100192857076562,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,79,0.009430801271550928,,0.069114156950784,,0.001
LSTM4_2f2a4e4b,LSTM4,loso_subject_S001,80,0.00878745815605673,,0.06726969859867801,,0.001
