model_id,architecture_id,fold_id,epoch,train_loss,val_loss,train_mae,val_mae,lr
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,1,0.699433743870207,,0.6592180108201915,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,2,0.2892985601122652,,0.40936896962852315,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,3,0.22545950003550388,,0.336808504832202,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,4,0.14013005279833532,,0.27287461012601855,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,5,0.1797512047619013,,0.32297380973809753,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,6,0.11497432064618274,,0.24605047330260277,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,7,0.09112624123547997,,0.21594354580959368,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,8,0.10154671948623907,,0.23056994612360823,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,9,0.10209019166610107,,0.22401566866399913,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,10,0.0758539759955401,,0.1981412344708525,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,11,0.051534563355782104,,0.1636432982981205,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,12,0.059600450835142545,,0.18417107611894606,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,13,0.06836747919562562,,0.18779711344375694,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,14,0.07211689013176886,,0.19981185734785836,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,15,0.06918198203443196,,0.1991775841034692,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,16,0.07454613198201043,,0.19264933960191136,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,17,0.04896831432385531,,0.15942982029298255,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,18,0.050202601602108314,,0.1589139699935913,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,19,0.04152440130790888,,0.15700129166502377,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S001,20,0.038705767502311764,,0.14951919924853177,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,1,0.6703239198021451,,0.6334267938683514,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,2,0.4165712183021983,,0.505225425943454,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,3,0.19264004919033637,,0.3209380629410768,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,4,0.17142204567394734,,0.3032095088846412,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,5,0.14569647951013645,,0.26964641798837885,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,6,0.10133478613981442,,0.2237497191933096,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,7,0.09448211424049553,,0.22035114674596512,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,8,0.07628272037086645,,0.20866416436454033,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,9,0.07710306669454167,,0.20271815796001658,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,10,0.06740382664595021,,0.19479996689511478,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,11,0.06637623921828897,,0.1915806730250956,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,12,0.08867832272335673,,0.19990474763618868,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,13,0.08858787257539374,,0.20606490564872534,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,14,0.045517372143540236,,0.15463315990258558,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,15,0.05013599948750426,,0.16393339320232994,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,16,0.06104297372109315,,0.1819094774172545,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,17,0.0430394545354025,,0.15035696852642327,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,18,0.046171258959495455,,0.15440123508002843,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,19,0.04940029928153966,,0.15867348779340754,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S002,20,0.049728779918363976,,0.16555865937511868,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,1,0.7149281432665557,,0.6795854047595512,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,2,0.2885345816153948,,0.40498791760740466,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,3,0.2177144895835169,,0.35595175885777064,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,4,0.19357911646055134,,0.3375002794975975,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,5,0.12898066392829657,,0.2683886517696934,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,6,0.08727202429280655,,0.22250803244449133,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,7,0.05387776345423765,,0.16799777794648976,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,8,0.13344468407655954,,0.23619499663791255,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,9,0.05701608160512296,,0.17608955148312874,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,10,0.05435830935826018,,0.16521122702029134,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,11,0.06191067212311999,,0.17661258550802728,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,12,0.07276509259393307,,0.1975149297546628,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,13,0.06354981239701774,,0.18428383589524167,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,14,0.05793093131144772,,0.1784356921937428,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,15,0.05445503241072371,,0.17563591430025904,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,16,0.05190892001247338,,0.1657286362431171,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,17,0.058223858836593076,,0.18491340425971942,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,18,0.04675606191538844,,0.15619455723121423,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,19,0.042820157993892584,,0.15144152044988055,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S003,20,0.06766714489166027,,0.18183949928868215,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,1,0.6141064965814581,,0.6397046868915037,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,2,0.37471850378019256,,0.46855396136590644,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,3,0.2052224340877232,,0.3384234812555663,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,4,0.17698223632124632,,0.3172498042647546,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,5,0.13749957012581565,,0.26192750602502873,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,6,0.09539141622451436,,0.2177147668859454,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,7,0.07456574948034138,,0.19812317324783207,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,8,0.0845904266207444,,0.21135720742847325,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,9,0.12048311688624952,,0.23874920742656183,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,10,0.07505456809869906,,0.20815954424771432,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,11,0.0771934811920627,,0.20476698515612518,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,12,0.0808249107810729,,0.2094376631233676,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,13,0.05393240749740611,,0.17810219713191122,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,14,0.0523690838118818,,0.1720322905165547,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,15,0.056343415280432144,,0.17336010968522408,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,16,0.049743202874125474,,0.15825875150516577,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,17,0.05938778207486387,,0.17205079880133017,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,18,0.057083381005362595,,0.1675319928332604,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,19,0.04750144249841463,,0.1552397450718253,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S004,20,0.04646867084350284,,0.16154879720646367,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,1,0.6400057558844919,,0.634415174074795,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,2,0.2508597260851251,,0.3744815619354663,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,3,0.19158318121877055,,0.31964475512504575,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,4,0.15609881659726735,,0.30359777414280437,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,5,0.14675491506881688,,0.2766077194913574,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,6,0.0883628046464013,,0.22558832083059394,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,7,0.07979746548377949,,0.21434875598420267,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,8,0.10289585856882774,,0.23923163888247118,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,9,0.08211794140191911,,0.20766332669102627,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,10,0.07475679527725214,,0.1962270978352298,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,11,0.060261492640103984,,0.18573614618052606,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,12,0.09070526090491077,,0.23157116734463234,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,13,0.06901022160628244,,0.19215392031099485,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,14,0.05316250088543672,,0.17072908617880034,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,15,0.056536649098700806,,0.16330947168495344,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,16,0.043575781768430834,,0.15251682311296463,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,17,0.04897745280081163,,0.16710150907868923,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,18,0.05364087882765528,,0.1761991180414739,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,19,0.043534836685284975,,0.1546190740492033,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S005,20,0.03676375446355213,,0.14211604006912398,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,1,0.7129268054306734,,0.6774895492493602,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,2,0.3151250294442785,,0.4257469423329568,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,3,0.19276751046480262,,0.3336653156228074,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,4,0.15346001672232287,,0.2771902853865712,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,5,0.09155391710512924,,0.21205699699418698,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,6,0.11737066833420567,,0.268244069138961,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,7,0.12498621295510386,,0.2672522269983582,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,8,0.08821782221455858,,0.21802726269474287,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,9,0.08565572467230752,,0.2165625150711,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,10,0.059254019339167074,,0.1811353835559335,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,11,0.07006191287202329,,0.19052566901832668,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,12,0.056423155575133416,,0.1734519513503549,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,13,0.048344204118183784,,0.15870450414376816,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,14,0.08148099601350713,,0.1974367030380946,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,15,0.054750086750296245,,0.17831338797073476,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,16,0.045001391416463636,,0.15806857511628097,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,17,0.052435857538518364,,0.16257664292748206,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,18,0.0528695804087442,,0.1672111734016696,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,19,0.04342746976983628,,0.15425550544322444,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S006,20,0.04182487071321193,,0.149022995076708,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S007,1,0.5856720297353866,,0.6086276568521082,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S007,2,0.3206019538680694,,0.42855780515698044,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S007,3,0.2803269457235134,,0.39735063150817274,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S007,4,0.22451448087653547,,0.35821290395764355,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S007,5,0.12631200363226477,,0.25368406578557556,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S007,6,0.10681073278267837,,0.24228807844318986,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S007,7,0.08418853489265114,,0.21850472430582918,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S007,8,0.07714340271223336,,0.21145478779681368,,0.001
LSTM7_4c5fc8b1,LSTM7,loso_subject_S007,9,0.09173315645194022,,0.23096231943349432,,0.001
