model_id,architecture_id,fold_id,epoch,train_loss,val_loss,train_mae,val_mae,lr
LSTM7_4d83894b,LSTM7,loso_subject_S001,1,0.7831404563153117,,0.7002714393524135,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,2,0.4989362825978854,,0.5638299625276065,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,3,0.37159286322790513,,0.42989868220941324,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,4,0.24303565161918836,,0.3576921875611311,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,5,0.19123263348592445,,0.3186522336313274,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,6,0.16848102767764386,,0.3004239870053602,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,7,0.1566953514872982,,0.27012774899102204,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,8,0.1473501547120466,,0.27616611079926173,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,9,0.1298409442547936,,0.25216263466764516,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,10,0.12913399551307964,,0.24632437724801826,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,11,0.12480327332812566,,0.25106416222434946,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,12,0.10418329830139467,,0.22930822030800144,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,13,0.12430892025032535,,0.2500365356142383,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,14,0.1294293784793387,,0.24828956301165064,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,15,0.10705054017911074,,0.22349916881222914,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,16,0.09320803829310845,,0.20332550762857243,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,17,0.10568951017992775,,0.21449037258535986,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,18,0.10818996034610857,,0.21449227325572837,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,19,0.08833216031603004,,0.1977669276615105,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S001,20,0.08613008504631225,,0.2006600204423615,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,1,0.7225244126592147,,0.6678955617142861,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,2,0.5703552769227772,,0.5987295885466251,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,3,0.3080843210993432,,0.40631695367096077,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,4,0.24366557957301258,,0.3710956529959836,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,5,0.18460416809090827,,0.32864005614943725,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,6,0.2005648306791633,,0.3271637408815091,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,7,0.17310274528768385,,0.30050236952731224,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,8,0.147349677361609,,0.2668777850918727,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,9,0.11641152447988952,,0.23531359542944036,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,10,0.14228672105832865,,0.2699619760811773,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,11,0.11118104796365304,,0.22498361770779826,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,12,0.14406682550230504,,0.2732977455401385,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,13,0.11989153773994386,,0.24497708171916968,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,14,0.10153628562270861,,0.22574745567207366,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,15,0.15118783139505726,,0.2624742954236562,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,16,0.11653115278997764,,0.23179050890281908,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,17,0.10043013233957943,,0.21183730173306387,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,18,0.10011913998865477,,0.21594584637755965,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,19,0.09245329204670552,,0.2119806317831827,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S002,20,0.10524042658580691,,0.21311291411585673,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S003,1,0.6597453421923226,,0.6398933532171264,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S003,2,0.37048491812021433,,0.45476653393282673,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S003,3,0.2658516878601088,,0.39809594603478443,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S003,4,0.18067652057142258,,0.31492668258179773,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S003,5,0.14325891537982885,,0.2777693561085646,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S003,6,0.1797746785581083,,0.30433389486550916,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S003,7,0.11717097671465962,,0.2540902366534362,,0.001
LSTM7_4d83894b,LSTM7,loso_subject_S003,8,0.1600207854887908,,0.2852412171627092,,0.001
