model_id,architecture_id,fold_id,epoch,train_loss,val_loss,train_mae,val_mae,lr
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,1,0.87629338271659,,0.7562239293394417,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,2,0.586596739287729,,0.5751803151492415,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,3,0.36458033571051884,,0.43286804150918434,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,4,0.33050894494136346,,0.4098772756755352,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,5,0.23120977826384378,,0.3541827068632019,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,6,0.2920278980300344,,0.4228020763088917,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,7,0.1775935642902964,,0.3088145208641373,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,8,0.1691835315576915,,0.3113790476116641,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,9,0.1572114268833565,,0.2627186898013641,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,10,0.11857718250007722,,0.2354200965757,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,11,0.17686362966236754,,0.27786287642244634,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,12,0.11497827334297371,,0.24375372910550955,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,13,0.09893265861600381,,0.20923376233670218,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,14,0.09278642350229724,,0.21911294109605509,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,15,0.0971008761918397,,0.2058017663914582,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,16,0.07632159424663863,,0.18975616006244872,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,17,0.06726522221438715,,0.1857715089901768,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,18,0.085329210073366,,0.20832099896566622,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,19,0.06131492482923806,,0.16523805484175683,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S001,20,0.06693862132479211,,0.17875719728140996,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S002,1,0.8039865792556611,,0.7288585047163259,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S002,2,0.43533591312002107,,0.48710128090681165,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S002,3,0.4065495635365438,,0.46620719701507096,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S002,4,0.36678894838485837,,0.4593517706936608,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S002,5,0.23468296711589248,,0.3525104090470207,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S002,6,0.18621696643790242,,0.3055572253485892,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S002,7,0.13617152336934274,,0.267527402307465,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S002,8,0.1856509545716775,,0.31762089047751724,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S002,9,0.13654906398036434,,0.26793819186491147,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S002,10,0.126001337534631,,0.2447584543016649,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S002,11,0.1146370535562001,,0.23042827890158105,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S002,12,0.0972970044801679,,0.22713025269716827,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S002,13,0.08820894914829443,,0.20219167729235668,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S002,14,0.08071435564347813,,0.19861838299977153,,0.001
LSTM7_a8dbf2a9,LSTM7,loso_subject_S002,15,0.06382932008444908,,0.17942928968089142,,0.001
