model_id,architecture_id,fold_id,epoch,train_loss,val_loss,train_mae,val_mae,lr
LSTM8_7db78506,LSTM8,loso_subject_S001,1,0.7490401988871759,,0.6829923203714737,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,2,0.36871088369289506,,0.4643682167161165,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,3,0.25877238627489113,,0.3691409201383954,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,4,0.2293239297872699,,0.3320883472745375,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,5,0.15714388667135898,,0.2879927139956413,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,6,0.18485940024952358,,0.3248957386240363,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,7,0.13404663195677397,,0.25999553665155317,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,8,0.12186379333469653,,0.25844667081880135,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,9,0.11535733041082716,,0.22978416145438466,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,10,0.10321189317699286,,0.2250086318860512,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,11,0.08222725982252485,,0.19884793081025526,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,12,0.09366093872183516,,0.22723323880217788,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,13,0.09459968025671182,,0.22160922985796522,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,14,0.06588366095075332,,0.18376925635356,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,15,0.07585397757616082,,0.1977113023423022,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,16,0.08525821278169865,,0.20344222633440684,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,17,0.060342758205412635,,0.18382477385514392,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,18,0.07916955011769017,,0.20013238895093885,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,19,0.061390007914912816,,0.17471427694190203,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S001,20,0.06898369892055266,,0.17784945934829188,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,1,0.7026065051744397,,0.6823021789510275,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,2,0.3044079926767804,,0.4088609381599682,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,3,0.2158284588722476,,0.34704961746531343,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,4,0.23350578769708355,,0.3652841403702865,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,5,0.24807779056810525,,0.35965615037923065,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,6,0.1694271683584671,,0.30021803469665004,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,7,0.1780548261967106,,0.290711095109693,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,8,0.1340027738059975,,0.27026611577647275,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,9,0.16048631355882623,,0.2787282550610302,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,10,0.14040838350991047,,0.2729394834838397,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,11,0.11137342772928195,,0.24891340095222264,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,12,0.10313017184612926,,0.23735016431165346,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,13,0.08863170532337578,,0.2179163990739383,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,14,0.09566568354446119,,0.23161663294904455,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,15,0.10698673374820418,,0.2034045191351241,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,16,0.07231840228345439,,0.19701309539877357,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,17,0.10190814130852102,,0.23038303973111596,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,18,0.06583280364851621,,0.17915328992905452,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,19,0.06974043636534213,,0.18532923501312465,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S002,20,0.07494264510120147,,0.19172921240462987,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,1,0.6079419446532639,,0.6149161969706949,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,2,0.3513336957231002,,0.45458942380607775,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,3,0.22460193528069913,,0.35919628488146127,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,4,0.19686479017306496,,0.3264419035305317,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,5,0.18341921140768597,,0.3104166799857865,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,6,0.156599314669712,,0.27628701522042554,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,7,0.1300179781551541,,0.25990660138671545,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,8,0.18812508661659147,,0.29876485999969077,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,9,0.13350782634959807,,0.26158818593292177,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,10,0.09740732414284026,,0.2207072325641779,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,11,0.10044110818834133,,0.22948548339110325,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,12,0.12047719475805968,,0.24187612948391707,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,13,0.13615184512987305,,0.2425562614346181,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,14,0.09547414944520217,,0.21124298429090535,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,15,0.1328598509870707,,0.22549540473041044,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,16,0.07345138234050125,,0.19262191456268957,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,17,0.07935953403071357,,0.20147194036660632,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,18,0.08040399056849176,,0.1943368605608888,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,19,0.07079994497519468,,0.19463029095952283,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S003,20,0.0776247200889232,,0.20271715024720827,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,1,0.7412527377890077,,0.6879523979154175,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,2,0.3582549944595283,,0.4624781723686321,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,3,0.18822448140984083,,0.32525767530955957,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,4,0.19386920875808347,,0.33117563032104586,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,5,0.1941924399295808,,0.3251985736905101,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,6,0.13077943321020472,,0.26465886347218903,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,7,0.1276129809742191,,0.26366080145189863,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,8,0.1099359397734599,,0.2325432422810686,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,9,0.1301800064149335,,0.2680774681537808,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,10,0.14047276823674076,,0.273893759535726,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,11,0.09622632306693735,,0.21990787957287478,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,12,0.10630371572183513,,0.24610000343513702,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,13,0.11877422146537497,,0.2565119809688565,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,14,0.05997311614884599,,0.17587565881629547,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,15,0.06628073658951011,,0.18179718848920154,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,16,0.06268589494516028,,0.17947366775688298,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,17,0.07535317210835557,,0.20504932251652916,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,18,0.07884815094008217,,0.20519724658907887,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,19,0.06982905652184418,,0.18613606644515507,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S004,20,0.05362346616202776,,0.16240462509101022,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S005,1,0.7829569678120372,,0.6941958599214715,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S005,2,0.4218451816625722,,0.4752060016802588,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S005,3,0.21769675709147457,,0.3574622829557378,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S005,4,0.25419686344141285,,0.38705022509850184,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S005,5,0.17580222840484733,,0.3022186887802793,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S005,6,0.15307007268838482,,0.2771783739351204,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S005,7,0.15640248669036677,,0.2965090203385623,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S005,8,0.12429416585488282,,0.26363426234692927,,0.001
LSTM8_7db78506,LSTM8,loso_subject_S005,9,0.15535369652692815,,0.2730149901479163,,0.001
