architecture_id,model_id,family,target,feature_set,with_abs,wavelet_mode,window_size_sec,sequence_length,stride_sec,sample_stride_sec,model_name,full_model_name,hyperparams_json
Lin2,Lin2_807ab7de,Lin,lt1,EMG,True,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) EMG with_abs wavelet=none LT1,"{""alpha"": 10}"
Lin2,Lin2_0659e5b6,Lin,lt1,EMG,False,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) EMG no_abs wavelet=none LT1,"{""alpha"": 10}"
Lin2,Lin2_56c6da5d,Lin,lt1,NIRS,True,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) NIRS with_abs wavelet=none LT1,"{""alpha"": 10}"
Lin2,Lin2_d7161d39,Lin,lt1,NIRS,False,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) NIRS no_abs wavelet=none LT1,"{""alpha"": 10}"
Lin2,Lin2_e16a5ada,Lin,lt1,HRV,True,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) HRV with_abs wavelet=none LT1,"{""alpha"": 10}"
Lin2,Lin2_26cc8d00,Lin,lt1,HRV,False,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) HRV no_abs wavelet=none LT1,"{""alpha"": 10}"
Lin2,Lin2_3476e19e,Lin,lt1,EMG+NIRS,True,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) EMG+NIRS with_abs wavelet=none LT1,"{""alpha"": 10}"
Lin2,Lin2_a4277609,Lin,lt1,EMG+NIRS,False,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) EMG+NIRS no_abs wavelet=none LT1,"{""alpha"": 10}"
Lin2,Lin2_a1015c7b,Lin,lt1,EMG+NIRS+HRV,True,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) EMG+NIRS+HRV with_abs wavelet=none LT1,"{""alpha"": 10}"
Lin2,Lin2_8ddba9f2,Lin,lt1,EMG+NIRS+HRV,False,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) EMG+NIRS+HRV no_abs wavelet=none LT1,"{""alpha"": 10}"
Lin2,Lin2_b84ae13b,Lin,lt2,EMG,True,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) EMG with_abs wavelet=none LT2,"{""alpha"": 10}"
Lin2,Lin2_b67f9a52,Lin,lt2,EMG,False,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) EMG no_abs wavelet=none LT2,"{""alpha"": 10}"
Lin2,Lin2_341b5ade,Lin,lt2,NIRS,True,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) NIRS with_abs wavelet=none LT2,"{""alpha"": 10}"
Lin2,Lin2_fd17b3dd,Lin,lt2,NIRS,False,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) NIRS no_abs wavelet=none LT2,"{""alpha"": 10}"
Lin2,Lin2_f1add0c9,Lin,lt2,HRV,True,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) HRV with_abs wavelet=none LT2,"{""alpha"": 10}"
Lin2,Lin2_d21fe438,Lin,lt2,HRV,False,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) HRV no_abs wavelet=none LT2,"{""alpha"": 10}"
Lin2,Lin2_3229dbc3,Lin,lt2,EMG+NIRS,True,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) EMG+NIRS with_abs wavelet=none LT2,"{""alpha"": 10}"
Lin2,Lin2_0b68e929,Lin,lt2,EMG+NIRS,False,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) EMG+NIRS no_abs wavelet=none LT2,"{""alpha"": 10}"
Lin2,Lin2_d68132b2,Lin,lt2,EMG+NIRS+HRV,True,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) EMG+NIRS+HRV with_abs wavelet=none LT2,"{""alpha"": 10}"
Lin2,Lin2_c6f0845b,Lin,lt2,EMG+NIRS+HRV,False,none,30,1,0,5,Ridge(alpha=10),Ridge(alpha=10) EMG+NIRS+HRV no_abs wavelet=none LT2,"{""alpha"": 10}"
