architecture_id,model_id,family,target,feature_set,with_abs,wavelet_mode,window_size_sec,sequence_length,stride_sec,sample_stride_sec,model_name,full_model_name,hyperparams_json
TCN2,TCN2_b58a1fe9,TCN,lt2,EMG,True,none,30,60,5,5,"PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001)","PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001) EMG with_abs wavelet=none LT2","{""batch_size"": 64, ""checkpoint_every_epochs"": 4, ""dilations"": [1, 2, 4, 8, 16], ""dropout"": 0.3, ""internal_stride_sec"": 5, ""kernel_size"": 3, ""lr"": 0.001, ""max_epochs"": 80, ""n_channels"": 32, ""outer_stride_sec"": 5, ""seq_len"": 60, ""weight_decay"": 0.001}"
TCN2,TCN2_d796e9cc,TCN,lt2,EMG,False,none,30,60,5,5,"PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001)","PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001) EMG no_abs wavelet=none LT2","{""batch_size"": 64, ""checkpoint_every_epochs"": 4, ""dilations"": [1, 2, 4, 8, 16], ""dropout"": 0.3, ""internal_stride_sec"": 5, ""kernel_size"": 3, ""lr"": 0.001, ""max_epochs"": 80, ""n_channels"": 32, ""outer_stride_sec"": 5, ""seq_len"": 60, ""weight_decay"": 0.001}"
TCN2,TCN2_6b6d3d86,TCN,lt2,EMG+NIRS,True,none,30,60,5,5,"PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001)","PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001) EMG+NIRS with_abs wavelet=none LT2","{""batch_size"": 64, ""checkpoint_every_epochs"": 4, ""dilations"": [1, 2, 4, 8, 16], ""dropout"": 0.3, ""internal_stride_sec"": 5, ""kernel_size"": 3, ""lr"": 0.001, ""max_epochs"": 80, ""n_channels"": 32, ""outer_stride_sec"": 5, ""seq_len"": 60, ""weight_decay"": 0.001}"
TCN2,TCN2_ab1f3fcc,TCN,lt2,EMG+NIRS,False,none,30,60,5,5,"PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001)","PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001) EMG+NIRS no_abs wavelet=none LT2","{""batch_size"": 64, ""checkpoint_every_epochs"": 4, ""dilations"": [1, 2, 4, 8, 16], ""dropout"": 0.3, ""internal_stride_sec"": 5, ""kernel_size"": 3, ""lr"": 0.001, ""max_epochs"": 80, ""n_channels"": 32, ""outer_stride_sec"": 5, ""seq_len"": 60, ""weight_decay"": 0.001}"
TCN2,TCN2_c4c54c71,TCN,lt2,EMG+NIRS+HRV,True,none,30,60,5,5,"PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001)","PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001) EMG+NIRS+HRV with_abs wavelet=none LT2","{""batch_size"": 64, ""checkpoint_every_epochs"": 4, ""dilations"": [1, 2, 4, 8, 16], ""dropout"": 0.3, ""internal_stride_sec"": 5, ""kernel_size"": 3, ""lr"": 0.001, ""max_epochs"": 80, ""n_channels"": 32, ""outer_stride_sec"": 5, ""seq_len"": 60, ""weight_decay"": 0.001}"
TCN2,TCN2_0dba5821,TCN,lt2,EMG+NIRS+HRV,False,none,30,60,5,5,"PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001)","PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001) EMG+NIRS+HRV no_abs wavelet=none LT2","{""batch_size"": 64, ""checkpoint_every_epochs"": 4, ""dilations"": [1, 2, 4, 8, 16], ""dropout"": 0.3, ""internal_stride_sec"": 5, ""kernel_size"": 3, ""lr"": 0.001, ""max_epochs"": 80, ""n_channels"": 32, ""outer_stride_sec"": 5, ""seq_len"": 60, ""weight_decay"": 0.001}"
TCN2,TCN2_7fba62e1,TCN,lt1,EMG,True,none,30,60,5,5,"PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001)","PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001) EMG with_abs wavelet=none LT1","{""batch_size"": 64, ""checkpoint_every_epochs"": 4, ""dilations"": [1, 2, 4, 8, 16], ""dropout"": 0.3, ""internal_stride_sec"": 5, ""kernel_size"": 3, ""lr"": 0.001, ""max_epochs"": 80, ""n_channels"": 32, ""outer_stride_sec"": 5, ""seq_len"": 60, ""weight_decay"": 0.001}"
TCN2,TCN2_46a773c4,TCN,lt1,EMG,False,none,30,60,5,5,"PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001)","PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001) EMG no_abs wavelet=none LT1","{""batch_size"": 64, ""checkpoint_every_epochs"": 4, ""dilations"": [1, 2, 4, 8, 16], ""dropout"": 0.3, ""internal_stride_sec"": 5, ""kernel_size"": 3, ""lr"": 0.001, ""max_epochs"": 80, ""n_channels"": 32, ""outer_stride_sec"": 5, ""seq_len"": 60, ""weight_decay"": 0.001}"
TCN2,TCN2_39806782,TCN,lt1,EMG+NIRS,True,none,30,60,5,5,"PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001)","PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001) EMG+NIRS with_abs wavelet=none LT1","{""batch_size"": 64, ""checkpoint_every_epochs"": 4, ""dilations"": [1, 2, 4, 8, 16], ""dropout"": 0.3, ""internal_stride_sec"": 5, ""kernel_size"": 3, ""lr"": 0.001, ""max_epochs"": 80, ""n_channels"": 32, ""outer_stride_sec"": 5, ""seq_len"": 60, ""weight_decay"": 0.001}"
TCN2,TCN2_866dd95f,TCN,lt1,EMG+NIRS,False,none,30,60,5,5,"PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001)","PureTCN(batch_size=64,checkpoint_every_epochs=4,dilations=[1, 2, 4, 8, 16],dropout=0.3,internal_stride_sec=5,kernel_size=3,lr=0.001,max_epochs=80,n_channels=32,outer_stride_sec=5,seq_len=60,weight_decay=0.001) EMG+NIRS no_abs wavelet=none LT1","{""batch_size"": 64, ""checkpoint_every_epochs"": 4, ""dilations"": [1, 2, 4, 8, 16], ""dropout"": 0.3, ""internal_stride_sec"": 5, ""kernel_size"": 3, ""lr"": 0.001, ""max_epochs"": 80, ""n_channels"": 32, ""outer_stride_sec"": 5, ""seq_len"": 60, ""weight_decay"": 0.001}"
