variant,feature_set,target,subject_id,mae_min,r2
with_abs,EMG,lt2,S001,4.4847,0.175
with_abs,EMG,lt2,S002,4.4703,-1.188
with_abs,EMG,lt2,S003,7.1728,-0.489
with_abs,EMG,lt2,S004,3.999,-0.436
with_abs,EMG,lt2,S005,4.8528,0.075
with_abs,EMG,lt2,S006,3.2283,-0.344
with_abs,EMG,lt2,S007,9.1855,-12.764
with_abs,EMG,lt2,S008,4.7077,-1.506
with_abs,EMG,lt2,S009,9.5686,-0.895
with_abs,EMG,lt2,S010,8.224,-0.756
with_abs,EMG,lt2,S011,3.8413,-0.101
with_abs,EMG,lt2,S012,3.1344,0.004
with_abs,EMG,lt2,S013,6.4535,-0.525
with_abs,EMG,lt2,S014,4.554,0.005
with_abs,EMG,lt2,S016,3.9561,-0.179
with_abs,EMG,lt2,S017,5.6154,-0.679
with_abs,EMG,lt2,S018,5.8299,-8.953
with_abs,EMG,lt2,S019,7.9481,-0.592
noabs,EMG,lt2,S001,4.457,0.178
noabs,EMG,lt2,S002,4.4728,-1.189
noabs,EMG,lt2,S003,7.1471,-0.485
noabs,EMG,lt2,S004,4.0172,-0.444
noabs,EMG,lt2,S005,4.8316,0.083
noabs,EMG,lt2,S006,3.2265,-0.343
noabs,EMG,lt2,S007,9.193,-12.785
noabs,EMG,lt2,S008,4.6808,-1.498
noabs,EMG,lt2,S009,9.5582,-0.893
noabs,EMG,lt2,S010,8.2798,-0.764
noabs,EMG,lt2,S011,3.7881,-0.079
noabs,EMG,lt2,S012,3.0778,0.016
noabs,EMG,lt2,S013,6.4923,-0.527
noabs,EMG,lt2,S014,4.6105,-0.013
noabs,EMG,lt2,S016,3.9946,-0.187
noabs,EMG,lt2,S017,5.6352,-0.682
noabs,EMG,lt2,S018,5.8358,-8.971
noabs,EMG,lt2,S019,7.9751,-0.601
with_abs,NIRS,lt2,S001,4.9798,-0.0
with_abs,NIRS,lt2,S002,4.5378,-1.243
with_abs,NIRS,lt2,S003,7.4345,-0.541
with_abs,NIRS,lt2,S004,4.0363,-0.476
with_abs,NIRS,lt2,S005,4.8533,0.073
with_abs,NIRS,lt2,S006,3.2288,-0.36
with_abs,NIRS,lt2,S007,9.2804,-13.029
with_abs,NIRS,lt2,S008,4.8081,-1.603
with_abs,NIRS,lt2,S009,9.7862,-0.954
with_abs,NIRS,lt2,S010,8.3846,-0.797
with_abs,NIRS,lt2,S011,3.9771,-0.164
with_abs,NIRS,lt2,S012,3.3991,-0.092
with_abs,NIRS,lt2,S013,6.4674,-0.545
with_abs,NIRS,lt2,S014,4.8198,-0.085
with_abs,NIRS,lt2,S016,4.2583,-0.287
with_abs,NIRS,lt2,S017,5.575,-0.691
with_abs,NIRS,lt2,S018,5.9258,-9.25
with_abs,NIRS,lt2,S019,7.8737,-0.582
noabs,NIRS,lt2,S001,4.9764,-0.0
noabs,NIRS,lt2,S002,4.5365,-1.268
noabs,NIRS,lt2,S003,7.3389,-0.519
noabs,NIRS,lt2,S004,4.0002,-0.466
noabs,NIRS,lt2,S005,4.8573,0.07
noabs,NIRS,lt2,S006,3.1682,-0.336
noabs,NIRS,lt2,S007,9.272,-13.005
noabs,NIRS,lt2,S008,4.6556,-1.532
noabs,NIRS,lt2,S009,9.612,-0.916
noabs,NIRS,lt2,S010,8.3609,-0.788
noabs,NIRS,lt2,S011,3.9745,-0.164
noabs,NIRS,lt2,S012,3.2195,-0.058
noabs,NIRS,lt2,S013,6.5008,-0.556
noabs,NIRS,lt2,S014,4.815,-0.082
noabs,NIRS,lt2,S016,4.1597,-0.268
noabs,NIRS,lt2,S017,5.5775,-0.685
noabs,NIRS,lt2,S018,5.9287,-9.259
noabs,NIRS,lt2,S019,7.8486,-0.577
with_abs,EMG+NIRS,lt2,S001,4.4654,0.174
with_abs,EMG+NIRS,lt2,S002,4.4777,-1.189
with_abs,EMG+NIRS,lt2,S003,7.438,-0.538
with_abs,EMG+NIRS,lt2,S004,3.9725,-0.429
with_abs,EMG+NIRS,lt2,S005,4.8452,0.078
with_abs,EMG+NIRS,lt2,S006,3.2272,-0.344
with_abs,EMG+NIRS,lt2,S007,9.1809,-12.751
with_abs,EMG+NIRS,lt2,S008,4.6929,-1.496
with_abs,EMG+NIRS,lt2,S009,9.6185,-0.903
with_abs,EMG+NIRS,lt2,S010,8.3275,-0.773
with_abs,EMG+NIRS,lt2,S011,3.8464,-0.1
with_abs,EMG+NIRS,lt2,S012,3.0706,0.025
with_abs,EMG+NIRS,lt2,S013,6.4007,-0.511
with_abs,EMG+NIRS,lt2,S014,4.5363,0.012
with_abs,EMG+NIRS,lt2,S016,3.904,-0.169
with_abs,EMG+NIRS,lt2,S017,5.6047,-0.677
with_abs,EMG+NIRS,lt2,S018,5.8356,-8.97
with_abs,EMG+NIRS,lt2,S019,7.9753,-0.601
noabs,EMG+NIRS,lt2,S001,4.5312,0.16
noabs,EMG+NIRS,lt2,S002,4.4691,-1.183
noabs,EMG+NIRS,lt2,S003,7.3872,-0.523
noabs,EMG+NIRS,lt2,S004,3.9351,-0.423
noabs,EMG+NIRS,lt2,S005,4.8703,0.067
noabs,EMG+NIRS,lt2,S006,3.2284,-0.345
noabs,EMG+NIRS,lt2,S007,9.1853,-12.763
noabs,EMG+NIRS,lt2,S008,4.6895,-1.496
noabs,EMG+NIRS,lt2,S009,9.5712,-0.897
noabs,EMG+NIRS,lt2,S010,8.3041,-0.77
noabs,EMG+NIRS,lt2,S011,3.8649,-0.107
noabs,EMG+NIRS,lt2,S012,3.0916,0.027
noabs,EMG+NIRS,lt2,S013,6.5646,-0.566
noabs,EMG+NIRS,lt2,S014,4.5863,0.004
noabs,EMG+NIRS,lt2,S016,3.8735,-0.162
noabs,EMG+NIRS,lt2,S017,5.5957,-0.677
noabs,EMG+NIRS,lt2,S018,5.8273,-8.945
noabs,EMG+NIRS,lt2,S019,7.9711,-0.6
with_abs,EMG+NIRS+HRV,lt2,S001,4.4771,0.176
with_abs,EMG+NIRS+HRV,lt2,S002,4.434,-1.178
with_abs,EMG+NIRS+HRV,lt2,S003,7.3417,-0.513
with_abs,EMG+NIRS+HRV,lt2,S004,4.0283,-0.448
with_abs,EMG+NIRS+HRV,lt2,S005,4.7338,0.117
with_abs,EMG+NIRS+HRV,lt2,S006,3.0704,-0.284
with_abs,EMG+NIRS+HRV,lt2,S007,9.1816,-12.753
with_abs,EMG+NIRS+HRV,lt2,S008,4.7423,-1.511
with_abs,EMG+NIRS+HRV,lt2,S009,9.3658,-0.874
with_abs,EMG+NIRS+HRV,lt2,S010,8.1877,-0.755
with_abs,EMG+NIRS+HRV,lt2,S011,3.7428,-0.059
with_abs,EMG+NIRS+HRV,lt2,S012,3.0547,0.028
with_abs,EMG+NIRS+HRV,lt2,S013,6.2255,-0.47
with_abs,EMG+NIRS+HRV,lt2,S014,4.5958,0.008
with_abs,EMG+NIRS+HRV,lt2,S016,3.9819,-0.183
with_abs,EMG+NIRS+HRV,lt2,S017,5.4996,-0.654
with_abs,EMG+NIRS+HRV,lt2,S018,5.8295,-8.952
with_abs,EMG+NIRS+HRV,lt2,S019,7.7602,-0.55
noabs,EMG+NIRS+HRV,lt2,S001,4.504,0.172
noabs,EMG+NIRS+HRV,lt2,S002,4.4196,-1.177
noabs,EMG+NIRS+HRV,lt2,S003,7.2605,-0.495
noabs,EMG+NIRS+HRV,lt2,S004,3.9057,-0.409
noabs,EMG+NIRS+HRV,lt2,S005,4.8166,0.089
noabs,EMG+NIRS+HRV,lt2,S006,3.1835,-0.32
noabs,EMG+NIRS+HRV,lt2,S007,9.1863,-12.766
noabs,EMG+NIRS+HRV,lt2,S008,4.7242,-1.506
noabs,EMG+NIRS+HRV,lt2,S009,9.373,-0.875
noabs,EMG+NIRS+HRV,lt2,S010,8.2056,-0.757
noabs,EMG+NIRS+HRV,lt2,S011,3.7871,-0.076
noabs,EMG+NIRS+HRV,lt2,S012,3.0536,0.03
noabs,EMG+NIRS+HRV,lt2,S013,6.2521,-0.478
noabs,EMG+NIRS+HRV,lt2,S014,4.6377,-0.006
noabs,EMG+NIRS+HRV,lt2,S016,3.9744,-0.184
noabs,EMG+NIRS+HRV,lt2,S017,5.5805,-0.672
noabs,EMG+NIRS+HRV,lt2,S018,5.8387,-8.98
noabs,EMG+NIRS+HRV,lt2,S019,7.8247,-0.561
