variant,feature_set,target,subject_id,mae_min,r2
with_abs,EMG,lt2,S001,4.6203,0.145
with_abs,EMG,lt2,S002,4.0284,-0.754
with_abs,EMG,lt2,S003,6.4125,-0.295
with_abs,EMG,lt2,S004,3.7892,-0.23
with_abs,EMG,lt2,S005,5.2061,-0.123
with_abs,EMG,lt2,S006,3.0009,-0.109
with_abs,EMG,lt2,S008,4.0847,-0.979
with_abs,EMG,lt2,S009,9.221,-0.743
with_abs,EMG,lt2,S010,8.1578,-0.666
with_abs,EMG,lt2,S011,3.8148,-0.036
with_abs,EMG,lt2,S012,2.656,0.267
with_abs,EMG,lt2,S013,5.9069,-0.283
with_abs,EMG,lt2,S014,4.3424,0.135
with_abs,EMG,lt2,S016,3.3531,0.083
with_abs,EMG,lt2,S017,4.9758,-0.389
with_abs,EMG,lt2,S018,5.0429,-6.699
with_abs,EMG,lt2,S019,7.5968,-0.434
noabs,EMG,lt2,S001,4.4135,0.222
noabs,EMG,lt2,S002,4.0262,-0.765
noabs,EMG,lt2,S003,6.7898,-0.326
noabs,EMG,lt2,S004,3.7834,-0.226
noabs,EMG,lt2,S005,5.2049,-0.122
noabs,EMG,lt2,S006,3.002,-0.11
noabs,EMG,lt2,S008,4.0525,-0.943
noabs,EMG,lt2,S009,8.8467,-0.685
noabs,EMG,lt2,S010,8.1375,-0.665
noabs,EMG,lt2,S011,3.6753,0.043
noabs,EMG,lt2,S012,2.8849,0.223
noabs,EMG,lt2,S013,6.1517,-0.359
noabs,EMG,lt2,S014,4.2461,0.159
noabs,EMG,lt2,S016,3.3255,0.075
noabs,EMG,lt2,S017,4.8724,-0.368
noabs,EMG,lt2,S018,5.0777,-6.792
noabs,EMG,lt2,S019,7.5503,-0.419
with_abs,NIRS,lt2,S001,4.9506,-0.017
with_abs,NIRS,lt2,S002,4.0508,-0.788
with_abs,NIRS,lt2,S003,6.9169,-0.358
with_abs,NIRS,lt2,S004,3.8282,-0.262
with_abs,NIRS,lt2,S005,5.08,-0.044
with_abs,NIRS,lt2,S006,3.024,-0.133
with_abs,NIRS,lt2,S008,4.1125,-1.002
with_abs,NIRS,lt2,S009,9.5096,-0.839
with_abs,NIRS,lt2,S010,7.9848,-0.617
with_abs,NIRS,lt2,S011,3.8329,-0.049
with_abs,NIRS,lt2,S012,3.0635,0.141
with_abs,NIRS,lt2,S013,6.0062,-0.325
with_abs,NIRS,lt2,S014,4.1845,0.155
with_abs,NIRS,lt2,S016,3.9645,-0.102
with_abs,NIRS,lt2,S017,5.2612,-0.459
with_abs,NIRS,lt2,S018,5.1801,-7.068
with_abs,NIRS,lt2,S019,7.6927,-0.478
noabs,NIRS,lt2,S001,4.7815,0.079
noabs,NIRS,lt2,S002,3.972,-0.841
noabs,NIRS,lt2,S003,6.7888,-0.327
noabs,NIRS,lt2,S004,3.8386,-0.271
noabs,NIRS,lt2,S005,4.9874,0.009
noabs,NIRS,lt2,S006,2.6101,-0.045
noabs,NIRS,lt2,S008,4.0736,-1.114
noabs,NIRS,lt2,S009,9.4534,-0.871
noabs,NIRS,lt2,S010,8.1037,-0.67
noabs,NIRS,lt2,S011,3.8376,-0.053
noabs,NIRS,lt2,S012,3.0626,0.119
noabs,NIRS,lt2,S013,6.0895,-0.35
noabs,NIRS,lt2,S014,4.718,-0.02
noabs,NIRS,lt2,S016,4.1272,-0.171
noabs,NIRS,lt2,S017,5.3678,-0.528
noabs,NIRS,lt2,S018,5.3857,-7.641
noabs,NIRS,lt2,S019,7.6145,-0.464
with_abs,EMG+NIRS,lt2,S001,4.7032,0.11
with_abs,EMG+NIRS,lt2,S002,3.9946,-0.737
with_abs,EMG+NIRS,lt2,S003,6.6578,-0.303
with_abs,EMG+NIRS,lt2,S004,3.4886,-0.121
with_abs,EMG+NIRS,lt2,S005,5.1962,-0.115
with_abs,EMG+NIRS,lt2,S006,2.9882,-0.099
with_abs,EMG+NIRS,lt2,S008,4.0454,-0.941
with_abs,EMG+NIRS,lt2,S009,9.6708,-0.864
with_abs,EMG+NIRS,lt2,S010,7.6489,-0.55
with_abs,EMG+NIRS,lt2,S011,3.8113,-0.033
with_abs,EMG+NIRS,lt2,S012,2.972,0.194
with_abs,EMG+NIRS,lt2,S013,5.9857,-0.31
with_abs,EMG+NIRS,lt2,S014,4.2187,0.171
with_abs,EMG+NIRS,lt2,S016,3.4745,0.082
with_abs,EMG+NIRS,lt2,S017,5.1714,-0.422
with_abs,EMG+NIRS,lt2,S018,5.0167,-6.629
with_abs,EMG+NIRS,lt2,S019,7.6414,-0.448
noabs,EMG+NIRS,lt2,S001,4.6177,0.147
noabs,EMG+NIRS,lt2,S002,3.9992,-0.74
noabs,EMG+NIRS,lt2,S003,6.5615,-0.294
noabs,EMG+NIRS,lt2,S004,3.9498,-0.25
noabs,EMG+NIRS,lt2,S005,5.1981,-0.117
noabs,EMG+NIRS,lt2,S006,2.9977,-0.107
noabs,EMG+NIRS,lt2,S008,4.0541,-0.946
noabs,EMG+NIRS,lt2,S009,9.4802,-0.802
noabs,EMG+NIRS,lt2,S010,7.8131,-0.574
