variant,feature_set,target,subject_id,mae_min,r2
with_abs,EMG,lt2,S001,5.6148,-0.526
with_abs,EMG,lt2,S002,4.3675,-0.829
with_abs,EMG,lt2,S003,6.7942,-0.289
with_abs,EMG,lt2,S004,4.7364,-0.781
with_abs,EMG,lt2,S005,5.4836,-0.375
with_abs,EMG,lt2,S006,3.8533,-0.943
with_abs,EMG,lt2,S008,2.9412,0.112
with_abs,EMG,lt2,S009,6.9315,0.066
with_abs,EMG,lt2,S010,4.7711,0.451
with_abs,EMG,lt2,S011,4.4301,-0.455
with_abs,EMG,lt2,S012,2.4231,0.522
with_abs,EMG,lt2,S013,5.5801,-0.042
with_abs,EMG,lt2,S014,4.8605,-0.195
with_abs,EMG,lt2,S016,4.3798,-0.202
with_abs,EMG,lt2,S017,4.3361,0.183
with_abs,EMG,lt2,S018,1.979,-0.463
with_abs,EMG,lt2,S019,5.8111,0.246
noabs,EMG,lt2,S001,5.4083,-0.542
noabs,EMG,lt2,S002,4.6905,-1.006
noabs,EMG,lt2,S003,6.6543,-0.227
noabs,EMG,lt2,S004,5.5978,-1.429
noabs,EMG,lt2,S005,5.8571,-0.499
noabs,EMG,lt2,S006,3.8027,-0.899
noabs,EMG,lt2,S008,2.9853,0.073
noabs,EMG,lt2,S009,7.3511,-0.039
noabs,EMG,lt2,S010,5.2616,0.329
noabs,EMG,lt2,S011,4.7557,-0.567
noabs,EMG,lt2,S012,2.4606,0.496
noabs,EMG,lt2,S013,5.5176,-0.015
noabs,EMG,lt2,S014,4.1995,0.022
noabs,EMG,lt2,S016,3.4846,0.24
noabs,EMG,lt2,S017,4.9822,-0.119
noabs,EMG,lt2,S018,1.8486,-0.24
noabs,EMG,lt2,S019,6.0277,0.199
with_abs,NIRS,lt2,S001,4.888,-0.059
with_abs,NIRS,lt2,S002,3.1623,-0.043
with_abs,NIRS,lt2,S003,4.935,0.271
with_abs,NIRS,lt2,S004,2.5411,0.415
with_abs,NIRS,lt2,S005,6.1433,-0.716
with_abs,NIRS,lt2,S006,2.8638,0.05
with_abs,NIRS,lt2,S008,2.0635,0.493
with_abs,NIRS,lt2,S009,7.8055,-0.238
with_abs,NIRS,lt2,S010,5.7523,0.179
with_abs,NIRS,lt2,S011,3.4024,0.19
with_abs,NIRS,lt2,S012,2.3737,0.537
with_abs,NIRS,lt2,S013,4.2872,0.322
with_abs,NIRS,lt2,S014,3.6749,0.338
with_abs,NIRS,lt2,S016,3.9291,-0.134
with_abs,NIRS,lt2,S017,4.7817,-0.078
with_abs,NIRS,lt2,S018,2.16,-0.859
with_abs,NIRS,lt2,S019,6.0617,0.121
noabs,NIRS,lt2,S001,4.8068,0.01
noabs,NIRS,lt2,S002,2.4557,0.349
noabs,NIRS,lt2,S003,5.2595,0.178
noabs,NIRS,lt2,S004,2.5545,0.385
noabs,NIRS,lt2,S005,6.1311,-0.658
noabs,NIRS,lt2,S006,2.8388,0.062
noabs,NIRS,lt2,S008,2.4655,0.265
noabs,NIRS,lt2,S009,7.7722,-0.223
noabs,NIRS,lt2,S010,6.0255,0.092
noabs,NIRS,lt2,S011,3.0643,0.362
noabs,NIRS,lt2,S012,2.5027,0.481
noabs,NIRS,lt2,S013,4.86,0.183
noabs,NIRS,lt2,S014,3.751,0.303
noabs,NIRS,lt2,S016,3.7756,0.03
noabs,NIRS,lt2,S017,4.8604,-0.073
noabs,NIRS,lt2,S018,2.6638,-1.755
noabs,NIRS,lt2,S019,6.205,0.063
with_abs,EMG+NIRS,lt2,S001,5.7305,-0.629
with_abs,EMG+NIRS,lt2,S002,3.6094,-0.257
with_abs,EMG+NIRS,lt2,S003,6.4805,-0.161
with_abs,EMG+NIRS,lt2,S004,5.3628,-1.184
with_abs,EMG+NIRS,lt2,S005,6.1483,-0.614
with_abs,EMG+NIRS,lt2,S006,4.4248,-1.148
with_abs,EMG+NIRS,lt2,S008,2.8203,0.208
with_abs,EMG+NIRS,lt2,S009,6.2147,0.295
with_abs,EMG+NIRS,lt2,S010,4.0799,0.631
with_abs,EMG+NIRS,lt2,S011,4.4867,-0.289
with_abs,EMG+NIRS,lt2,S012,2.2785,0.571
with_abs,EMG+NIRS,lt2,S013,4.8135,0.209
with_abs,EMG+NIRS,lt2,S014,4.639,-0.155
with_abs,EMG+NIRS,lt2,S016,3.4764,0.096
with_abs,EMG+NIRS,lt2,S017,5.2938,-0.326
with_abs,EMG+NIRS,lt2,S018,1.7172,-0.05
with_abs,EMG+NIRS,lt2,S019,5.1216,0.441
noabs,EMG+NIRS,lt2,S001,5.8751,-0.648
