family,arch_label,has_cwt,noabs_ver,abs_ver,target,feature_set,mae_noabs,mae_abs,delta,delta_pct
LSTM,Stateless 30с,False,v0301,v0319,lt1,EMG,4.2337,3.9462,-0.2875,-6.79
LSTM,Stateless 30с,False,v0301,v0319,lt1,EMG+NIRS,3.5005,3.5138,0.0133,0.38
LSTM,Stateless 30с,False,v0301,v0319,lt1,EMG+NIRS+HRV,3.302,3.7084,0.4064,12.31
LSTM,Stateless 30с +CWT,True,v0302,v0320,lt1,EMG,4.547,4.3982,-0.1488,-3.27
LSTM,Stateless 30с +CWT,True,v0302,v0320,lt1,EMG+NIRS,3.9175,4.2143,0.2968,7.58
LSTM,Stateless 30с +CWT,True,v0302,v0320,lt1,EMG+NIRS+HRV,3.8272,3.9382,0.111,2.9
LSTM,Stateless 15с,False,v0303,v0321,lt1,EMG,4.3415,4.1624,-0.1791,-4.13
LSTM,Stateless 15с,False,v0303,v0321,lt1,EMG+NIRS,3.6552,3.4811,-0.1741,-4.76
LSTM,Stateless 15с,False,v0303,v0321,lt1,EMG+NIRS+HRV,3.2404,3.3152,0.0748,2.31
LSTM,Stateless 15с +CWT,True,v0304,v0322,lt1,EMG,4.357,4.5196,0.1626,3.73
LSTM,Stateless 15с +CWT,True,v0304,v0322,lt1,EMG+NIRS,3.9248,4.058,0.1332,3.39
LSTM,Stateless 15с +CWT,True,v0304,v0322,lt1,EMG+NIRS+HRV,3.6492,3.7941,0.1449,3.97
LSTM,Stateless 5с,False,v0305,v0323,lt1,EMG,4.0135,4.401,0.3875,9.65
LSTM,Stateless 5с,False,v0305,v0323,lt1,EMG+NIRS,3.6834,3.7383,0.0549,1.49
LSTM,Stateless 5с,False,v0305,v0323,lt1,EMG+NIRS+HRV,3.5938,3.5794,-0.0144,-0.4
LSTM,Stateless 5с +CWT,True,v0306,v0324,lt1,EMG,5.0139,4.514,-0.4999,-9.97
LSTM,Stateless 5с +CWT,True,v0306,v0324,lt1,EMG+NIRS,3.9366,4.0109,0.0743,1.89
LSTM,Stateless 5с +CWT,True,v0306,v0324,lt1,EMG+NIRS+HRV,3.8205,3.9627,0.1422,3.72
LSTM,Stateful 30с,False,v0307,v0325,lt1,EMG,4.2259,3.9272,-0.2987,-7.07
LSTM,Stateful 30с,False,v0307,v0325,lt1,EMG+NIRS,4.0996,3.8758,-0.2238,-5.46
LSTM,Stateful 30с,False,v0307,v0325,lt1,EMG+NIRS+HRV,3.8722,3.8211,-0.0511,-1.32
LSTM,Stateful 30с +CWT,True,v0308,v0326,lt1,EMG,4.5828,4.6395,0.0567,1.24
LSTM,Stateful 30с +CWT,True,v0308,v0326,lt1,EMG+NIRS,4.2425,4.0575,-0.185,-4.36
LSTM,Stateful 30с +CWT,True,v0308,v0326,lt1,EMG+NIRS+HRV,4.0181,3.9449,-0.0732,-1.82
LSTM,Stateful 15с,False,v0309,v0327,lt1,EMG,4.5583,4.2354,-0.3229,-7.08
LSTM,Stateful 15с,False,v0309,v0327,lt1,EMG+NIRS,4.0674,4.2264,0.159,3.91
LSTM,Stateful 15с,False,v0309,v0327,lt1,EMG+NIRS+HRV,4.1259,3.3541,-0.7718,-18.71
LSTM,Stateful 15с +CWT,True,v0310,v0328,lt1,EMG,4.7549,4.5908,-0.1641,-3.45
LSTM,Stateful 15с +CWT,True,v0310,v0328,lt1,EMG+NIRS,4.1634,3.9394,-0.224,-5.38
LSTM,Stateful 15с +CWT,True,v0310,v0328,lt1,EMG+NIRS+HRV,4.2619,3.9259,-0.336,-7.88
LSTM,Stateful 5с,False,v0311,v0329,lt1,EMG,4.5723,4.5136,-0.0587,-1.28
LSTM,Stateful 5с,False,v0311,v0329,lt1,EMG+NIRS,3.7976,3.8788,0.0812,2.14
LSTM,Stateful 5с,False,v0311,v0329,lt1,EMG+NIRS+HRV,3.8974,3.6146,-0.2828,-7.26
LSTM,Stateful 5с +CWT,True,v0312,v0330,lt1,EMG,4.6779,4.9567,0.2788,5.96
LSTM,Stateful 5с +CWT,True,v0312,v0330,lt1,EMG+NIRS,4.8409,4.1563,-0.6846,-14.14
LSTM,Stateful 5с +CWT,True,v0312,v0330,lt1,EMG+NIRS+HRV,4.1271,4.3093,0.1822,4.41
LSTM,Attn 30с,False,v0313,v0331,lt1,EMG,3.6844,3.5672,-0.1172,-3.18
LSTM,Attn 30с,False,v0313,v0331,lt1,EMG+NIRS,3.2618,3.3542,0.0924,2.83
LSTM,Attn 30с,False,v0313,v0331,lt1,EMG+NIRS+HRV,3.0751,3.1738,0.0987,3.21
LSTM,Attn 30с +CWT,True,v0314,v0332,lt1,EMG,3.7397,3.433,-0.3067,-8.2
LSTM,Attn 30с +CWT,True,v0314,v0332,lt1,EMG+NIRS,3.227,3.4006,0.1736,5.38
LSTM,Attn 30с +CWT,True,v0314,v0332,lt1,EMG+NIRS+HRV,3.1878,3.4216,0.2338,7.33
LSTM,Attn 15с,False,v0317,v0335,lt1,EMG,3.9125,3.8753,-0.0372,-0.95
LSTM,Attn 15с,False,v0317,v0335,lt1,EMG+NIRS,3.4389,3.3093,-0.1296,-3.77
LSTM,Attn 15с,False,v0317,v0335,lt1,EMG+NIRS+HRV,3.1573,3.4481,0.2908,9.21
LSTM,Attn 15с +CWT,True,v0318,v0336,lt1,EMG,4.2206,4.3401,0.1195,2.83
LSTM,Attn 15с +CWT,True,v0318,v0336,lt1,EMG+NIRS,4.2886,3.731,-0.5576,-13.0
LSTM,Attn 15с +CWT,True,v0318,v0336,lt1,EMG+NIRS+HRV,3.9634,3.7542,-0.2092,-5.28
TCN,TCN-Pure seq30,False,v0402,v0401,lt1,EMG,4.3214,4.2054,-0.116,-2.68
TCN,TCN-Pure seq30,False,v0402,v0401,lt1,EMG+NIRS,3.8499,3.5822,-0.2677,-6.95
TCN,TCN-Pure seq30,False,v0402,v0401,lt1,EMG+NIRS+HRV,3.6633,3.4817,-0.1816,-4.96
TCN,TCN-Medium seq60,False,v0404,v0403,lt1,EMG,4.2299,4.4044,0.1745,4.13
TCN,TCN-Medium seq60,False,v0404,v0403,lt1,EMG+NIRS,3.5946,3.5206,-0.074,-2.06
TCN,TCN-Medium seq60,False,v0404,v0403,lt1,EMG+NIRS+HRV,3.8948,3.9371,0.0423,1.09
TCN,TCN-DWT seq30,False,v0406,v0405,lt1,EMG,4.0003,3.8297,-0.1706,-4.26
TCN,TCN-DWT seq30,False,v0406,v0405,lt1,EMG+NIRS,3.5368,3.7034,0.1666,4.71
TCN,TCN-DWT seq30,False,v0406,v0405,lt1,EMG+NIRS+HRV,3.1596,3.8243,0.6647,21.04
TCN,TCN-WaveNet seq30,False,v0408,v0407,lt1,EMG,4.818,4.7184,-0.0996,-2.07
TCN,TCN-WaveNet seq30,False,v0408,v0407,lt1,EMG+NIRS,3.8777,3.8323,-0.0454,-1.17
TCN,TCN-WaveNet seq30,False,v0408,v0407,lt1,EMG+NIRS+HRV,3.8389,3.6991,-0.1398,-3.64
