version,family,variant,has_cwt,arch_type,step_label,arch_label,feature_set,target,mae_raw,mae_kalman,best_sigma,kalman_5,kalman_10,kalman_15,kalman_20,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,bias,calib,ps_mae_mean,ps_mae_std,delta_v0011,best_nn_mae,delta_best_nn
v0011,Linear,noabs,False,SVR/GBM,,v0011 noabs,EMG,lt1,3.5443,3.5443,5.0,3.7655,3.7885,3.8187,3.849,3.9059,4.0162,4.1537,4.4985,0.437,0.71,0.5842,0.755,4.3145,2.8139,0.0,3.0751,0.4692
v0011,Linear,noabs,False,SVR/GBM,,v0011 noabs,EMG+NIRS,lt1,3.3994,3.3994,5.0,3.6365,3.6498,3.6715,3.6976,3.7533,3.8654,3.9983,4.3533,0.489,0.728,0.2229,0.727,4.542,3.4803,0.0,3.0751,0.3243
v0011,Linear,noabs,False,SVR/GBM,,v0011 noabs,EMG+NIRS+HRV,lt1,3.0528,3.0528,5.0,3.2625,3.2719,3.2899,3.3118,3.3622,3.4744,3.6264,4.0316,0.584,0.792,0.1429,0.736,3.8514,3.0807,0.0,3.0751,-0.0223
v0301,LSTM,noabs,False,Stateless,30с,Stateless 30с,EMG,lt1,4.2211,4.2337,5.0,4.2337,4.2603,4.2892,4.3184,4.378,4.493,4.6136,4.8302,0.241,0.624,1.2914,0.794,3.8186,2.3401,0.6894,3.0751,1.1586
v0301,LSTM,noabs,False,Stateless,30с,Stateless 30с,EMG+NIRS,lt1,3.4929,3.5005,5.0,3.5005,3.5217,3.546,3.571,3.6185,3.7099,3.8206,4.0909,0.498,0.754,0.5027,0.794,3.1417,1.6462,0.1011,3.0751,0.4254
v0301,LSTM,noabs,False,Stateless,30с,Stateless 30с,EMG+NIRS+HRV,lt1,3.2869,3.302,5.0,3.302,3.3375,3.3761,3.4149,3.4878,3.6121,3.7404,4.0224,0.563,0.776,0.1887,0.827,2.8582,1.7494,0.2492,3.0751,0.2269
v0302,LSTM,noabs,True,Stateless,30с,Stateless 30с +CWT,EMG,lt1,4.536,4.547,5.0,4.547,4.5723,4.5995,4.6266,4.68,4.7748,4.8655,5.0516,-0.061,0.492,1.5579,0.867,3.7441,3.4339,1.0027,3.0751,1.4719
v0302,LSTM,noabs,True,Stateless,30с,Stateless 30с +CWT,EMG+NIRS,lt1,3.9026,3.9175,5.0,3.9175,3.9482,3.9802,4.0114,4.0692,4.1718,4.2748,4.5099,0.362,0.695,1.0159,0.836,3.4034,2.161,0.5181,3.0751,0.8424
v0302,LSTM,noabs,True,Stateless,30с,Stateless 30с +CWT,EMG+NIRS+HRV,lt1,3.8099,3.8272,5.0,3.8272,3.8639,3.9014,3.9382,4.0081,4.1356,4.2626,4.5137,0.356,0.701,1.0553,0.863,3.2234,2.3981,0.7744,3.0751,0.7521
v0303,LSTM,noabs,False,Stateless,15с,Stateless 15с,EMG,lt1,4.3264,4.3415,5.0,4.3415,4.3705,4.3983,4.4245,4.4729,4.5597,4.6624,4.9143,0.154,0.568,1.2238,0.803,3.7379,2.7583,0.7972,3.0751,1.2664
v0303,LSTM,noabs,False,Stateless,15с,Stateless 15с,EMG+NIRS,lt1,3.6382,3.6552,5.0,3.6552,3.6865,3.7179,3.7481,3.8048,3.9126,4.0408,4.4185,0.452,0.709,0.7238,0.787,3.2058,2.0031,0.2558,3.0751,0.5801
v0303,LSTM,noabs,False,Stateless,15с,Stateless 15с,EMG+NIRS+HRV,lt1,3.225,3.2404,5.0,3.2404,3.2729,3.3077,3.3443,3.416,3.5488,3.6908,4.0244,0.608,0.808,0.357,0.832,2.8412,1.656,0.1876,3.0751,0.1653
v0304,LSTM,noabs,True,Stateless,15с,Stateless 15с +CWT,EMG,lt1,4.3459,4.357,5.0,4.357,4.3819,4.4061,4.4284,4.4698,4.5449,4.6397,4.9166,0.07,0.567,1.6142,0.873,3.6542,3.2933,0.8127,3.0751,1.2819
v0304,LSTM,noabs,True,Stateless,15с,Stateless 15с +CWT,EMG+NIRS,lt1,3.907,3.9248,5.0,3.9248,3.9592,3.9929,4.0256,4.0862,4.1903,4.299,4.5715,0.35,0.701,1.3274,0.847,3.4019,2.4154,0.5254,3.0751,0.8497
v0304,LSTM,noabs,True,Stateless,15с,Stateless 15с +CWT,EMG+NIRS+HRV,lt1,3.6341,3.6492,5.0,3.6492,3.6812,3.7143,3.7474,3.8128,3.9391,4.0817,4.4318,0.426,0.734,1.061,0.852,3.0814,2.4396,0.5964,3.0751,0.5741
v0305,LSTM,noabs,False,Stateless,5с,Stateless 5с,EMG,lt1,4.005,4.0135,5.0,4.0135,4.029,4.0466,4.067,4.1173,4.2237,4.3358,4.5741,0.368,0.693,1.2867,0.767,3.5872,2.0723,0.4692,3.0751,0.9384
v0305,LSTM,noabs,False,Stateless,5с,Stateless 5с,EMG+NIRS,lt1,3.6804,3.6834,5.0,3.6834,3.6977,3.7169,3.7404,3.791,3.8935,4.0148,4.4132,0.479,0.728,0.5783,0.811,3.2705,1.875,0.284,3.0751,0.6083
v0305,LSTM,noabs,False,Stateless,5с,Stateless 5с,EMG+NIRS+HRV,lt1,3.5842,3.5938,5.0,3.5938,3.6141,3.6377,3.6633,3.7236,3.8467,3.9917,4.3722,0.516,0.76,0.4124,0.854,3.1172,2.0021,0.541,3.0751,0.5187
v0306,LSTM,noabs,True,Stateless,5с,Stateless 5с +CWT,EMG,lt1,5.0127,5.0139,5.0,5.0139,5.0212,5.0326,5.0464,5.076,5.1449,5.2288,5.4622,-0.259,0.469,2.4104,0.937,4.2904,4.1519,1.4696,3.0751,1.9388
v0306,LSTM,noabs,True,Stateless,5с,Stateless 5с +CWT,EMG+NIRS,lt1,3.9304,3.9366,5.0,3.9366,3.9548,3.9748,3.9976,4.0432,4.1293,4.2245,4.5111,0.295,0.684,1.3286,0.859,3.4118,2.7201,0.5372,3.0751,0.8615
