arch,step,variant,base,cwt,target,feature_set,mae_base,mae_cwt,delta,delta_pct
Stateless LSTM,шаг 30с,noabs,v0301,v0302,lt1,EMG,4.2337,4.547,0.3133,7.4
Stateless LSTM,шаг 30с,noabs,v0301,v0302,lt1,EMG+NIRS,3.5005,3.9175,0.417,11.91
Stateless LSTM,шаг 30с,noabs,v0301,v0302,lt1,EMG+NIRS+HRV,3.302,3.8272,0.5252,15.91
Stateless LSTM,шаг 15с,noabs,v0303,v0304,lt1,EMG,4.3415,4.357,0.0155,0.36
Stateless LSTM,шаг 15с,noabs,v0303,v0304,lt1,EMG+NIRS,3.6552,3.9248,0.2696,7.38
Stateless LSTM,шаг 15с,noabs,v0303,v0304,lt1,EMG+NIRS+HRV,3.2404,3.6492,0.4088,12.62
Stateless LSTM,шаг 5с,noabs,v0305,v0306,lt1,EMG,4.0135,5.0139,1.0004,24.93
Stateless LSTM,шаг 5с,noabs,v0305,v0306,lt1,EMG+NIRS,3.6834,3.9366,0.2532,6.87
Stateless LSTM,шаг 5с,noabs,v0305,v0306,lt1,EMG+NIRS+HRV,3.5938,3.8205,0.2267,6.31
Stateful LSTM,шаг 30с,noabs,v0307,v0308,lt1,EMG,4.2259,4.5828,0.3569,8.45
Stateful LSTM,шаг 30с,noabs,v0307,v0308,lt1,EMG+NIRS,4.0996,4.2425,0.1429,3.49
Stateful LSTM,шаг 30с,noabs,v0307,v0308,lt1,EMG+NIRS+HRV,3.8722,4.0181,0.1459,3.77
Stateful LSTM,шаг 15с,noabs,v0309,v0310,lt1,EMG,4.5583,4.7549,0.1966,4.31
Stateful LSTM,шаг 15с,noabs,v0309,v0310,lt1,EMG+NIRS,4.0674,4.1634,0.096,2.36
Stateful LSTM,шаг 15с,noabs,v0309,v0310,lt1,EMG+NIRS+HRV,4.1259,4.2619,0.136,3.3
Stateful LSTM,шаг 5с,noabs,v0311,v0312,lt1,EMG,4.5723,4.6779,0.1056,2.31
Stateful LSTM,шаг 5с,noabs,v0311,v0312,lt1,EMG+NIRS,3.7976,4.8409,1.0433,27.47
Stateful LSTM,шаг 5с,noabs,v0311,v0312,lt1,EMG+NIRS+HRV,3.8974,4.1271,0.2297,5.89
Attention LSTM,шаг 30с,noabs,v0313,v0314,lt1,EMG,3.6844,3.7397,0.0553,1.5
Attention LSTM,шаг 30с,noabs,v0313,v0314,lt1,EMG+NIRS,3.2618,3.227,-0.0348,-1.07
Attention LSTM,шаг 30с,noabs,v0313,v0314,lt1,EMG+NIRS+HRV,3.0751,3.1878,0.1127,3.66
Attention LSTM,шаг 15с,noabs,v0317,v0318,lt1,EMG,3.9125,4.2206,0.3081,7.87
Attention LSTM,шаг 15с,noabs,v0317,v0318,lt1,EMG+NIRS,3.4389,4.2886,0.8497,24.71
Attention LSTM,шаг 15с,noabs,v0317,v0318,lt1,EMG+NIRS+HRV,3.1573,3.9634,0.8061,25.53
Stateless LSTM,шаг 30с,with_abs,v0319,v0320,lt1,EMG,3.9462,4.3982,0.452,11.45
Stateless LSTM,шаг 30с,with_abs,v0319,v0320,lt1,EMG+NIRS,3.5138,4.2143,0.7005,19.94
Stateless LSTM,шаг 30с,with_abs,v0319,v0320,lt1,EMG+NIRS+HRV,3.7084,3.9382,0.2298,6.2
Stateless LSTM,шаг 15с,with_abs,v0321,v0322,lt1,EMG,4.1624,4.5196,0.3572,8.58
Stateless LSTM,шаг 15с,with_abs,v0321,v0322,lt1,EMG+NIRS,3.4811,4.058,0.5769,16.57
Stateless LSTM,шаг 15с,with_abs,v0321,v0322,lt1,EMG+NIRS+HRV,3.3152,3.7941,0.4789,14.45
Stateless LSTM,шаг 5с,with_abs,v0323,v0324,lt1,EMG,4.401,4.514,0.113,2.57
Stateless LSTM,шаг 5с,with_abs,v0323,v0324,lt1,EMG+NIRS,3.7383,4.0109,0.2726,7.29
Stateless LSTM,шаг 5с,with_abs,v0323,v0324,lt1,EMG+NIRS+HRV,3.5794,3.9627,0.3833,10.71
Stateful LSTM,шаг 30с,with_abs,v0325,v0326,lt1,EMG,3.9272,4.6395,0.7123,18.14
Stateful LSTM,шаг 30с,with_abs,v0325,v0326,lt1,EMG+NIRS,3.8758,4.0575,0.1817,4.69
Stateful LSTM,шаг 30с,with_abs,v0325,v0326,lt1,EMG+NIRS+HRV,3.8211,3.9449,0.1238,3.24
Stateful LSTM,шаг 15с,with_abs,v0327,v0328,lt1,EMG,4.2354,4.5908,0.3554,8.39
Stateful LSTM,шаг 15с,with_abs,v0327,v0328,lt1,EMG+NIRS,4.2264,3.9394,-0.287,-6.79
Stateful LSTM,шаг 15с,with_abs,v0327,v0328,lt1,EMG+NIRS+HRV,3.3541,3.9259,0.5718,17.05
Stateful LSTM,шаг 5с,with_abs,v0329,v0330,lt1,EMG,4.5136,4.9567,0.4431,9.82
Stateful LSTM,шаг 5с,with_abs,v0329,v0330,lt1,EMG+NIRS,3.8788,4.1563,0.2775,7.15
