subject_id,model,n_test,n_pos_test,elapsed_sec,accuracy,f1,roc_auc
S001,LogReg,179,81,0.01,0.770949720670391,0.6611570247933884,1.0
S001,RandomForest,179,81,0.24,0.9217877094972067,0.9204545454545454,1.0
S001,LightGBM,179,81,0.81,0.88268156424581,0.8852459016393442,1.0
S002,LogReg,128,0,0.01,1.0,0.0,
S002,RandomForest,128,0,0.22,0.875,0.0,
S002,LightGBM,128,0,0.73,0.859375,0.0,
S003,LogReg,229,33,0.01,0.08733624454148471,0.1606425702811245,0.42826221397649966
S003,RandomForest,229,33,0.21,0.14410480349344978,0.25190839694656486,0.9248608534322821
S003,LightGBM,229,33,0.69,0.14410480349344978,0.25190839694656486,0.7251082251082251
S004,LogReg,127,29,0.01,0.7716535433070866,0.0,0.9961294862772695
S004,RandomForest,127,29,0.21,0.7716535433070866,0.0,0.0
S004,LightGBM,127,29,0.73,0.7716535433070866,0.0,0.5249824067558058
S005,LogReg,198,100,0.01,0.7828282828282829,0.7261146496815286,1.0
S005,RandomForest,198,100,0.21,0.9040404040404041,0.8950276243093923,0.9977551020408164
S005,LightGBM,198,100,0.74,0.9292929292929293,0.9247311827956989,1.0
S006,LogReg,98,0,0.01,0.7857142857142857,0.0,
S006,RandomForest,98,0,0.22,0.8979591836734694,0.0,
S006,LightGBM,98,0,0.74,0.6836734693877551,0.0,
S007,LogReg,17,0,0.01,1.0,0.0,
S007,RandomForest,17,0,0.22,1.0,0.0,
S007,LightGBM,17,0,0.77,1.0,0.0,
S009,LogReg,312,34,0.01,0.8942307692307693,0.5217391304347826,0.9414938637325434
S009,RandomForest,312,34,0.23,0.8910256410256411,0.0,0.4674143038510369
S009,LightGBM,312,34,0.72,0.8910256410256411,0.0,0.7340245450698265
S010,LogReg,276,34,0.01,0.9384057971014492,0.6666666666666666,0.9929508993680117
S010,RandomForest,276,34,0.23,0.967391304347826,0.847457627118644,1.0
S010,LightGBM,276,34,0.74,0.967391304347826,0.847457627118644,1.0
S011,LogReg,139,41,0.01,0.7482014388489209,0.7008547008547008,1.0
S011,RandomForest,139,41,0.22,0.7769784172661871,0.39215686274509803,0.9997511199601792
S011,LightGBM,139,41,0.82,0.9784172661870504,0.9647058823529412,0.9992533598805375
S012,LogReg,119,21,0.01,0.8907563025210085,0.7636363636363637,1.0
S012,RandomForest,119,21,0.22,0.9831932773109243,0.9545454545454546,1.0
S012,LightGBM,119,21,0.79,0.33613445378151263,0.34710743801652894,0.9839650145772595
S013,LogReg,221,51,0.01,0.9864253393665159,0.970873786407767,0.9990772779700116
S013,RandomForest,221,51,0.2,0.8190045248868778,0.3548387096774194,0.8229527104959631
S013,LightGBM,221,51,0.75,0.7692307692307693,0.0,0.635524798154556
S014,LogReg,183,49,0.01,0.73224043715847,0.0,1.0
S014,RandomForest,183,49,0.21,0.9398907103825137,0.8735632183908046,0.9923850137069753
S014,LightGBM,183,49,0.76,0.73224043715847,0.0,0.9483703929332927
