subject_id,model,n_test,n_pos_test,elapsed_sec,accuracy,f1,roc_auc
S001,LogReg,179,81,0.0,0.9664804469273743,0.9615384615384616,1.0
S001,RandomForest,179,81,0.15,0.9608938547486033,0.9548387096774194,1.0
S001,LightGBM,179,81,1.2,0.9720670391061452,0.9681528662420382,0.9988662131519274
S002,LogReg,128,0,0.0,0.8203125,0.0,
S002,RandomForest,128,0,0.16,0.7734375,0.0,
S002,LightGBM,128,0,1.06,0.734375,0.0,
S003,LogReg,229,33,0.0,0.8908296943231441,0.7252747252747253,1.0
S003,RandomForest,229,33,0.16,1.0,1.0,1.0
S003,LightGBM,229,33,1.21,1.0,1.0,1.0
S004,LogReg,127,29,0.0,0.9212598425196851,0.7916666666666666,1.0
S004,RandomForest,127,29,0.15,0.7952755905511811,0.1875,0.9866291344123856
S004,LightGBM,127,29,1.13,0.8110236220472441,0.29411764705882354,0.9831104855735397
S005,LogReg,198,100,0.0,0.9747474747474747,0.975609756097561,0.996326530612245
S005,RandomForest,198,100,0.16,0.8787878787878788,0.8681318681318682,0.9858163265306122
S005,LightGBM,198,100,1.17,0.9494949494949495,0.9473684210526315,0.9998979591836734
S006,LogReg,98,0,0.0,0.9387755102040817,0.0,
S006,RandomForest,98,0,0.16,1.0,0.0,
S006,LightGBM,98,0,1.24,0.9897959183673469,0.0,
S007,LogReg,17,0,0.0,1.0,0.0,
S007,RandomForest,17,0,0.16,1.0,0.0,
S007,LightGBM,17,0,1.21,1.0,0.0,
S009,LogReg,312,34,0.0,0.9935897435897436,0.9714285714285714,1.0
S009,RandomForest,312,34,0.18,0.8910256410256411,0.0,0.9980956411341515
S009,LightGBM,312,34,1.15,0.8910256410256411,0.0,1.0
S010,LogReg,276,34,0.0,0.9130434782608695,0.7391304347826086,1.0
S010,RandomForest,276,34,0.18,0.8297101449275363,0.591304347826087,0.9998784637822071
S010,LightGBM,276,34,1.02,0.8152173913043478,0.5714285714285714,0.9999999999999999
S011,LogReg,139,41,0.0,0.9280575539568345,0.8611111111111112,1.0
S011,RandomForest,139,41,0.17,0.841726618705036,0.6333333333333333,0.9945246391239422
S011,LightGBM,139,41,1.04,0.8489208633093526,0.6557377049180327,0.988302638128422
S012,LogReg,119,21,0.0,0.9159663865546218,0.8076923076923077,0.999514091350826
S012,RandomForest,119,21,0.15,0.9327731092436975,0.84,1.0
S012,LightGBM,119,21,1.23,0.9159663865546218,0.8076923076923077,1.0
S013,LogReg,221,51,0.0,0.8506787330316742,0.5217391304347826,1.0
S013,RandomForest,221,51,0.15,0.7828054298642534,0.1111111111111111,0.9756632064590542
S013,LightGBM,221,51,0.96,0.7873303167420814,0.14545454545454545,0.7937716262975778
S014,LogReg,183,49,0.0,0.9289617486338798,0.8470588235294118,1.0
S014,RandomForest,183,49,0.16,0.912568306010929,0.8048780487804879,1.0
S014,LightGBM,183,49,1.17,0.907103825136612,0.7901234567901234,0.8204386232104782
