subject_id,model,n_test,n_pos_test,elapsed_sec,accuracy,f1,roc_auc
S001,LogReg,179,81,0.01,0.9888268156424581,0.9875,1.0
S001,RandomForest,179,81,0.17,0.9553072625698324,0.948051948051948,1.0
S001,LightGBM,179,81,0.69,0.9720670391061452,0.9681528662420382,1.0
S002,LogReg,128,0,0.01,0.71875,0.0,
S002,RandomForest,128,0,0.16,0.828125,0.0,
S002,LightGBM,128,0,0.73,0.7421875,0.0,
S003,LogReg,229,33,0.01,0.6593886462882096,0.4583333333333333,1.0
S003,RandomForest,229,33,0.16,0.7030567685589519,0.4925373134328358,1.0
S003,LightGBM,229,33,0.68,0.6943231441048034,0.4852941176470588,0.9990723562152134
S004,LogReg,127,29,0.01,0.8976377952755905,0.7111111111111111,1.0
S004,RandomForest,127,29,0.17,0.7952755905511811,0.1875,1.0
S004,LightGBM,127,29,0.67,0.8110236220472441,0.29411764705882354,1.0
S005,LogReg,198,100,0.01,0.9292929292929293,0.9345794392523364,0.9721428571428571
S005,RandomForest,198,100,0.16,0.8787878787878788,0.8636363636363636,0.9961224489795918
S005,LightGBM,198,100,0.73,0.9646464646464646,0.966183574879227,0.9840816326530613
S006,LogReg,98,0,0.01,0.9081632653061225,0.0,
S006,RandomForest,98,0,0.18,0.9897959183673469,0.0,
S006,LightGBM,98,0,0.72,0.9591836734693877,0.0,
S007,LogReg,17,0,0.01,1.0,0.0,
S007,RandomForest,17,0,0.18,1.0,0.0,
S007,LightGBM,17,0,0.7,1.0,0.0,
S009,LogReg,312,34,0.01,0.9871794871794872,0.9375,1.0
S009,RandomForest,312,34,0.19,0.9615384615384616,0.85,0.998836225137537
S009,LightGBM,312,34,0.7,0.8910256410256411,0.0,1.0
S010,LogReg,276,34,0.01,0.9456521739130435,0.8192771084337349,1.0
S010,RandomForest,276,34,0.19,0.8514492753623188,0.6238532110091743,1.0
S010,LightGBM,276,34,0.67,0.8369565217391305,0.6017699115044248,1.0
S011,LogReg,139,41,0.01,0.841726618705036,0.6333333333333333,1.0
S011,RandomForest,139,41,0.18,0.8992805755395683,0.7941176470588235,0.998755599800896
S011,LightGBM,139,41,0.67,0.9136690647482014,0.8285714285714286,1.0
S012,LogReg,119,21,0.01,0.5966386554621849,0.4666666666666667,0.9703595724003888
S012,RandomForest,119,21,0.17,0.9243697478991597,0.8235294117647058,0.9825072886297376
S012,LightGBM,119,21,0.7,0.9159663865546218,0.8076923076923077,0.9489795918367347
S013,LogReg,221,51,0.01,0.8597285067873304,0.5633802816901409,0.9996539792387543
S013,RandomForest,221,51,0.17,0.7692307692307693,0.0,0.9995386389850058
S013,LightGBM,221,51,0.73,0.7692307692307693,0.0,0.9848904267589389
S014,LogReg,183,49,0.01,0.912568306010929,0.8048780487804879,0.9992385013706975
S014,RandomForest,183,49,0.16,0.8961748633879781,0.759493670886076,1.0
S014,LightGBM,183,49,0.71,0.8415300546448088,0.5797101449275363,1.0
