subject_id,model,n_test,elapsed_sec,mae_sec,mae_min,rmse_sec,rmse_min,r2,spearman_rho
S001,Ridge,208,0.01,53.092165108591935,0.8848694184765322,68.55577449947675,1.1425962416579458,0.9594028598796716,0.9867020851002544
S001,RandomForest,208,0.88,151.10326207451484,2.518387701241914,160.24596029430623,2.670766004905104,0.778189787699071,0.8256857001814935
S001,LightGBM,208,1.37,92.93848102639627,1.5489746837732712,112.12048141876373,1.868674690312729,0.8914131424211903,0.9037728099512995
S002,Ridge,154,0.01,55.64102500230013,0.9273504167050022,67.60934391842484,1.126822398640414,0.9074808676011665,0.9906979800717942
S002,RandomForest,154,0.88,159.24567714873623,2.654094619145604,185.16804686162743,3.086134114360457,0.30601481434940025,0.9603341629907095
S002,LightGBM,154,1.37,146.2145461871843,2.4369091031197385,173.21948286482066,2.8869913810803443,0.39268838974915155,0.9816029637661516
S003,Ridge,271,0.01,434.44026056412696,7.240671009402116,443.3318805465116,7.388864675775194,0.046522763257424216,0.9948098304512457
S003,RandomForest,271,0.82,284.10765776298797,4.735127629383133,332.1374962457183,5.535624937428638,0.4648343649374508,0.9630409888094597
S003,LightGBM,271,1.35,334.84514515795763,5.580752419299293,375.5482088204315,6.259136813673859,0.31579886083488384,0.9631792200274945
S004,Ridge,169,0.01,120.20037063920162,2.0033395106533605,135.55506800489215,2.2592511334148693,0.6911735048435137,0.9371090448013527
S004,RandomForest,169,0.86,205.9793572900206,3.43298928816701,233.03902283294732,3.8839837138824556,0.08727418213554716,0.8139003962435387
S004,LightGBM,169,1.39,203.1248275993601,3.3854137933226682,233.03725926949284,3.883954321158214,0.08728799650694408,0.8056511361941227
S005,Ridge,240,0.01,157.08361308643956,2.618060218107326,174.20026128660336,2.903337688110056,0.7473224392542708,0.9505060851750896
S005,RandomForest,240,0.86,215.39619726011966,3.5899366210019945,257.657826511323,4.294297108522049,0.44721563683710763,0.9163013893062195
S005,LightGBM,240,1.49,172.02016463712624,2.867002743952104,201.48420644020814,3.3580701073368022,0.6619732344035476,0.9578169759891663
S006,Ridge,139,0.01,147.45615179972177,2.4576025299953628,163.74652340831432,2.729108723471905,0.3338403992966572,0.9606863577461011
S006,RandomForest,139,0.87,74.02343630100576,1.233723938350096,84.82366379394574,1.4137277298990958,0.8212408959148244,0.9871698770839051
S006,LightGBM,139,1.41,81.91225680606892,1.3652042801011488,91.30513368061665,1.5217522280102775,0.7928788214550249,0.9932526028866348
S007,Ridge,17,0.01,81.84182937357707,1.3640304895596178,92.91827334928831,1.5486378891548052,0.6371928641754769,0.8627450980392157
S007,RandomForest,17,0.91,153.36659928910345,2.556109988151724,156.59457197500626,2.609909532916771,-0.030450102061569062,0.9803921568627453
S007,LightGBM,17,1.43,131.95792908872906,2.1992988181454844,136.0064675435175,2.2667744590586247,0.2226928181072153,0.965686274509804
S009,Ridge,354,0.01,171.42129244393283,2.8570215407322137,192.76537034822007,3.2127561724703346,0.8576700774637238,0.9888021845965117
S009,RandomForest,354,0.83,156.40576957406992,2.606762826234499,196.91889361643973,3.2819815602739957,0.8514704199952213,0.9905900023311421
S009,LightGBM,354,1.41,220.23595355230856,3.6705992258718094,260.14429598777303,4.335738266462884,0.7407810216431596,0.9909897566606727
S010,Ridge,318,0.01,97.08749108073904,1.6181248513456508,127.08539494007023,2.118089915667837,0.9233375705685616,0.9920772740986645
S010,RandomForest,318,0.86,207.169757060207,3.4528292843367834,257.8107113165339,4.2968451886088985,0.6845044729944934,0.9948828387350906
S010,LightGBM,318,1.41,185.19104991195513,3.0865174985325856,222.39891563547496,3.706648593924583,0.7652224193862835,0.9921922097859901
S011,Ridge,181,0.01,227.0104292916617,3.783507154861028,232.52796287243913,3.8754660478739855,0.2077765052365358,0.9853925080444416
S011,RandomForest,181,0.9,135.70157261169237,2.2616928768615394,152.7817288092959,2.5463621468215987,0.657988913436524,0.9889618961042336
S011,LightGBM,181,1.39,145.4247810596215,2.4237463509936914,156.35105703403678,2.6058509505672798,0.6418219335434341,0.9812013033007507
S012,Ridge,161,0.01,95.59015634136706,1.5931692723561177,119.75118681104199,1.9958531135173665,0.7344380232842023,0.9191597653554177
S012,RandomForest,161,0.93,101.17931279296181,1.6863218798826969,119.85322233190014,1.997553705531669,0.7339852795677799,0.8410424445638505
S012,LightGBM,161,1.44,136.93819544573313,2.2823032574288855,151.99903085576202,2.533317180929367,0.5721536040538724,0.8209569818265472
S013,Ridge,263,0.01,124.12129049689503,2.0686881749482504,149.2168018912728,2.48694669818788,0.845484705297298,0.9810380676705813
S013,RandomForest,263,0.88,228.94740207612924,3.815790034602154,267.3201817669816,4.455336362783027,0.5040938266486326,0.8729918085032641
S013,LightGBM,263,1.36,242.59908416718,4.043318069453,268.467671017255,4.4744611836209165,0.49982727008029804,0.8453433267455267
S014,Ridge,225,0.01,137.91063676171433,2.298510612695239,161.16819654663328,2.6861366091105547,0.7537118750496763,0.9391403286978509
S014,RandomForest,225,0.86,178.14998988722306,2.9691664981203845,212.75246512266304,3.5458744187110507,0.5708254290540156,0.9402675937631692
S014,LightGBM,225,1.45,166.30280209116754,2.7717133681861257,199.59603837083094,3.326600639513849,0.6222637939317626,0.9517024863042562
