version,family,variant,target,feature_set,inner_model,raw_mae_min,kalman_mae_min,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,n_windows,loso_n_subjects,loso_mae_mean,loso_mae_median,loso_mae_std,loso_mae_iqr,loso_r2_median,loso_neg_r2_share,gap_mae,kalman_gain,best_sigma_obs
v0101,lstm,with_abs,lt1,EMG,,5.4044,5.256,5.3277,5.2884,5.256,5.2578,-0.037,0.58,4130,18,4.9265,4.4756,1.9097,2.9887,0.014,0.444,-0.4779,0.1484,75.0
v0101,lstm,with_abs,lt2,EMG,,5.9132,6.1366,6.1366,6.3113,6.5434,7.3203,-0.316,0.493,3651,18,5.6237,4.7803,2.0188,2.8761,-0.507,0.778,-0.2895,-0.2234,30.0
v0101,lstm,with_abs,lt1,NIRS,,5.4365,5.2754,5.3601,5.3183,5.2822,5.2754,-0.021,0.619,4130,18,4.9955,4.6769,1.743,2.8334,0.016,0.444,-0.441,0.1611,150.0
v0101,lstm,with_abs,lt2,NIRS,,6.0494,6.2594,6.2594,6.4237,6.6428,7.3856,-0.356,0.282,3651,18,5.757,4.9165,2.0063,2.8645,-0.543,0.889,-0.2924,-0.21,30.0
v0101,lstm,with_abs,lt1,EMG+NIRS,,5.3149,5.1811,5.2425,5.2075,5.1811,5.1996,0.012,0.665,4130,18,4.8606,4.5657,1.7879,2.9445,0.042,0.444,-0.4543,0.1338,75.0
v0101,lstm,with_abs,lt2,EMG+NIRS,,5.9353,6.1622,6.1622,6.3394,6.5736,7.355,-0.323,0.561,3651,18,5.6344,4.7691,2.0552,3.083,-0.524,0.778,-0.3009,-0.2269,30.0
v0101,lstm,with_abs,lt1,EMG+NIRS+HRV,,5.3341,5.2103,5.2675,5.235,5.2103,5.2307,0.011,0.66,4130,18,4.8668,4.5351,1.8382,3.0792,0.057,0.389,-0.4673,0.1238,75.0
v0101,lstm,with_abs,lt2,EMG+NIRS+HRV,,5.8456,6.0841,6.0841,6.2676,6.5094,7.3083,-0.302,0.568,3651,18,5.5696,4.738,2.0055,2.9329,-0.491,0.778,-0.276,-0.2385,30.0
v0101,lstm,noabs,lt1,EMG,,5.4065,5.2568,5.3291,5.2894,5.2568,5.2589,-0.039,0.555,4130,18,4.926,4.5606,1.9173,2.9905,0.002,0.5,-0.4805,0.1497,75.0
v0101,lstm,noabs,lt2,EMG,,5.9187,6.1408,6.1408,6.3152,6.5474,7.3267,-0.317,0.557,3651,18,5.6263,4.7562,2.029,2.8562,-0.506,0.833,-0.2924,-0.2221,30.0
