version,target,feature_set,n_paired,median_mae_with_abs,median_mae_noabs,median_delta_mae,mean_delta_mae,wilcoxon_p,verdict
v0101,lt1,EMG,18,4.4756,4.5606,-0.0082,-0.0005,0.3465,эквивалентно
v0102,lt1,EMG,18,5.07,4.8928,-0.0327,-0.0903,0.3465,эквивалентно
v0103,lt1,EMG,18,5.0979,5.2008,0.005,0.0225,0.2288,эквивалентно
v0104,lt1,EMG,18,4.4799,4.3825,-0.0966,-0.0967,0.0483,лучше noabs
v0105,lt1,EMG,18,4.87,4.811,-0.0113,-0.0048,0.1297,эквивалентно
v0106a,lt1,EMG,18,4.7686,4.7926,0.0066,0.0533,0.5509,эквивалентно
v0106b,lt1,EMG,18,4.6393,4.5716,-0.0866,-0.1369,0.0665,эквивалентно
v0106c,lt1,EMG,18,4.7592,4.705,0.0046,-0.0044,1.0,эквивалентно
v0107,lt1,EMG,18,4.8531,4.8255,0.0032,0.0199,0.3927,эквивалентно
v0101,lt1,EMG+NIRS,18,4.5657,4.5415,0.0192,0.0221,0.2462,эквивалентно
v0102,lt1,EMG+NIRS,18,5.776,5.4794,-0.0616,-0.1257,0.2645,эквивалентно
v0103,lt1,EMG+NIRS,18,5.0621,5.0076,-0.0408,-0.0397,0.0737,эквивалентно
v0104,lt1,EMG+NIRS,18,4.3175,4.2898,0.0508,0.0621,0.3038,эквивалентно
v0105,lt1,EMG+NIRS,18,4.8376,4.835,0.0237,0.0332,0.0539,эквивалентно
v0106a,lt1,EMG+NIRS,18,4.709,4.7944,-0.0226,-0.0914,0.154,эквивалентно
v0106b,lt1,EMG+NIRS,18,4.5404,4.7754,0.0328,0.0774,0.0814,эквивалентно
v0106c,lt1,EMG+NIRS,18,4.775,4.7084,0.0115,0.0055,0.7337,эквивалентно
v0107,lt1,EMG+NIRS,18,4.5403,4.0585,-0.3514,-0.7069,0.0104,лучше noabs
v0101,lt1,EMG+NIRS+HRV,18,4.5351,4.545,-0.0085,-0.0167,0.4683,эквивалентно
v0102,lt1,EMG+NIRS+HRV,18,5.6356,5.6429,-0.0342,-0.1267,0.2121,эквивалентно
v0103,lt1,EMG+NIRS+HRV,18,5.0381,5.0093,-0.0211,-0.0222,0.1964,эквивалентно
v0104,lt1,EMG+NIRS+HRV,18,4.5355,4.3149,-0.0356,-0.1232,0.2288,эквивалентно
v0105,lt1,EMG+NIRS+HRV,18,4.8584,4.8456,0.0006,0.0008,0.9661,эквивалентно
v0106a,lt1,EMG+NIRS+HRV,18,4.3037,4.5448,0.0047,0.07,0.6705,эквивалентно
v0106b,lt1,EMG+NIRS+HRV,18,4.0664,4.3178,0.1309,0.1214,0.0987,эквивалентно
v0106c,lt1,EMG+NIRS+HRV,18,4.6372,4.6045,0.0042,0.0079,0.4925,эквивалентно
v0107,lt1,EMG+NIRS+HRV,18,3.6185,2.7131,-0.3292,-0.6977,0.0077,лучше noabs
v0101,lt1,NIRS,18,4.6769,4.6506,-0.0165,-0.0076,1.0,эквивалентно
v0102,lt1,NIRS,18,5.2013,4.8667,-0.0162,-0.0413,0.2837,эквивалентно
v0103,lt1,NIRS,18,4.806,4.9366,-0.0051,0.0116,0.7019,эквивалентно
v0104,lt1,NIRS,18,4.5136,4.275,-0.0038,-0.0171,0.6705,эквивалентно
v0105,lt1,NIRS,18,4.8923,4.8287,-0.049,-0.0492,0.009,лучше noabs
v0106a,lt1,NIRS,18,4.122,4.3158,0.073,0.0937,0.0898,эквивалентно
v0106b,lt1,NIRS,18,4.4423,4.3777,-0.0091,0.0261,0.9323,эквивалентно
v0106c,lt1,NIRS,18,4.5872,4.5293,0.0172,0.0013,0.7019,эквивалентно
v0107,lt1,NIRS,18,3.8006,3.6158,0.0292,-0.4313,0.5226,эквивалентно
v0101,lt2,EMG,18,4.7803,4.7562,0.0042,0.0026,0.766,эквивалентно
v0102,lt2,EMG,16,4.9542,4.6502,-0.0071,-0.129,0.3484,эквивалентно
v0103,lt2,EMG,17,4.9168,4.7798,-0.0371,-0.034,0.1324,эквивалентно
v0104,lt2,EMG,17,4.4526,4.5417,0.0023,0.0463,0.5171,эквивалентно
v0105,lt2,EMG,16,4.7038,4.508,0.0015,-0.0231,0.7333,эквивалентно
v0106a,lt2,EMG,17,4.6203,4.4135,-0.0203,-0.01,0.3289,эквивалентно
v0106b,lt2,EMG,17,4.7364,4.9822,0.0441,0.0936,0.3778,эквивалентно
v0106c,lt2,EMG,17,4.6965,4.7149,0.0012,0.0009,0.6441,эквивалентно
v0107,lt2,EMG,17,3.8425,3.7184,0.0112,0.0173,0.9265,эквивалентно
v0101,lt2,EMG+NIRS,18,4.7691,4.7799,-0.0038,0.0071,0.9323,эквивалентно
v0102,lt2,EMG+NIRS,16,5.0621,5.5145,0.158,0.2477,0.1591,эквивалентно
v0103,lt2,EMG+NIRS,17,4.856,4.8581,-0.0669,-0.0608,0.0448,лучше noabs
v0104,lt2,EMG+NIRS,17,4.3886,4.5,-0.0013,-0.0157,1.0,эквивалентно
v0105,lt2,EMG+NIRS,16,4.6189,4.8035,-0.0068,0.0285,0.7436,эквивалентно
v0106a,lt2,EMG+NIRS,17,4.7032,4.6177,-0.0127,-0.0117,0.306,эквивалентно
v0106b,lt2,EMG+NIRS,17,4.639,4.8684,0.0426,0.0692,0.1594,эквивалентно
v0106c,lt2,EMG+NIRS,17,4.7558,4.6916,-0.0287,-0.0259,0.0505,эквивалентно
v0107,lt2,EMG+NIRS,17,4.2825,3.8489,-0.6047,-0.644,0.0569,неопределённо
v0101,lt2,EMG+NIRS+HRV,18,4.738,4.7704,0.0136,0.0153,0.154,эквивалентно
v0102,lt2,EMG+NIRS+HRV,16,4.8387,5.0861,0.1961,0.4185,0.0155,лучше with_abs
v0103,lt2,EMG+NIRS+HRV,17,4.9153,4.8255,0.0748,-0.0791,0.1089,эквивалентно
v0104,lt2,EMG+NIRS+HRV,17,4.5187,4.5094,0.0127,0.0497,0.2842,эквивалентно
v0105,lt2,EMG+NIRS+HRV,16,4.6236,4.764,0.0229,0.0726,0.1297,эквивалентно
v0106a,lt2,EMG+NIRS+HRV,17,4.4698,4.7119,0.0352,0.064,0.1454,эквивалентно
v0106b,lt2,EMG+NIRS+HRV,17,4.0465,4.3384,0.1398,0.1811,0.0505,эквивалентно
v0106c,lt2,EMG+NIRS+HRV,17,4.7608,4.7587,0.0136,0.0229,0.2247,эквивалентно
v0107,lt2,EMG+NIRS+HRV,17,2.3839,2.5242,-0.3305,-0.0808,0.7819,неопределённо
v0101,lt2,NIRS,18,4.9165,4.9169,-0.016,-0.0458,0.0047,лучше noabs
v0102,lt2,NIRS,16,5.077,5.1376,-0.0214,0.0057,0.8999,эквивалентно
v0103,lt2,NIRS,17,4.9309,4.9608,0.0013,0.046,0.4307,эквивалентно
v0104,lt2,NIRS,17,4.9504,4.9101,0.0254,-0.0634,0.5791,эквивалентно
