target,feature_set,variant,model_a,model_b,n_paired,median_a,median_b,median_diff,p,underpowered,p_holm,winner
lt1,EMG,noabs,v0011,v0103,18,2.9425,5.2008,-2.0894,0.0,False,0.0003,v0011
lt1,EMG,noabs,v0011,v0106c,18,2.9425,4.705,-1.7733,0.0,False,0.0003,v0011
lt1,EMG,noabs,v0011,v0105,18,2.9425,4.811,-1.8292,0.0,False,0.0007,v0011
lt1,EMG,noabs,v0011,v0101,18,2.9425,4.5606,-1.5629,0.0,False,0.001,v0011
lt1,EMG,noabs,v0011,v0102,18,2.9425,4.8928,-2.1886,0.0,False,0.001,v0011
lt1,EMG,noabs,v0011,v0106a,18,2.9425,4.7926,-1.6017,0.0,False,0.001,v0011
lt1,EMG,noabs,v0011,v0104,18,2.9425,4.3825,-1.5793,0.0,False,0.0015,v0011
lt1,EMG,noabs,v0011,v0106b,18,2.9425,4.5716,-1.6885,0.0002,False,0.0072,v0011
lt1,EMG,noabs,v0101,v0103,18,4.5606,5.2008,-0.4108,0.0013,False,0.0477,v0101
lt1,EMG,noabs,v0103,v0104,18,5.2008,4.3825,0.3626,0.0016,False,0.0569,n.s.
lt1,EMG,noabs,v0103,v0106c,18,5.2008,4.705,0.2227,0.0034,False,0.1178,n.s.
lt1,EMG,noabs,v0102,v0104,18,4.8928,4.3825,0.8283,0.0047,False,0.1613,n.s.
lt1,EMG,noabs,v0011,v0107,18,2.9425,4.8255,-0.8283,0.009,False,0.2958,n.s.
lt1,EMG,noabs,v0102,v0106b,18,4.8928,4.5716,0.9188,0.009,False,0.2958,n.s.
lt1,EMG,noabs,v0104,v0105,18,4.3825,4.811,-0.2257,0.0139,False,0.43,n.s.
lt1,EMG,noabs,v0102,v0105,18,4.8928,4.811,0.3416,0.0182,False,0.547,n.s.
lt1,EMG,noabs,v0102,v0106c,18,4.8928,4.705,0.4904,0.0182,False,0.547,n.s.
lt1,EMG,noabs,v0105,v0106b,18,4.811,4.5716,0.4982,0.0208,False,0.5828,n.s.
lt1,EMG,noabs,v0101,v0102,18,4.5606,4.8928,-0.7666,0.0304,False,0.8199,n.s.
lt1,EMG,noabs,v0102,v0106a,18,4.8928,4.7926,0.9348,0.0342,False,0.8901,n.s.
