target,feature_set,variant,version,sig_wins,sig_losses,net
lt1,EMG,noabs,v0101,1,0,1
lt1,EMG,noabs,v0102,0,0,0
lt1,EMG,noabs,v0104,0,0,0
lt1,EMG,noabs,v0105,0,0,0
lt1,EMG,noabs,v0106a,0,0,0
lt1,EMG,noabs,v0106b,0,0,0
lt1,EMG,noabs,v0106c,0,0,0
lt1,EMG,noabs,v0107,0,0,0
lt1,EMG,noabs,v0103,0,1,-1
lt1,EMG,with_abs,v0011,8,0,8
lt1,EMG,with_abs,v0107,0,0,0
lt1,EMG,with_abs,v0101,0,1,-1
lt1,EMG,with_abs,v0102,0,1,-1
lt1,EMG,with_abs,v0103,0,1,-1
lt1,EMG,with_abs,v0104,0,1,-1
lt1,EMG,with_abs,v0105,0,1,-1
lt1,EMG,with_abs,v0106a,0,1,-1
lt1,EMG,with_abs,v0106b,0,1,-1
lt1,EMG,with_abs,v0106c,0,1,-1
lt1,EMG+NIRS,noabs,v0104,2,0,2
lt1,EMG+NIRS,noabs,v0101,1,0,1
lt1,EMG+NIRS,noabs,v0106b,1,0,1
lt1,EMG+NIRS,noabs,v0106a,0,0,0
lt1,EMG+NIRS,noabs,v0106c,0,0,0
lt1,EMG+NIRS,noabs,v0107,0,0,0
lt1,EMG+NIRS,noabs,v0103,0,1,-1
lt1,EMG+NIRS,noabs,v0105,0,1,-1
lt1,EMG+NIRS,noabs,v0102,0,2,-2
lt1,EMG+NIRS,with_abs,v0011,8,0,8
lt1,EMG+NIRS,with_abs,v0104,2,1,1
lt1,EMG+NIRS,with_abs,v0101,1,1,0
lt1,EMG+NIRS,with_abs,v0106b,1,1,0
lt1,EMG+NIRS,with_abs,v0106c,1,1,0
lt1,EMG+NIRS,with_abs,v0107,0,0,0
lt1,EMG+NIRS,with_abs,v0105,0,1,-1
lt1,EMG+NIRS,with_abs,v0106a,0,1,-1
lt1,EMG+NIRS,with_abs,v0102,0,3,-3
lt1,EMG+NIRS,with_abs,v0103,0,4,-4
lt1,EMG+NIRS+HRV,noabs,v0104,4,0,4
lt1,EMG+NIRS+HRV,noabs,v0106b,3,0,3
