tag,target,feature_set,alpha,target_coverage,mean_empirical_coverage,mean_halfwidth_min,halfwidth_trained_min,halfwidth_untrained_min,variant
lt2_HRV,lt2,HRV,0.1,0.9,0.8848,5.247,5.143,5.298,with_abs
lt2_HRV,lt2,HRV,0.2,0.8,0.8004,3.493,3.481,3.5,with_abs
lt2_ENH,lt2,EMG+NIRS+HRV,0.1,0.9,0.8781,5.573,5.517,5.601,with_abs
lt2_ENH,lt2,EMG+NIRS+HRV,0.2,0.8,0.8034,4.176,4.144,4.192,with_abs
lt1_EN,lt1,EMG+NIRS,0.1,0.9,0.9134,9.052,8.812,9.172,with_abs
lt1_EN,lt1,EMG+NIRS,0.2,0.8,0.8282,6.988,6.807,7.079,with_abs
lt1_ENH,lt1,EMG+NIRS+HRV,0.1,0.9,0.9067,8.657,8.307,8.832,with_abs
lt1_ENH,lt1,EMG+NIRS+HRV,0.2,0.8,0.8374,6.328,6.124,6.43,with_abs
lt2_HRV_noabs,lt2,HRV,0.1,0.9,0.8931,6.58,6.531,6.605,noabs
lt2_HRV_noabs,lt2,HRV,0.2,0.8,0.7972,4.87,4.841,4.884,noabs
lt2_ENH_noabs,lt2,EMG+NIRS+HRV,0.1,0.9,0.8976,6.178,6.146,6.194,noabs
lt2_ENH_noabs,lt2,EMG+NIRS+HRV,0.2,0.8,0.8016,4.757,4.692,4.79,noabs
lt1_EN_noabs,lt1,EMG+NIRS,0.1,0.9,0.9124,8.923,8.614,9.078,noabs
lt1_EN_noabs,lt1,EMG+NIRS,0.2,0.8,0.8313,6.591,6.371,6.701,noabs
lt1_ENH_noabs,lt1,EMG+NIRS+HRV,0.1,0.9,0.9013,8.386,8.152,8.504,noabs
lt1_ENH_noabs,lt1,EMG+NIRS+HRV,0.2,0.8,0.8312,6.272,5.919,6.448,noabs
