tag,alpha,target_coverage,subject_id,trained,q_halfwidth_sec,q_halfwidth_min,empirical_coverage,n_windows
lt1_EN,0.1,0.9,S001,0,552.67,9.211,1.0,242
lt1_EN,0.1,0.9,S002,0,547.37,9.123,0.9615,156
lt1_EN,0.1,0.9,S003,1,481.77,8.029,0.3229,319
lt1_EN,0.1,0.9,S004,0,547.59,9.126,0.9651,172
lt1_EN,0.1,0.9,S005,0,553.52,9.225,1.0,264
lt1_EN,0.1,0.9,S006,0,548.94,9.149,1.0,141
lt1_EN,0.1,0.9,S007,0,551.96,9.199,0.9956,227
lt1_EN,0.1,0.9,S008,0,549.02,9.15,1.0,150
lt1_EN,0.1,0.9,S009,1,504.43,8.407,0.559,356
lt1_EN,0.1,0.9,S010,1,551.04,9.184,0.9594,320
lt1_EN,0.1,0.9,S011,0,550.38,9.173,1.0,183
lt1_EN,0.1,0.9,S012,0,547.32,9.122,0.9571,163
lt1_EN,0.1,0.9,S013,1,531.55,8.859,0.7547,265
lt1_EN,0.1,0.9,S014,0,552.38,9.206,1.0,227
lt1_EN,0.1,0.9,S016,0,550.89,9.182,1.0,188
lt1_EN,0.1,0.9,S017,1,552.15,9.203,1.0,221
lt1_EN,0.1,0.9,S018,0,551.96,9.199,1.0,217
lt1_EN,0.1,0.9,S019,1,551.52,9.192,0.9655,319
lt1_EN,0.2,0.8,S001,0,429.98,7.166,1.0,242
lt1_EN,0.2,0.8,S002,0,410.31,6.839,0.5064,156
lt1_EN,0.2,0.8,S003,1,375.67,6.261,0.1724,319
lt1_EN,0.2,0.8,S004,0,425.81,7.097,0.9651,172
lt1_EN,0.2,0.8,S005,0,417.64,6.961,0.7689,264
lt1_EN,0.2,0.8,S006,0,425.8,7.097,1.0,141
lt1_EN,0.2,0.8,S007,0,428.19,7.137,0.9736,227
lt1_EN,0.2,0.8,S008,0,425.95,7.099,1.0,150
lt1_EN,0.2,0.8,S009,1,395.99,6.6,0.4831,356
lt1_EN,0.2,0.8,S010,1,425.5,7.092,0.8812,320
lt1_EN,0.2,0.8,S011,0,427.72,7.129,1.0,183
lt1_EN,0.2,0.8,S012,0,421.22,7.02,0.8405,163
lt1_EN,0.2,0.8,S013,1,411.8,6.863,0.6792,265
lt1_EN,0.2,0.8,S014,0,428.87,7.148,1.0,227
lt1_EN,0.2,0.8,S016,0,426.86,7.114,0.9734,188
lt1_EN,0.2,0.8,S017,1,425.35,7.089,0.914,221
lt1_EN,0.2,0.8,S018,0,428.57,7.143,1.0,217
lt1_EN,0.2,0.8,S019,1,416.18,6.936,0.7492,319
