tag,alpha,target_coverage,subject_id,trained,q_halfwidth_sec,q_halfwidth_min,empirical_coverage,n_windows
lt1_ENH,0.1,0.9,S001,0,530.42,8.84,0.9793,242
lt1_ENH,0.1,0.9,S002,0,528.19,8.803,1.0,156
lt1_ENH,0.1,0.9,S003,1,430.84,7.181,0.1912,319
lt1_ENH,0.1,0.9,S004,0,529.15,8.819,1.0,172
lt1_ENH,0.1,0.9,S005,0,535.35,8.922,1.0,264
lt1_ENH,0.1,0.9,S006,0,527.34,8.789,1.0,141
lt1_ENH,0.1,0.9,S007,0,530.26,8.838,0.9824,227
lt1_ENH,0.1,0.9,S008,0,528.13,8.802,1.0,150
lt1_ENH,0.1,0.9,S009,1,429.87,7.165,0.2556,356
lt1_ENH,0.1,0.9,S010,1,530.55,8.843,0.9625,320
lt1_ENH,0.1,0.9,S011,0,530.04,8.834,1.0,183
lt1_ENH,0.1,0.9,S012,0,526.9,8.782,0.9816,163
lt1_ENH,0.1,0.9,S013,1,530.46,8.841,0.9736,265
lt1_ENH,0.1,0.9,S014,0,531.97,8.866,1.0,227
lt1_ENH,0.1,0.9,S016,0,530.32,8.839,1.0,188
lt1_ENH,0.1,0.9,S017,1,531.61,8.86,1.0,221
lt1_ENH,0.1,0.9,S018,0,531.39,8.856,1.0,217
lt1_ENH,0.1,0.9,S019,1,537.16,8.953,0.9937,319
lt1_ENH,0.2,0.8,S001,0,387.27,6.455,0.9463,242
lt1_ENH,0.2,0.8,S002,0,379.14,6.319,0.7949,156
lt1_ENH,0.2,0.8,S003,1,337.56,5.626,0.1191,319
lt1_ENH,0.2,0.8,S004,0,386.78,6.446,1.0,172
lt1_ENH,0.2,0.8,S005,0,390.98,6.516,1.0,264
lt1_ENH,0.2,0.8,S006,0,385.07,6.418,1.0,141
lt1_ENH,0.2,0.8,S007,0,382.76,6.379,0.8678,227
lt1_ENH,0.2,0.8,S008,0,385.29,6.422,1.0,150
lt1_ENH,0.2,0.8,S009,1,331.12,5.519,0.0758,356
lt1_ENH,0.2,0.8,S010,1,373.83,6.23,0.725,320
lt1_ENH,0.2,0.8,S011,0,387.95,6.466,1.0,183
lt1_ENH,0.2,0.8,S012,0,379.09,6.318,0.7914,163
lt1_ENH,0.2,0.8,S013,1,384.13,6.402,0.883,265
lt1_ENH,0.2,0.8,S014,0,389.58,6.493,1.0,227
lt1_ENH,0.2,0.8,S016,0,386.87,6.448,0.984,188
lt1_ENH,0.2,0.8,S017,1,384.28,6.405,0.905,221
lt1_ENH,0.2,0.8,S018,0,388.78,6.48,0.9908,217
lt1_ENH,0.2,0.8,S019,1,393.58,6.56,0.9906,319
