tag,alpha,target_coverage,subject_id,trained,q_halfwidth_sec,q_halfwidth_min,empirical_coverage,n_windows
lt1_EN_noabs,0.1,0.9,S001,0,547.25,9.121,1.0,242
lt1_EN_noabs,0.1,0.9,S002,0,543.39,9.056,1.0,156
lt1_EN_noabs,0.1,0.9,S003,1,470.55,7.842,0.3981,319
lt1_EN_noabs,0.1,0.9,S004,0,541.77,9.029,0.9651,172
lt1_EN_noabs,0.1,0.9,S005,0,547.79,9.13,1.0,264
lt1_EN_noabs,0.1,0.9,S006,0,542.65,9.044,1.0,141
lt1_EN_noabs,0.1,0.9,S007,0,545.69,9.095,0.9824,227
lt1_EN_noabs,0.1,0.9,S008,0,543.13,9.052,1.0,150
lt1_EN_noabs,0.1,0.9,S009,1,481.38,8.023,0.5253,356
lt1_EN_noabs,0.1,0.9,S010,1,543.13,9.052,0.9469,320
lt1_EN_noabs,0.1,0.9,S011,0,545.66,9.094,1.0,183
lt1_EN_noabs,0.1,0.9,S012,0,539.26,8.988,0.9202,163
lt1_EN_noabs,0.1,0.9,S013,1,517.44,8.624,0.7472,265
lt1_EN_noabs,0.1,0.9,S014,0,546.97,9.116,1.0,227
lt1_EN_noabs,0.1,0.9,S016,0,545.7,9.095,1.0,188
lt1_EN_noabs,0.1,0.9,S017,1,546.85,9.114,1.0,221
lt1_EN_noabs,0.1,0.9,S018,0,546.66,9.111,1.0,217
lt1_EN_noabs,0.1,0.9,S019,1,541.8,9.03,0.9373,319
lt1_EN_noabs,0.2,0.8,S001,0,409.42,6.824,1.0,242
lt1_EN_noabs,0.2,0.8,S002,0,401.91,6.699,0.9679,156
lt1_EN_noabs,0.2,0.8,S003,1,353.16,5.886,0.1944,319
lt1_EN_noabs,0.2,0.8,S004,0,403.3,6.722,0.9651,172
lt1_EN_noabs,0.2,0.8,S005,0,389.9,6.498,0.75,264
lt1_EN_noabs,0.2,0.8,S006,0,402.57,6.709,0.9929,141
lt1_EN_noabs,0.2,0.8,S007,0,403.3,6.722,0.9251,227
lt1_EN_noabs,0.2,0.8,S008,0,403.69,6.728,1.0,150
lt1_EN_noabs,0.2,0.8,S009,1,366.33,6.106,0.4326,356
lt1_EN_noabs,0.2,0.8,S010,1,396.17,6.603,0.8406,320
lt1_EN_noabs,0.2,0.8,S011,0,405.09,6.752,1.0,183
lt1_EN_noabs,0.2,0.8,S012,0,383.15,6.386,0.5583,163
lt1_EN_noabs,0.2,0.8,S013,1,379.62,6.327,0.5887,265
lt1_EN_noabs,0.2,0.8,S014,0,408.61,6.81,1.0,227
lt1_EN_noabs,0.2,0.8,S016,0,405.07,6.751,0.9894,188
lt1_EN_noabs,0.2,0.8,S017,1,408.39,6.807,1.0,221
lt1_EN_noabs,0.2,0.8,S018,0,408.29,6.805,1.0,217
lt1_EN_noabs,0.2,0.8,S019,1,389.9,6.498,0.7586,319
