tag,alpha,target_coverage,subject_id,trained,q_halfwidth_sec,q_halfwidth_min,empirical_coverage,n_windows
lt2_HRV,0.1,0.9,S001,0,326.08,5.435,0.9904,208
lt2_HRV,0.1,0.9,S002,0,325.01,5.417,1.0,154
lt2_HRV,0.1,0.9,S003,1,272.5,4.542,0.6089,271
lt2_HRV,0.1,0.9,S004,0,325.06,5.418,1.0,169
lt2_HRV,0.1,0.9,S005,0,297.55,4.959,0.7625,240
lt2_HRV,0.1,0.9,S006,0,324.51,5.409,1.0,139
lt2_HRV,0.1,0.9,S007,0,316.16,5.269,1.0,17
lt2_HRV,0.1,0.9,S008,0,324.89,5.415,1.0,148
lt2_HRV,0.1,0.9,S009,1,333.4,5.557,1.0,354
lt2_HRV,0.1,0.9,S010,1,256.63,4.277,0.5126,318
lt2_HRV,0.1,0.9,S011,0,326.06,5.434,1.0,181
lt2_HRV,0.1,0.9,S012,0,325.06,5.418,1.0,161
lt2_HRV,0.1,0.9,S013,1,329.75,5.496,0.9962,263
lt2_HRV,0.1,0.9,S014,0,319.01,5.317,0.92,225
lt2_HRV,0.1,0.9,S016,0,326.08,5.435,1.0,186
lt2_HRV,0.1,0.9,S017,1,327.74,5.462,1.0,219
lt2_HRV,0.1,0.9,S018,0,279.2,4.653,0.1358,81
lt2_HRV,0.1,0.9,S019,1,331.57,5.526,1.0,317
lt2_HRV,0.2,0.8,S001,0,206.4,3.44,0.6923,208
lt2_HRV,0.2,0.8,S002,0,213.33,3.555,1.0,154
lt2_HRV,0.2,0.8,S003,1,199.36,3.323,0.4723,271
lt2_HRV,0.2,0.8,S004,0,211.75,3.529,0.8994,169
lt2_HRV,0.2,0.8,S005,0,206.32,3.439,0.7,240
lt2_HRV,0.2,0.8,S006,0,212.11,3.535,0.9424,139
lt2_HRV,0.2,0.8,S007,0,209.75,3.496,1.0,17
lt2_HRV,0.2,0.8,S008,0,213.19,3.553,1.0,148
lt2_HRV,0.2,0.8,S009,1,218.0,3.633,0.9746,354
lt2_HRV,0.2,0.8,S010,1,195.23,3.254,0.3994,318
lt2_HRV,0.2,0.8,S011,0,212.64,3.544,0.9337,181
lt2_HRV,0.2,0.8,S012,0,212.64,3.544,0.9503,161
lt2_HRV,0.2,0.8,S013,1,212.09,3.535,0.8745,263
lt2_HRV,0.2,0.8,S014,0,206.15,3.436,0.68,225
lt2_HRV,0.2,0.8,S016,0,213.24,3.554,0.9624,186
lt2_HRV,0.2,0.8,S017,1,215.42,3.59,0.9954,219
lt2_HRV,0.2,0.8,S018,0,202.21,3.37,0.037,81
lt2_HRV,0.2,0.8,S019,1,213.17,3.553,0.8927,317
