tag,alpha,target_coverage,subject_id,trained,q_halfwidth_sec,q_halfwidth_min,empirical_coverage,n_windows
lt2_HRV_noabs,0.1,0.9,S001,0,399.81,6.663,0.9808,208
lt2_HRV_noabs,0.1,0.9,S002,0,399.23,6.654,1.0,154
lt2_HRV_noabs,0.1,0.9,S003,1,385.25,6.421,0.7934,271
lt2_HRV_noabs,0.1,0.9,S004,0,399.86,6.664,1.0,169
lt2_HRV_noabs,0.1,0.9,S005,0,380.56,6.343,0.7083,240
lt2_HRV_noabs,0.1,0.9,S006,0,396.77,6.613,0.964,139
lt2_HRV_noabs,0.1,0.9,S007,0,394.93,6.582,1.0,17
lt2_HRV_noabs,0.1,0.9,S008,0,399.06,6.651,1.0,148
lt2_HRV_noabs,0.1,0.9,S009,1,407.68,6.795,0.9859,354
lt2_HRV_noabs,0.1,0.9,S010,1,362.63,6.044,0.5723,318
lt2_HRV_noabs,0.1,0.9,S011,0,400.32,6.672,1.0,181
lt2_HRV_noabs,0.1,0.9,S012,0,399.48,6.658,1.0,161
lt2_HRV_noabs,0.1,0.9,S013,1,394.05,6.567,0.8859,263
lt2_HRV_noabs,0.1,0.9,S014,0,404.37,6.74,0.9956,225
lt2_HRV_noabs,0.1,0.9,S016,0,401.49,6.691,1.0,186
lt2_HRV_noabs,0.1,0.9,S017,1,405.29,6.755,1.0,219
lt2_HRV_noabs,0.1,0.9,S018,0,379.7,6.328,0.2716,81
lt2_HRV_noabs,0.1,0.9,S019,1,396.15,6.602,0.918,317
lt2_HRV_noabs,0.2,0.8,S001,0,289.14,4.819,0.7404,208
lt2_HRV_noabs,0.2,0.8,S002,0,299.81,4.997,1.0,154
lt2_HRV_noabs,0.2,0.8,S003,1,280.01,4.667,0.5978,271
lt2_HRV_noabs,0.2,0.8,S004,0,297.65,4.961,0.9349,169
lt2_HRV_noabs,0.2,0.8,S005,0,279.99,4.666,0.5708,240
lt2_HRV_noabs,0.2,0.8,S006,0,291.95,4.866,0.7986,139
lt2_HRV_noabs,0.2,0.8,S007,0,292.1,4.868,0.8235,17
lt2_HRV_noabs,0.2,0.8,S008,0,299.36,4.989,1.0,148
lt2_HRV_noabs,0.2,0.8,S009,1,300.44,5.007,0.9068,354
lt2_HRV_noabs,0.2,0.8,S010,1,271.25,4.521,0.4717,318
lt2_HRV_noabs,0.2,0.8,S011,0,298.73,4.979,0.9558,181
lt2_HRV_noabs,0.2,0.8,S012,0,297.87,4.964,0.9503,161
lt2_HRV_noabs,0.2,0.8,S013,1,292.31,4.872,0.8061,263
lt2_HRV_noabs,0.2,0.8,S014,0,289.27,4.821,0.7511,225
lt2_HRV_noabs,0.2,0.8,S016,0,300.36,5.006,1.0,186
lt2_HRV_noabs,0.2,0.8,S017,1,300.94,5.016,0.9954,219
lt2_HRV_noabs,0.2,0.8,S018,0,280.63,4.677,0.1728,81
lt2_HRV_noabs,0.2,0.8,S019,1,297.8,4.963,0.8738,317
