bin,n,median_err_sec,q25_err_sec,q75_err_sec,median_err_min,model_id,target,x
0-30s,96,151.51441343382461,81.02305120353545,191.60824442374485,2.525,v0011_HRV,lt2,time_to_threshold
30-60s,96,138.49640159925744,82.8946465961817,177.81380279330813,2.308,v0011_HRV,lt2,time_to_threshold
60-120s,192,123.24821291932957,96.01071978792874,155.2883646170612,2.054,v0011_HRV,lt2,time_to_threshold
120-240s,396,127.83346525311514,77.16644485888095,170.9526516299253,2.131,v0011_HRV,lt2,time_to_threshold
240-480s,817,100.13772433556869,43.44233867093004,168.53368519065327,1.669,v0011_HRV,lt2,time_to_threshold
>480s,1052,121.07165286492909,57.172110179319645,278.70760838412997,2.018,v0011_HRV,lt2,time_to_threshold
60-120s,198,129.4048608069832,47.45322053805121,213.6113075122295,2.157,v0011_HRV,lt2,elapsed_sec
120-240s,411,125.34232040435808,75.48806579054855,179.85478313021983,2.089,v0011_HRV,lt2,elapsed_sec
240-480s,780,84.11521014843484,39.83733608997032,149.214896977616,1.402,v0011_HRV,lt2,elapsed_sec
>480s,2262,119.37463517844526,74.1225044389179,180.05237096184308,1.99,v0011_HRV,lt2,elapsed_sec
0-30s,96,90.5425961850428,62.76892253360221,163.3871590262585,1.509,v0011_ENH,lt2,time_to_threshold
30-60s,96,98.47593209533397,66.49840449179322,140.09994604509316,1.641,v0011_ENH,lt2,time_to_threshold
60-120s,192,112.75728250639378,60.03239304928244,155.32696325616038,1.879,v0011_ENH,lt2,time_to_threshold
120-240s,396,112.30346412627168,62.289736771747094,162.86779840608517,1.872,v0011_ENH,lt2,time_to_threshold
240-480s,817,109.90576459478405,51.2202510594563,169.4347325868835,1.832,v0011_ENH,lt2,time_to_threshold
>480s,1052,134.91378000745476,64.42744870941718,210.99087103812977,2.249,v0011_ENH,lt2,time_to_threshold
60-120s,198,166.72350139798226,123.03157944176087,224.91559019764046,2.779,v0011_ENH,lt2,elapsed_sec
120-240s,411,129.7841286601049,73.39898833012316,198.46648766772734,2.163,v0011_ENH,lt2,elapsed_sec
240-480s,780,107.7472271786148,55.991313367614325,155.71382287752587,1.796,v0011_ENH,lt2,elapsed_sec
>480s,2262,124.78655013325553,63.714258071099664,197.68233870143467,2.08,v0011_ENH,lt2,elapsed_sec
0-30s,96,139.7905251635675,85.81646983882389,221.16214467902927,2.33,v0107_ENH,lt2,time_to_threshold
30-60s,96,123.2015011666748,70.18653588594071,192.92158999635214,2.053,v0107_ENH,lt2,time_to_threshold
60-120s,192,127.8230260000957,73.00271264725333,228.06599885053666,2.13,v0107_ENH,lt2,time_to_threshold
120-240s,394,127.22722866077295,68.1444318639914,202.9654215391554,2.12,v0107_ENH,lt2,time_to_threshold
240-480s,816,120.60654540081217,63.277831105609394,195.94374263038026,2.01,v0107_ENH,lt2,time_to_threshold
>480s,1038,150.6709052093906,80.67161332652402,218.53331233684207,2.511,v0107_ENH,lt2,time_to_threshold
60-120s,187,174.63746973184482,83.76636959852723,209.5758094716491,2.911,v0107_ENH,lt2,elapsed_sec
120-240s,408,146.3335202758022,91.36597172257846,199.81721174193495,2.439,v0107_ENH,lt2,elapsed_sec
240-480s,779,130.24110803487486,74.29888925255628,191.52724664695754,2.171,v0107_ENH,lt2,elapsed_sec
>480s,2260,136.68997255049538,69.87017734258791,260.163176989589,2.278,v0107_ENH,lt2,elapsed_sec
0-30s,108,101.64998334773148,51.945828042807946,188.67842462575516,1.694,v0011_EN_lt1,lt1,time_to_threshold
30-60s,108,139.85045238684089,70.20209380391044,234.7511695529369,2.331,v0011_EN_lt1,lt1,time_to_threshold
60-120s,216,137.32553501890663,72.5023780089679,230.14446234482816,2.289,v0011_EN_lt1,lt1,time_to_threshold
120-240s,432,94.73053840405788,45.30378076363718,207.6746871837438,1.579,v0011_EN_lt1,lt1,time_to_threshold
240-480s,509,112.38771475765344,54.09948490149651,402.6578364081711,1.873,v0011_EN_lt1,lt1,time_to_threshold
>480s,224,427.64241055397815,364.0053442292118,570.8502097628646,7.127,v0011_EN_lt1,lt1,time_to_threshold
30-60s,18,97.4029322525378,32.307537418460555,165.77692397552687,1.623,v0011_EN_lt1,lt1,elapsed_sec
60-120s,216,93.76069061934584,41.580210498378946,197.25078289495858,1.563,v0011_EN_lt1,lt1,elapsed_sec
120-240s,432,102.78740584326545,44.75335471628623,181.7188865085207,1.713,v0011_EN_lt1,lt1,elapsed_sec
240-480s,864,130.9752688570615,64.99795694869188,241.94076992991933,2.183,v0011_EN_lt1,lt1,elapsed_sec
>480s,2600,178.69219944772277,82.91307882936381,362.3013945404813,2.978,v0011_EN_lt1,lt1,elapsed_sec
0-30s,108,104.75609017683922,61.38161704336781,204.84782568632798,1.746,v0011_ENH_lt1,lt1,time_to_threshold
30-60s,108,121.62647069347071,75.00004891348857,230.51849936895292,2.027,v0011_ENH_lt1,lt1,time_to_threshold
60-120s,216,135.33336663734426,47.19322863836135,228.76376960537954,2.256,v0011_ENH_lt1,lt1,time_to_threshold
120-240s,432,97.39737964980793,41.751189479849245,198.87876183992137,1.623,v0011_ENH_lt1,lt1,time_to_threshold
240-480s,509,166.19131626391646,72.02587117991493,283.7088700171248,2.77,v0011_ENH_lt1,lt1,time_to_threshold
>480s,224,404.3553928261164,289.3016346803975,589.7168604988109,6.739,v0011_ENH_lt1,lt1,time_to_threshold
30-60s,18,203.64921881052072,82.25000114497439,297.18783308306814,3.394,v0011_ENH_lt1,lt1,elapsed_sec
60-120s,216,160.67019292359657,63.246915770895654,255.1294463490591,2.678,v0011_ENH_lt1,lt1,elapsed_sec
120-240s,432,107.87581433361501,47.64073448759978,232.47192337562262,1.798,v0011_ENH_lt1,lt1,elapsed_sec
240-480s,864,124.55686984399469,61.38161704336781,225.49945979886598,2.076,v0011_ENH_lt1,lt1,elapsed_sec
>480s,2600,159.18488376298498,76.72157718906257,302.9251195724873,2.653,v0011_ENH_lt1,lt1,elapsed_sec
0-30s,108,119.18953221985043,48.28626928650445,167.01818642159748,1.986,v0107_ENH_lt1,lt1,time_to_threshold
30-60s,108,124.5620508422715,53.18504261853819,197.19231922522542,2.076,v0107_ENH_lt1,lt1,time_to_threshold
60-120s,216,87.84300763278043,45.7950824915046,195.56977377761118,1.464,v0107_ENH_lt1,lt1,time_to_threshold
120-240s,432,118.72638612255044,55.56288652874407,188.17076149773658,1.979,v0107_ENH_lt1,lt1,time_to_threshold
240-480s,509,161.2879318266228,66.43412750250397,328.658479611035,2.688,v0107_ENH_lt1,lt1,time_to_threshold
>480s,224,372.4688941086571,274.64936199732284,553.1058710810287,6.208,v0107_ENH_lt1,lt1,time_to_threshold
30-60s,18,276.6922152426015,150.6366350593201,330.96406004024453,4.612,v0107_ENH_lt1,lt1,elapsed_sec
60-120s,216,163.49128584735922,62.66892614781213,242.48624739726887,2.725,v0107_ENH_lt1,lt1,elapsed_sec
120-240s,432,119.2797212758803,51.40219875030311,221.52944013314413,1.988,v0107_ENH_lt1,lt1,elapsed_sec
240-480s,864,125.13778967500801,55.54779133516521,243.87181487865794,2.086,v0107_ENH_lt1,lt1,elapsed_sec
>480s,2600,173.22124363716392,79.77582101723405,330.7089109515454,2.887,v0107_ENH_lt1,lt1,elapsed_sec
