feature,mean_abs_shap,group,share_pct
z_vl_dist_load_wavelet_entropy,48.3259,EMG,4.9
trainred_hbdiff_std,44.4586,NIRS,4.5
trainred_smo2_drop,44.3317,NIRS,4.5
trainred_hhb_mean,43.071,NIRS,4.3
hhb_from_running_min,39.0467,NIRS,3.9
smo2_from_running_max,35.8215,NIRS,3.6
trainred_hhb_std,32.8644,NIRS,3.3
z_vl_dist_rest_ratio_mid_high,29.0019,EMG,2.9
z_vl_prox_load_e_d5,28.5276,EMG,2.9
z_vl_dist_load_zcr,28.4785,EMG,2.9
z_vl_dist_load_rms,26.523,EMG,2.7
z_vl_dist_rest_p_high,23.9989,EMG,2.4
z_vl_prox_load_mdf,23.2572,EMG,2.3
z_vl_prox_rest_ratio_mid_high,21.4506,EMG,2.2
trainred_hbdiff_mean,21.1442,NIRS,2.1
z_vl_prox_load_wavelet_entropy,19.5536,EMG,2.0
z_vl_prox_load_p_high,19.4027,EMG,2.0
trainred_smo2_std,18.9127,NIRS,1.9
trainred_smo2_mean,17.2259,NIRS,1.7
z_vl_prox_load_p_mid,16.7096,EMG,1.7
z_vl_prox_load_mnf,16.0608,EMG,1.6
z_load_duration_ms,15.4776,kinematics,1.6
z_vl_dist_load_e_d5,15.4378,EMG,1.6
z_vl_dist_load_mdf,15.2318,EMG,1.5
trainred_thb_mean,14.3267,NIRS,1.4
z_vl_dist_load_p_mid,14.2322,EMG,1.4
z_vl_dist_rest_p_low,13.7057,EMG,1.4
z_vl_prox_rest_zcr,13.4512,EMG,1.4
z_vl_prox_load_zcr,12.388,EMG,1.2
z_vl_prox_rest_p_low,12.1247,EMG,1.2
z_vl_prox_load_e_d3,12.0462,EMG,1.2
z_vl_prox_rest_p_mid,11.867,EMG,1.2
z_vl_prox_rest_mav,11.6861,EMG,1.2
z_vl_prox_load_rms_cv,10.4196,EMG,1.0
z_vl_dist_rest_ratio_low_high,10.3958,EMG,1.0
z_vl_dist_load_p_low,10.3493,EMG,1.0
z_vl_prox_load_wl,10.2494,EMG,1.0
z_cadence_mean_rpm,10.2405,kinematics,1.0
trainred_thb_std,10.2184,NIRS,1.0
z_vl_dist_load_e_d3,9.9994,EMG,1.0
z_vl_prox_rest_wavelet_entropy,8.7756,EMG,0.9
z_vl_dist_load_ratio_mid_high,7.7652,EMG,0.8
z_vl_dist_load_e_d4,7.4391,EMG,0.7
z_vl_prox_load_ratio_mid_high,7.3637,EMG,0.7
z_load_duration_cv,7.1653,kinematics,0.7
z_vl_prox_load_rms,6.2732,EMG,0.6
z_vl_dist_rest_wavelet_entropy,5.9075,EMG,0.6
z_vl_prox_rest_mnf,5.7315,EMG,0.6
z_vl_dist_load_rms_cv,5.6028,EMG,0.6
z_vl_dist_rest_rms,5.5004,EMG,0.6
z_rest_duration_ms,5.3702,kinematics,0.5
z_vl_dist_rest_mnf,5.2596,EMG,0.5
trainred_thb_slope,4.9995,NIRS,0.5
z_vl_prox_rest_wl,4.6359,EMG,0.5
z_vl_dist_load_ratio_low_high,4.5514,EMG,0.5
z_vl_dist_load_wl,4.4999,EMG,0.5
z_vl_prox_rest_e_d2,4.4863,EMG,0.5
z_vl_dist_rest_rms_cv,4.2308,EMG,0.4
z_vl_prox_rest_p_high,4.2085,EMG,0.4
z_vl_prox_load_e_d4,4.1309,EMG,0.4
z_vl_prox_load_mav,3.6505,EMG,0.4
z_vl_dist_load_e_d2,3.5993,EMG,0.4
z_vl_prox_rest_e_d3,2.9567,EMG,0.3
z_vl_dist_load_mav,2.788,EMG,0.3
z_vl_dist_load_mnf,2.7519,EMG,0.3
trainred_hbdiff_slope,2.5654,NIRS,0.3
z_vl_prox_load_ratio_low_high,2.4665,EMG,0.2
z_vl_prox_load_p_low,2.3506,EMG,0.2
z_cadence_cv,1.8863,kinematics,0.2
z_rest_sampen_30s,1.8477,kinematics,0.2
z_vl_dist_rest_wl,1.8099,EMG,0.2
z_load_sampen_30s,1.688,kinematics,0.2
z_vl_prox_rest_rms_cv,1.4157,EMG,0.1
z_vl_prox_rest_e_d5,1.4012,EMG,0.1
smo2_rel_drop_pct,1.3586,NIRS,0.1
z_vl_dist_rest_mav,1.222,EMG,0.1
z_vl_prox_rest_rms,1.1834,EMG,0.1
trainred_hhb_slope,1.1454,NIRS,0.1
trainred_dhhb_dt,1.1454,NIRS,0.1
z_vl_dist_load_p_high,1.0916,EMG,0.1
trainred_smo2_slope,1.0257,NIRS,0.1
trainred_dsmo2_dt,1.0257,NIRS,0.1
z_rest_trend_cv_ratio_30s,0.9468,kinematics,0.1
z_vl_prox_rest_mdf,0.7501,EMG,0.1
z_vl_dist_rest_p_mid,0.7366,EMG,0.1
z_rest_duration_cv,0.6763,kinematics,0.1
z_vl_dist_rest_e_d3,0.3782,EMG,0.0
z_vl_dist_rest_e_d4,0.3532,EMG,0.0
z_load_rest_ratio,0.3413,kinematics,0.0
z_vl_dist_rest_zcr,0.34,EMG,0.0
z_vl_dist_rest_mdf,0.2052,EMG,0.0
z_load_trend_cv_ratio_30s,0.1617,kinematics,0.0
z_vl_dist_rest_e_d2,0.1589,EMG,0.0
z_vl_dist_rest_e_d5,0.1429,EMG,0.0
z_vl_prox_load_e_d2,0.0312,EMG,0.0
z_vl_prox_rest_e_d4,0.0307,EMG,0.0
z_vl_prox_rest_ratio_low_high,0.0278,EMG,0.0
