feature,mean_abs_shap,group,share_pct
hrv_mean_rr_ms,32.9459,HRV,4.9
trainred_hhb_std,31.908,NIRS,4.7
feat_rr_per_watt,30.4745,interaction,4.5
trainred_smo2_drop,30.3646,NIRS,4.5
trainred_hhb_mean,23.8309,NIRS,3.5
hrv_dfa_alpha1,20.921,HRV,3.1
smo2_from_running_max,18.308,NIRS,2.7
hhb_from_running_min,16.4666,NIRS,2.4
z_vl_dist_load_zcr,16.4155,EMG,2.4
trainred_thb_std,14.9721,NIRS,2.2
trainred_hbdiff_std,14.1762,NIRS,2.1
z_vl_prox_load_wl,12.8822,EMG,1.9
trainred_thb_mean,12.6929,NIRS,1.9
z_vl_dist_load_rms,11.5126,EMG,1.7
z_vl_prox_rest_mav,11.415,EMG,1.7
feat_smo2_x_rr,10.9504,interaction,1.6
z_vl_prox_rest_p_low,10.3649,EMG,1.5
z_vl_dist_load_wavelet_entropy,10.358,EMG,1.5
z_vl_dist_load_e_d5,10.1023,EMG,1.5
trainred_smo2_std,9.9295,NIRS,1.5
trainred_smo2_mean,9.7268,NIRS,1.4
z_vl_prox_load_e_d3,9.5754,EMG,1.4
z_vl_prox_load_p_high,9.3774,EMG,1.4
z_vl_prox_load_zcr,9.3696,EMG,1.4
z_vl_dist_rest_p_high,9.1367,EMG,1.4
z_cadence_mean_rpm,8.9577,kinematics,1.3
z_vl_prox_load_e_d5,8.0274,EMG,1.2
z_vl_prox_load_p_mid,7.9599,EMG,1.2
z_vl_prox_load_e_d4,7.4715,EMG,1.1
z_vl_dist_rest_ratio_mid_high,7.3689,EMG,1.1
z_vl_dist_load_e_d4,6.9945,EMG,1.0
z_vl_prox_load_mdf,6.7822,EMG,1.0
z_vl_dist_rest_p_low,6.7049,EMG,1.0
trainred_hbdiff_mean,6.2894,NIRS,0.9
smo2_rel_drop_pct,6.2042,NIRS,0.9
z_vl_prox_rest_ratio_mid_high,5.8305,EMG,0.9
z_vl_prox_rest_wavelet_entropy,5.699,EMG,0.8
z_vl_prox_rest_mnf,5.6371,EMG,0.8
z_vl_prox_load_mnf,5.6329,EMG,0.8
z_vl_prox_rest_zcr,5.5388,EMG,0.8
z_vl_prox_rest_p_mid,5.2399,EMG,0.8
hrv_rmssd_ms,5.2268,HRV,0.8
hrv_sd1_ms,5.1722,HRV,0.8
z_vl_dist_load_ratio_low_high,5.0592,EMG,0.7
z_vl_prox_load_wavelet_entropy,5.0492,EMG,0.7
hrv_sd1_sd2_ratio,4.7871,HRV,0.7
z_vl_dist_rest_mnf,4.7377,EMG,0.7
hrv_sdnn_ms,4.6752,HRV,0.7
hrv_sd2_ms,4.5873,HRV,0.7
feat_smo2_x_dfa,4.5281,interaction,0.7
z_vl_prox_load_rms,4.5108,EMG,0.7
z_load_rest_ratio,4.3299,kinematics,0.6
z_vl_prox_load_ratio_mid_high,4.2671,EMG,0.6
z_rest_duration_ms,4.2079,kinematics,0.6
z_load_duration_ms,4.1072,kinematics,0.6
z_vl_dist_rest_p_mid,4.0364,EMG,0.6
z_vl_dist_load_mnf,3.7837,EMG,0.6
z_vl_dist_load_p_low,3.7806,EMG,0.6
z_vl_dist_load_ratio_mid_high,3.658,EMG,0.5
z_vl_prox_load_p_low,3.4479,EMG,0.5
z_vl_dist_rest_zcr,3.4353,EMG,0.5
z_vl_prox_rest_e_d2,3.415,EMG,0.5
z_vl_dist_load_p_mid,3.3981,EMG,0.5
z_vl_dist_load_mav,3.1675,EMG,0.5
trainred_smo2_slope,3.0527,NIRS,0.5
trainred_dsmo2_dt,3.0228,NIRS,0.4
z_vl_dist_load_mdf,2.8143,EMG,0.4
trainred_dhhb_dt,2.7714,NIRS,0.4
z_vl_prox_rest_ratio_low_high,2.7491,EMG,0.4
trainred_hhb_slope,2.7027,NIRS,0.4
z_vl_prox_rest_mdf,2.5753,EMG,0.4
z_vl_dist_load_rms_cv,2.5715,EMG,0.4
z_vl_dist_rest_ratio_low_high,2.5373,EMG,0.4
z_vl_dist_load_e_d3,2.4874,EMG,0.4
z_vl_dist_load_wl,2.3785,EMG,0.4
trainred_hbdiff_slope,2.3634,NIRS,0.3
z_vl_prox_load_e_d2,2.3424,EMG,0.3
z_vl_prox_rest_p_high,2.3238,EMG,0.3
z_vl_prox_load_mav,2.3217,EMG,0.3
z_vl_prox_load_rms_cv,2.3197,EMG,0.3
z_vl_prox_load_ratio_low_high,2.3077,EMG,0.3
z_vl_dist_rest_rms_cv,2.2949,EMG,0.3
z_vl_dist_rest_wavelet_entropy,2.0181,EMG,0.3
z_vl_prox_rest_rms,1.9821,EMG,0.3
z_vl_dist_load_p_high,1.9739,EMG,0.3
trainred_thb_slope,1.9048,NIRS,0.3
z_load_sampen_30s,1.8135,kinematics,0.3
z_vl_dist_load_e_d2,1.7568,EMG,0.3
z_vl_dist_rest_mdf,1.7264,EMG,0.3
z_vl_dist_rest_rms,1.6843,EMG,0.2
z_vl_prox_rest_e_d3,1.5542,EMG,0.2
z_vl_prox_rest_wl,1.4512,EMG,0.2
z_rest_trend_cv_ratio_30s,1.4025,kinematics,0.2
z_rest_sampen_30s,1.2476,kinematics,0.2
z_cadence_cv,1.1966,kinematics,0.2
z_vl_dist_rest_wl,1.1301,EMG,0.2
z_vl_prox_rest_rms_cv,1.099,EMG,0.2
z_load_trend_cv_ratio_30s,1.0658,kinematics,0.2
z_rest_duration_cv,0.8292,kinematics,0.1
z_vl_dist_rest_mav,0.7251,EMG,0.1
z_load_duration_cv,0.5705,kinematics,0.1
z_vl_prox_rest_e_d5,0.519,EMG,0.1
z_vl_dist_rest_e_d3,0.312,EMG,0.0
z_vl_dist_rest_e_d2,0.1874,EMG,0.0
z_vl_dist_rest_e_d4,0.1699,EMG,0.0
z_vl_prox_rest_e_d4,0.1329,EMG,0.0
z_vl_dist_rest_e_d5,0.0488,EMG,0.0
