feature,mean_abs_shap,group,share_pct
trainred_hhb_std,39.607,NIRS,5.2
trainred_smo2_drop,36.7024,NIRS,4.9
smo2_from_running_max,34.0874,NIRS,4.5
hhb_from_running_min,31.3578,NIRS,4.2
trainred_hhb_mean,30.2608,NIRS,4.0
trainred_thb_std,28.0604,NIRS,3.7
trainred_hbdiff_std,27.8525,NIRS,3.7
trainred_smo2_mean,18.7513,NIRS,2.5
z_vl_dist_rest_ratio_mid_high,16.7408,EMG,2.2
z_vl_dist_load_rms,16.6463,EMG,2.2
z_vl_dist_load_zcr,16.2492,EMG,2.2
trainred_thb_mean,15.9695,NIRS,2.1
z_vl_dist_load_wavelet_entropy,15.2237,EMG,2.0
z_vl_dist_rest_p_high,14.7186,EMG,2.0
z_vl_prox_load_e_d3,12.5883,EMG,1.7
z_load_duration_ms,12.1394,kinematics,1.6
z_vl_prox_rest_p_low,12.1037,EMG,1.6
z_vl_dist_load_e_d5,11.8518,EMG,1.6
z_vl_prox_rest_mav,11.7911,EMG,1.6
z_vl_prox_load_e_d5,11.5726,EMG,1.5
z_vl_dist_rest_zcr,10.8355,EMG,1.4
z_cadence_mean_rpm,10.3554,kinematics,1.4
z_vl_prox_load_mdf,10.2366,EMG,1.4
z_vl_prox_load_zcr,10.079,EMG,1.3
z_vl_prox_load_e_d4,9.8553,EMG,1.3
trainred_hbdiff_mean,9.6575,NIRS,1.3
z_vl_prox_load_p_high,9.3938,EMG,1.2
z_vl_prox_rest_ratio_mid_high,9.3823,EMG,1.2
z_vl_dist_rest_p_low,9.095,EMG,1.2
trainred_smo2_std,8.9547,NIRS,1.2
z_vl_prox_load_wl,8.6777,EMG,1.1
z_vl_dist_rest_mnf,8.3948,EMG,1.1
z_vl_prox_rest_p_mid,8.0026,EMG,1.1
z_vl_dist_load_e_d4,7.8704,EMG,1.0
z_vl_prox_rest_wavelet_entropy,7.4648,EMG,1.0
z_vl_prox_load_p_mid,7.0731,EMG,0.9
z_vl_dist_rest_rms,6.7862,EMG,0.9
smo2_rel_drop_pct,6.3168,NIRS,0.8
z_vl_dist_load_p_low,6.1381,EMG,0.8
z_vl_prox_rest_p_high,5.8086,EMG,0.8
z_vl_dist_rest_p_mid,5.7104,EMG,0.8
z_vl_dist_rest_ratio_low_high,5.6705,EMG,0.8
z_vl_dist_load_e_d3,5.5453,EMG,0.7
z_vl_prox_load_mnf,5.4088,EMG,0.7
z_vl_dist_load_ratio_mid_high,5.202,EMG,0.7
z_vl_dist_load_mnf,5.1202,EMG,0.7
z_vl_prox_load_ratio_mid_high,5.0657,EMG,0.7
z_vl_dist_load_ratio_low_high,5.0457,EMG,0.7
trainred_thb_slope,4.3594,NIRS,0.6
z_vl_prox_load_wavelet_entropy,4.343,EMG,0.6
z_rest_duration_ms,4.308,kinematics,0.6
z_vl_prox_load_p_low,4.2251,EMG,0.6
z_vl_dist_load_mdf,4.2063,EMG,0.6
z_vl_prox_load_mav,4.193,EMG,0.6
z_vl_dist_rest_wl,4.1125,EMG,0.5
z_cadence_cv,4.0597,kinematics,0.5
z_vl_prox_rest_ratio_low_high,4.0446,EMG,0.5
z_vl_dist_rest_rms_cv,3.9608,EMG,0.5
z_vl_prox_rest_e_d2,3.8476,EMG,0.5
z_vl_dist_load_rms_cv,3.8463,EMG,0.5
z_vl_prox_rest_mnf,3.7593,EMG,0.5
z_vl_prox_load_ratio_low_high,3.731,EMG,0.5
z_vl_prox_load_rms_cv,3.5879,EMG,0.5
z_vl_dist_load_p_mid,3.562,EMG,0.5
z_vl_prox_rest_zcr,3.3175,EMG,0.4
z_vl_prox_load_rms,3.1406,EMG,0.4
z_vl_prox_load_e_d2,3.0069,EMG,0.4
z_vl_dist_load_wl,2.9301,EMG,0.4
z_vl_prox_rest_mdf,2.9053,EMG,0.4
trainred_smo2_slope,2.8358,NIRS,0.4
z_rest_duration_cv,2.807,kinematics,0.4
trainred_hbdiff_slope,2.8007,NIRS,0.4
trainred_dsmo2_dt,2.7874,NIRS,0.4
z_vl_dist_load_p_high,2.776,EMG,0.4
z_vl_dist_rest_wavelet_entropy,2.7619,EMG,0.4
z_vl_dist_load_e_d2,2.7051,EMG,0.4
z_vl_dist_load_mav,2.5432,EMG,0.3
z_vl_prox_rest_rms_cv,2.324,EMG,0.3
z_rest_sampen_30s,2.2833,kinematics,0.3
z_vl_prox_rest_e_d3,2.232,EMG,0.3
z_load_sampen_30s,2.2262,kinematics,0.3
trainred_dhhb_dt,1.8357,NIRS,0.2
trainred_hhb_slope,1.8106,NIRS,0.2
z_rest_trend_cv_ratio_30s,1.7771,kinematics,0.2
z_vl_dist_rest_mav,1.7156,EMG,0.2
z_vl_dist_rest_mdf,1.6182,EMG,0.2
z_vl_prox_rest_rms,1.3797,EMG,0.2
z_vl_prox_rest_wl,1.3094,EMG,0.2
z_load_trend_cv_ratio_30s,1.3091,kinematics,0.2
z_load_rest_ratio,1.1601,kinematics,0.2
z_load_duration_cv,0.7844,kinematics,0.1
z_vl_prox_rest_e_d5,0.6256,EMG,0.1
z_vl_dist_rest_e_d4,0.4731,EMG,0.1
z_vl_dist_rest_e_d2,0.4031,EMG,0.1
z_vl_dist_rest_e_d3,0.3004,EMG,0.0
z_vl_prox_rest_e_d4,0.2149,EMG,0.0
z_vl_dist_rest_e_d5,0.0754,EMG,0.0
