version,family,target,feature_set,std_ratio_global,std_ratio_loso_median
v0011,linear,lt1,EMG,0.755,0.865
v0011,linear,lt1,NIRS,0.866,0.748
v0011,linear,lt1,HRV,0.626,0.67
v0011,linear,lt1,EMG_NIRS,0.739,0.826
v0011,linear,lt1,EMG_NIRS_HRV,0.751,0.831
v0011,linear,lt2,EMG,0.65,0.764
v0011,linear,lt2,NIRS,0.869,0.799
v0011,linear,lt2,HRV,0.886,0.923
v0011,linear,lt2,EMG_NIRS,0.735,0.836
v0011,linear,lt2,EMG_NIRS_HRV,0.901,0.951
v0101,lstm,lt1,EMG,0.1,0.11
v0101,lstm,lt1,NIRS,0.081,0.091
v0101,lstm,lt1,EMG_NIRS,0.101,0.117
v0101,lstm,lt1,EMG_NIRS_HRV,0.104,0.124
v0101,lstm,lt2,EMG,0.08,0.068
v0101,lstm,lt2,NIRS,0.064,0.035
v0101,lstm,lt2,EMG_NIRS,0.087,0.078
v0101,lstm,lt2,EMG_NIRS_HRV,0.084,0.083
v0102,tcn,lt1,EMG,0.281,0.145
v0102,tcn,lt1,NIRS,0.25,0.02
v0102,tcn,lt1,EMG_NIRS,0.366,0.128
v0102,tcn,lt1,EMG_NIRS_HRV,0.374,0.081
v0102,tcn,lt2,EMG,0.264,0.084
v0102,tcn,lt2,NIRS,0.27,0.029
v0102,tcn,lt2,EMG_NIRS,0.334,0.103
v0102,tcn,lt2,EMG_NIRS_HRV,0.387,0.109
v0103,wavelet,lt1,EMG,0.051,0.03
v0103,wavelet,lt1,NIRS,0.041,0.028
v0103,wavelet,lt1,EMG_NIRS,0.041,0.024
v0103,wavelet,lt1,EMG_NIRS_HRV,0.049,0.027
v0103,wavelet,lt2,EMG,0.048,0.016
v0103,wavelet,lt2,NIRS,0.033,0.023
v0103,wavelet,lt2,EMG_NIRS,0.052,0.016
v0103,wavelet,lt2,EMG_NIRS_HRV,0.146,0.03
v0104,lstm,lt1,EMG,0.163,0.118
v0104,lstm,lt1,NIRS,0.136,0.118
v0104,lstm,lt1,EMG_NIRS,0.161,0.164
v0104,lstm,lt1,EMG_NIRS_HRV,0.163,0.142
v0104,lstm,lt2,EMG,0.139,0.11
v0104,lstm,lt2,NIRS,0.122,0.0
v0104,lstm,lt2,EMG_NIRS,0.136,0.107
v0104,lstm,lt2,EMG_NIRS_HRV,0.146,0.149
v0105,tcn,lt1,EMG,0.059,0.023
v0105,tcn,lt1,NIRS,0.067,0.03
v0105,tcn,lt1,EMG_NIRS,0.06,0.023
v0105,tcn,lt1,EMG_NIRS_HRV,0.064,0.013
v0105,tcn,lt2,EMG,0.098,0.029
v0105,tcn,lt2,NIRS,0.075,0.015
v0105,tcn,lt2,EMG_NIRS,0.065,0.03
v0105,tcn,lt2,EMG_NIRS_HRV,0.076,0.026
v0106a,wavelet,lt1,EMG,0.159,0.114
v0106a,wavelet,lt1,NIRS,0.15,0.155
v0106a,wavelet,lt1,EMG_NIRS,0.157,0.104
v0106a,wavelet,lt1,EMG_NIRS_HRV,0.152,0.115
v0106a,wavelet,lt2,EMG,0.134,0.109
v0106a,wavelet,lt2,NIRS,0.12,0.001
v0106a,wavelet,lt2,EMG_NIRS,0.137,0.103
v0106a,wavelet,lt2,EMG_NIRS_HRV,0.143,0.159
v0106b,wavelet,lt1,EMG,0.249,0.162
v0106b,wavelet,lt1,NIRS,0.159,0.125
v0106b,wavelet,lt1,EMG_NIRS,0.302,0.231
v0106b,wavelet,lt1,EMG_NIRS_HRV,0.369,0.31
v0106b,wavelet,lt2,EMG,0.312,0.232
v0106b,wavelet,lt2,NIRS,0.244,0.227
v0106b,wavelet,lt2,EMG_NIRS,0.442,0.313
v0106b,wavelet,lt2,EMG_NIRS_HRV,0.516,0.37
v0106c,wavelet,lt1,EMG,0.056,0.045
v0106c,wavelet,lt1,NIRS,0.055,0.056
v0106c,wavelet,lt1,EMG_NIRS,0.057,0.046
v0106c,wavelet,lt1,EMG_NIRS_HRV,0.055,0.049
v0106c,wavelet,lt2,EMG,0.045,0.038
v0106c,wavelet,lt2,NIRS,0.043,0.039
v0106c,wavelet,lt2,EMG_NIRS,0.05,0.044
v0106c,wavelet,lt2,EMG_NIRS_HRV,0.048,0.052
v0107,ensemble,lt1,EMG,1.211,0.796
v0107,ensemble,lt1,NIRS,0.925,0.561
v0107,ensemble,lt1,EMG_NIRS,1.31,0.931
v0107,ensemble,lt1,EMG_NIRS_HRV,1.096,0.976
v0107,ensemble,lt2,EMG,1.354,0.813
v0107,ensemble,lt2,NIRS,1.001,0.547
v0107,ensemble,lt2,EMG_NIRS,1.185,0.907
v0107,ensemble,lt2,EMG_NIRS_HRV,1.044,0.964
