model,mae_min,mae_std,r2,spearman
Baseline: predict 0,6.040430957780526,2.2076902567441765,,
Baseline: predict mean,5.218894951827538,1.5350627389415896,,
Baseline: power (linear),4.293755782812283,1.8646685896655775,,
Baseline: elapsed (linear),4.277600229491659,1.948448201391707,,
ElasticNet (nirs_hrv),2.224510554955822,1.5353693306974938,0.7516758497864952,0.9679473736517784
ElasticNet (nirs_hrv+Δ),2.5620237977929965,1.5424621535701595,0.6081941429372677,0.9532562694978222
Ridge (nirs_hrv+Δ),2.6320307318621037,1.5495083718984866,0.561813018441343,0.9511359761480842
Ensemble (nirs_hrv),2.2269493042393673,1.5362228380978693,0.7488068883285468,0.967607462111232
Ensemble (nirs_hrv+Δ),2.5953188289431415,1.5447172758007817,0.5861962102616641,0.9525415421679976
Nested LOSO (nirs_hrv),2.275959834338179,1.5503156093823078,0.7382375143932045,0.966951636200773
Nested LOSO (nirs_hrv+Δ),2.5878353404555083,1.6124954672480623,0.6159635131082708,0.9503877863431955
