version,variant,target,feature_set,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,n_windows
v0011,with_abs,lt1,EMG,2.7926,2.8324,30.0,2.8324,2.9624,3.1862,3.9806,0.688,0.87,4130
v0011,with_abs,lt2,EMG,3.0697,3.185,30.0,3.185,3.3093,3.4868,4.1043,0.641,0.834,3651
v0011,with_abs,lt1,NIRS,3.9003,3.9684,30.0,3.9684,4.0719,4.2186,4.7018,0.466,0.729,4130
v0011,with_abs,lt2,NIRS,4.2199,4.2895,30.0,4.2895,4.389,4.5214,4.953,0.333,0.615,3651
v0011,with_abs,lt1,HRV,3.9198,4.045,30.0,4.045,4.1647,4.3242,4.9027,0.376,0.672,4130
v0011,with_abs,lt2,HRV,2.2468,2.504,30.0,2.504,2.693,2.9204,3.6301,0.817,0.911,3651
v0011,with_abs,lt1,EMG+NIRS,2.645,2.7522,30.0,2.7522,2.9034,3.1318,3.8661,0.69,0.871,4130
v0011,with_abs,lt2,EMG+NIRS,2.9406,3.0908,30.0,3.0908,3.2363,3.4426,4.1149,0.657,0.835,3651
v0011,with_abs,lt1,EMG+NIRS+HRV,2.628,2.825,30.0,2.825,2.9868,3.2134,3.946,0.716,0.882,4130
v0011,with_abs,lt2,EMG+NIRS+HRV,2.2479,2.4696,30.0,2.4696,2.6499,2.8842,3.6181,0.826,0.919,3651
v0102,with_abs,lt1,EMG,6.281,6.2396,50.0,6.243,6.2396,6.2605,6.4776,-0.41,-0.457,4130
v0102,with_abs,lt2,EMG,6.4717,6.6033,30.0,6.6033,6.7182,6.8809,7.4707,-0.506,-0.175,3553
v0102,with_abs,lt1,NIRS,5.771,5.7136,50.0,5.7259,5.7136,5.7192,5.8601,-0.167,-0.279,4130
v0102,with_abs,lt2,NIRS,5.8799,6.0353,30.0,6.0353,6.1627,6.3386,6.9645,-0.285,0.094,3553
v0102,with_abs,lt1,EMG+NIRS,6.0828,6.0476,30.0,6.0476,6.0528,6.0868,6.3399,-0.292,-0.265,4130
v0102,with_abs,lt2,EMG+NIRS,6.2,6.3258,30.0,6.3258,6.4254,6.5629,7.0671,-0.389,-0.044,3553
v0102,with_abs,lt1,EMG+NIRS+HRV,6.0067,5.9568,50.0,5.9602,5.9568,5.9847,6.2357,-0.27,-0.211,4130
v0102,with_abs,lt2,EMG+NIRS+HRV,5.6138,5.7623,30.0,5.7623,5.8843,6.0545,6.6734,-0.09,0.301,3553
v0102,noabs,lt1,EMG,6.2935,6.2224,50.0,6.2365,6.2224,6.2299,6.4085,-0.426,-0.44,4130
v0102,noabs,lt2,EMG,6.5436,6.6635,30.0,6.6635,6.7697,6.9232,7.4915,-0.522,-0.229,3553
v0102,noabs,lt1,NIRS,5.6387,5.5675,75.0,5.5877,5.5691,5.5675,5.6994,-0.124,-0.209,4130
v0102,noabs,lt2,NIRS,5.8003,5.9331,30.0,5.9331,6.0428,6.1946,6.7495,-0.182,0.008,3553
v0102,noabs,lt1,EMG+NIRS,6.2792,6.2306,50.0,6.2323,6.2306,6.2607,6.5199,-0.407,-0.37,4130
v0102,noabs,lt2,EMG+NIRS,6.3891,6.5166,30.0,6.5166,6.6224,6.7761,7.3375,-0.473,-0.166,3553
v0102,noabs,lt1,EMG+NIRS+HRV,6.0191,5.9887,30.0,5.9887,5.9897,6.0191,6.273,-0.294,-0.255,4130
v0102,noabs,lt2,EMG+NIRS+HRV,6.0567,6.198,30.0,6.198,6.3124,6.4719,7.0477,-0.305,0.044,3553
v0103,with_abs,lt1,EMG,5.4334,5.3024,75.0,5.3648,5.3298,5.3024,5.3263,-0.049,0.459,4130
v0103,with_abs,lt2,EMG,6.0853,6.3037,30.0,6.3037,6.475,6.7039,7.4754,-0.386,0.568,3634
v0103,with_abs,lt1,NIRS,5.4973,5.3614,75.0,5.427,5.3906,5.3614,5.3799,-0.079,0.132,4130
v0103,with_abs,lt2,NIRS,6.1171,6.3302,30.0,6.3302,6.4975,6.7216,7.4812,-0.393,0.504,3634
v0103,with_abs,lt1,EMG+NIRS,5.4418,5.3126,75.0,5.3743,5.3397,5.3126,5.3351,-0.051,0.519,4130
v0103,with_abs,lt2,EMG+NIRS,6.0945,6.3138,30.0,6.3138,6.4854,6.7143,7.4872,-0.387,0.583,3634
v0103,with_abs,lt1,EMG+NIRS+HRV,5.3273,5.2057,75.0,5.2619,5.2295,5.2057,5.2386,-0.016,0.723,4130
v0103,with_abs,lt2,EMG+NIRS+HRV,6.0499,6.2734,30.0,6.2734,6.4484,6.6819,7.4678,-0.376,0.701,3634
v0103,noabs,lt1,EMG,5.4244,5.296,75.0,5.3571,5.3228,5.296,5.318,-0.044,0.502,4130
v0103,noabs,lt2,EMG,6.0987,6.3156,30.0,6.3156,6.4854,6.7118,7.4747,-0.386,0.484,3634
v0103,noabs,lt1,NIRS,5.4427,5.3112,75.0,5.3742,5.339,5.3112,5.3351,-0.051,0.354,4130
v0103,noabs,lt2,NIRS,6.1224,6.3357,30.0,6.3357,6.5029,6.7267,7.4855,-0.401,0.467,3634
v0103,noabs,lt1,EMG+NIRS,5.4504,5.3186,75.0,5.3819,5.3466,5.3186,5.3383,-0.055,0.459,4130
v0103,noabs,lt2,EMG+NIRS,6.0987,6.3189,30.0,6.3189,6.4914,6.7215,7.4962,-0.39,0.614,3634
v0103,noabs,lt1,EMG+NIRS+HRV,5.3687,5.2453,75.0,5.3033,5.2704,5.2453,5.2727,-0.028,0.671,4130
v0103,noabs,lt2,EMG+NIRS+HRV,6.0476,6.2736,30.0,6.2736,6.45,6.6848,7.47,-0.376,0.639,3634
v0104,with_abs,lt1,EMG,4.6991,4.7078,30.0,4.7078,4.7277,4.7683,4.9951,0.183,0.654,4130
v0104,with_abs,lt2,EMG,5.3379,5.5767,30.0,5.5767,5.7603,6.0009,6.788,-0.121,0.566,3634
v0104,with_abs,lt1,NIRS,5.0716,5.0511,50.0,5.0532,5.0511,5.0626,5.1884,0.093,0.48,4130
v0104,with_abs,lt2,NIRS,5.8657,6.0431,30.0,6.0431,6.1817,6.3684,7.0268,-0.291,0.042,3634
v0104,with_abs,lt1,EMG+NIRS,4.7429,4.7465,30.0,4.7465,4.761,4.7935,4.9891,0.169,0.6,4130
