task,config,mae_min,mae_std,r2,rho,baseline_mae,vs_baseline
LT1,Kalman: + лаг t-1 + delta,2.0939622412408516,0.7650827645836558,0.8330328070534179,0.9263940579984997,5.0550762861079495,-2.961114044867098
LT1,"Kalman: + лаги t-1, t-2 + delta",2.0968417761457516,0.7565876477314769,0.8328197793926921,0.9266643206241978,5.0550762861079495,-2.958234509962198
LT1,Kalman: Без лагов (baseline),2.097477853869758,0.7914141186690465,0.8311896159017382,0.9249675982806602,5.0550762861079495,-2.9575984322381914
LT1,"Kalman: + лаги t-1, t-2, t-3 + delta",2.1038482959217686,0.7524240352522151,0.8317889636899373,0.926624121416787,5.0550762861079495,-2.951227990186181
LT1,Без лагов (baseline),2.1234757390213757,0.7760724998401312,0.8285653469570864,0.9227054270569073,5.0550762861079495,-2.931600547086574
LT1,+ лаг t-1 + delta,2.1236813120879408,0.7475514261406557,0.8318313833244878,0.9247213095068747,5.0550762861079495,-2.9313949740200087
LT1,"+ лаги t-1, t-2 + delta",2.127558075272987,0.7371795660104993,0.8319025193939176,0.9253360846700547,5.0550762861079495,-2.9275182108349624
LT1,"+ лаги t-1, t-2, t-3 + delta",2.134555100645964,0.7317962435349893,0.8310162737256622,0.9254064903898628,5.0550762861079495,-2.9205211854619852
LT2,Kalman: Без лагов (baseline),1.9861557441813302,1.0932130899607873,0.8582258003745623,0.9255516540417266,5.067219836301013,-3.081064092119683
LT2,Kalman: + лаг t-1 + delta,2.005047994142465,1.155145634581794,0.8516863545906121,0.922488386798838,5.067219836301013,-3.062171842158548
LT2,"Kalman: + лаги t-1, t-2 + delta",2.0337709952059635,1.1825914007612945,0.8466227408202536,0.9203735796586343,5.067219836301013,-3.0334488410950495
LT2,Без лагов (baseline),2.0409300147426097,1.05182744488083,0.8502533650020365,0.9214161024612003,5.067219836301013,-3.0262898215584033
LT2,+ лаг t-1 + delta,2.060053587391651,1.121493525104811,0.8443764917987626,0.9185746176665064,5.067219836301013,-3.0071662489093622
LT2,"Kalman: + лаги t-1, t-2, t-3 + delta",2.067391297231804,1.2033869344519093,0.8422023319723377,0.9185922879935503,5.067219836301013,-2.999828539069209
LT2,"+ лаги t-1, t-2 + delta",2.086318245519391,1.1534301207387971,0.839951369399748,0.9164579035480992,5.067219836301013,-2.980901590781622
LT2,"+ лаги t-1, t-2, t-3 + delta",2.115885292325843,1.1675175250364558,0.835931917861347,0.9147857646972626,5.067219836301013,-2.95133454397517
