task,config,mae_min,mae_std,r2,rho,best
LT1,z_EMG+HRV,2.036486295405091,0.9258360118900508,0.8361189179321049,0.9234643079836642,True
LT1,z_EMG+HRV+running NIRS,2.1216022236623764,1.0804547245210094,0.8211692591563595,0.9145198134152152,False
LT1,HRV только,2.5818784623220146,1.1201439075229875,0.7441589475869036,0.8635645602851578,False
LT1,Running NIRS+HRV,2.736571548130226,1.7937273102519686,0.6924051250771918,0.8518484001610638,False
LT1,z_EMG только,2.9710993897535305,0.8573063701520096,0.6863084033895537,0.8550922479348095,False
LT1,z_EMG+running NIRS,3.27651767026863,1.054398526808111,0.6251436780991786,0.8384592427985171,False
LT1,Baseline (NIRS+HRV),3.497105495724678,2.0702119536163455,0.5467153783489325,0.7894132711594533,False
LT2,z_EMG+HRV,1.9230116476958492,0.8817899937738854,0.863314267160303,0.9387999800423334,True
LT2,NIRS+HRV+interaction+z_EMG,2.309150550875706,1.123714687722371,0.815916171309737,0.90995343032789,False
LT2,NIRS+HRV+interaction,2.585548372941706,1.5193745256025186,0.7729224622230884,0.8863405512472727,False
LT2,Baseline (NIRS+HRV),2.6677453908524864,1.6365833501331366,0.7482012165831059,0.8758008022698514,False
LT2,z_EMG только,3.2125098837885773,1.4641081509383047,0.5963161821938243,0.805196660474292,False
