feature_set,target,model,n_subjects,n_features,raw_mae_min,kalman_mae_min,r2,rho,sec
EMG+NIRS+HRV,lt1,Ridge(α=1000),12,107,2.1394,2.0427,0.823,0.915,0.5
EMG+NIRS+HRV,lt2,"EN(α=1.0,l1=0.9)",17,107,2.2025,2.1253,0.825,0.913,1.9
HRV,lt2,"EN(α=1.0,l1=0.9)",17,7,2.409,2.385,0.796,0.905,0.1
EMG+NIRS,lt1,"EN(α=1.0,l1=0.9)",12,97,2.5823,2.3857,0.755,0.883,0.9
HRV,lt1,"GBM(n=50,d=3)",12,7,2.4758,2.4567,0.774,0.894,3.8
EMG,lt1,"EN(α=1.0,l1=0.2)",12,79,2.8512,2.7038,0.697,0.864,0.8
EMG+NIRS,lt2,"EN(α=1.0,l1=0.2)",17,97,2.9891,2.8344,0.628,0.817,1.2
EMG,lt2,"EN(α=1.0,l1=0.2)",17,79,3.138,3.0016,0.607,0.816,1.0
NIRS,lt2,"SVR(C=100,ε=1.0)",17,18,4.0881,3.9169,0.374,0.607,4.0
NIRS,lt1,"SVR(C=10,ε=1.0)",12,18,4.1804,4.0471,0.388,0.677,2.9
