feature_set,target,best_model,mae_mean_pred,mae_first_win,mae_raw,mae_kalman_ref,gap_raw_vs_fw,verdict,stability_raw,stability_fw
EMG,lt2,"EN(α=1.0,l1=0.2)",3.8695,4.9695,3.1332,2.9928,-1.8363,✓ sequential значимо лучше FirstWindow,138.5,132.1
NIRS,lt2,"SVR(C=100,ε=0.1)",3.8695,3.869,4.1281,3.9622,0.2591,⚠ sequential хуже FirstWindow (нет онлайн-ценности),181.0,130.8
HRV,lt2,"EN(α=0.1,l1=0.2)",3.8695,2.8911,2.2639,2.2401,-0.6272,✓ sequential значимо лучше FirstWindow,86.8,110.5
EMG+NIRS,lt2,"EN(α=1.0,l1=0.2)",3.8695,4.7486,3.008,2.8546,-1.7406,✓ sequential значимо лучше FirstWindow,134.2,124.7
EMG+NIRS+HRV,lt2,"GBM(n=50,d=3)",3.8695,3.7059,2.1972,2.1622,-1.5087,✓ sequential значимо лучше FirstWindow,85.6,118.8
EMG,lt1,"GBM(n=100,d=2)",4.0229,4.4908,2.8314,2.6718,-1.6594,✓ sequential значимо лучше FirstWindow,154.0,171.1
NIRS,lt1,"GBM(n=50,d=2)",4.0229,4.1482,4.1686,3.9677,0.0204,~ нет значимой разницы с FirstWindow,200.9,160.6
HRV,lt1,Huber(ε=2.0),4.0229,4.0023,2.5942,2.662,-1.4081,✓ sequential значимо лучше FirstWindow,115.2,172.4
EMG+NIRS,lt1,"GBM(n=50,d=2)",4.0229,4.5643,2.6156,2.4488,-1.9487,✓ sequential значимо лучше FirstWindow,138.7,167.8
EMG+NIRS+HRV,lt1,"EN(α=1.0,l1=0.5)",4.0229,4.354,2.2684,2.1779,-2.0856,✓ sequential значимо лучше FirstWindow,113.3,150.9
