feature_set,target,model,n_subjects,n_features,raw_mae_min,kalman_mae_min,r2,rho,sec
EMG,lt2,Ridge(α=1),18,79,5.2467,4.6429,-1.261,0.61,0.9
EMG,lt2,Ridge(α=10),18,79,5.9345,5.2422,-1.89,0.548,1.2
EMG,lt2,Ridge(α=100),18,79,5.9427,5.3316,-1.056,0.497,1.1
EMG,lt2,Ridge(α=1000),18,79,5.0653,4.7436,-0.111,0.588,1.1
EMG,lt2,Huber(ε=1.1),18,79,4.5727,4.126,-0.432,0.623,29.0
EMG,lt2,Huber(ε=1.35),18,79,4.5332,4.1007,-0.282,0.633,25.0
EMG,lt2,Huber(ε=1.5),18,79,4.5882,4.1417,-0.338,0.631,22.4
EMG,lt2,Huber(ε=2.0),18,79,4.8489,4.3252,-0.698,0.62,23.1
EMG,lt2,"EN(α=0.01,l1=0.2)",18,79,6.176,5.5062,-1.675,0.511,21.2
EMG,lt2,"EN(α=0.01,l1=0.5)",18,79,6.1006,5.4173,-1.815,0.528,24.6
EMG,lt2,"EN(α=0.01,l1=0.9)",18,79,5.5027,4.854,-1.679,0.587,26.7
EMG,lt2,"EN(α=0.1,l1=0.2)",18,79,5.5163,5.0129,-0.572,0.522,6.6
EMG,lt2,"EN(α=0.1,l1=0.5)",18,79,5.7154,5.1572,-0.781,0.507,8.3
EMG,lt2,"EN(α=0.1,l1=0.9)",18,79,6.1301,5.4786,-1.499,0.508,13.0
EMG,lt2,"EN(α=1.0,l1=0.2)",18,79,4.812,4.5912,0.127,0.605,1.6
EMG,lt2,"EN(α=1.0,l1=0.5)",18,79,4.9235,4.6627,0.037,0.601,1.7
EMG,lt2,"EN(α=1.0,l1=0.9)",18,79,5.3305,4.8908,-0.408,0.546,3.9
EMG,lt2,"GBM(n=50,d=2)",18,79,4.2066,4.0917,0.398,0.661,69.1
EMG,lt2,"GBM(n=50,d=3)",18,79,4.1253,3.9844,0.414,0.679,95.1
EMG,lt2,"GBM(n=100,d=2)",18,79,4.2564,4.1333,0.397,0.675,126.4
EMG,lt2,"GBM(n=100,d=3)",18,79,4.2044,4.0584,0.397,0.677,179.1
EMG,lt2,"GBM(n=200,d=2)",18,79,4.316,4.1813,0.374,0.672,239.2
EMG,lt2,"GBM(n=200,d=3)",18,79,4.17,3.977,0.396,0.682,344.0
EMG,lt2,"SVR(C=1,ε=0.1)",18,79,4.4903,4.4516,0.233,0.55,32.5
EMG,lt2,"SVR(C=1,ε=1.0)",18,79,4.4904,4.4517,0.233,0.55,26.3
EMG,lt2,"SVR(C=10,ε=0.1)",18,79,4.163,4.0783,0.329,0.603,27.7
EMG,lt2,"SVR(C=10,ε=1.0)",18,79,4.1633,4.0785,0.329,0.603,26.9
EMG,lt2,"SVR(C=100,ε=0.1)",18,79,3.8667,3.7217,0.419,0.668,25.3
