feature_set,target,model,subject_id,mae_min,r2
EMG,lt2,Ridge(α=1),S001,2.6008,0.736
EMG,lt2,Ridge(α=1),S002,4.8962,-1.291
EMG,lt2,Ridge(α=1),S003,9.658,-11.419
EMG,lt2,Ridge(α=1),S004,9.1876,-12.517
EMG,lt2,Ridge(α=1),S005,6.3153,-0.401
EMG,lt2,Ridge(α=1),S006,4.254,-0.991
EMG,lt2,Ridge(α=1),S007,2.8547,-4.635
EMG,lt2,Ridge(α=1),S008,1.5076,0.724
EMG,lt2,Ridge(α=1),S009,10.8307,-1.264
EMG,lt2,Ridge(α=1),S010,3.3257,0.68
EMG,lt2,Ridge(α=1),S011,1.6602,0.796
EMG,lt2,Ridge(α=1),S012,3.6922,-0.696
EMG,lt2,Ridge(α=1),S013,7.176,-0.916
EMG,lt2,Ridge(α=1),S014,1.8942,0.83
EMG,lt2,Ridge(α=1),S016,2.9024,0.428
EMG,lt2,Ridge(α=1),S017,4.451,-0.118
EMG,lt2,Ridge(α=1),S018,2.9981,-1.746
EMG,lt2,Ridge(α=1),S019,4.5887,0.535
EMG,lt2,Ridge(α=10),S001,2.2095,0.793
EMG,lt2,Ridge(α=10),S002,6.4854,-2.851
EMG,lt2,Ridge(α=10),S003,10.0836,-12.666
EMG,lt2,Ridge(α=10),S004,10.987,-27.368
EMG,lt2,Ridge(α=10),S005,7.3186,-0.815
EMG,lt2,Ridge(α=10),S006,4.0697,-0.811
EMG,lt2,Ridge(α=10),S007,2.5213,-3.492
EMG,lt2,Ridge(α=10),S008,1.3205,0.783
EMG,lt2,Ridge(α=10),S009,11.0516,-1.341
EMG,lt2,Ridge(α=10),S010,4.0828,0.546
EMG,lt2,Ridge(α=10),S011,2.6096,0.551
EMG,lt2,Ridge(α=10),S012,3.7257,-0.692
EMG,lt2,Ridge(α=10),S013,10.3604,-2.943
EMG,lt2,Ridge(α=10),S014,2.0196,0.774
EMG,lt2,Ridge(α=10),S016,1.6437,0.81
EMG,lt2,Ridge(α=10),S017,2.6915,0.564
EMG,lt2,Ridge(α=10),S018,2.9246,-1.734
EMG,lt2,Ridge(α=10),S019,7.7745,-0.133
EMG,lt2,Ridge(α=100),S001,2.2752,0.759
EMG,lt2,Ridge(α=100),S002,6.5188,-3.011
