feature_set,target,model,n_subjects,n_features,raw_mae_min,kalman_mae_min,r2,rho,sec
EMG,lt1,Ridge(α=1),14,79,3.1832,2.9482,0.625,0.818,0.7
EMG,lt1,Ridge(α=10),14,79,3.1116,2.8884,0.645,0.829,0.8
EMG,lt1,Ridge(α=100),14,79,2.9859,2.7905,0.674,0.846,0.8
EMG,lt1,Ridge(α=1000),14,79,2.8767,2.7366,0.706,0.865,1.2
EMG,lt1,Huber(ε=1.1),14,79,3.1143,2.8822,0.642,0.831,15.3
EMG,lt1,Huber(ε=1.35),14,79,3.1646,2.9261,0.628,0.824,14.4
EMG,lt1,Huber(ε=1.5),14,79,3.1754,2.9373,0.624,0.821,14.6
EMG,lt1,Huber(ε=2.0),14,79,3.197,2.9586,0.619,0.817,13.3
EMG,lt1,"EN(α=0.01,l1=0.2)",14,79,3.0667,2.8533,0.656,0.835,10.9
EMG,lt1,"EN(α=0.01,l1=0.5)",14,79,3.0905,2.872,0.65,0.832,9.9
EMG,lt1,"EN(α=0.01,l1=0.9)",14,79,3.155,2.9246,0.634,0.823,14.5
EMG,lt1,"EN(α=0.1,l1=0.2)",14,79,2.9417,2.7666,0.686,0.853,2.8
EMG,lt1,"EN(α=0.1,l1=0.5)",14,79,2.9623,2.7762,0.68,0.85,3.5
EMG,lt1,"EN(α=0.1,l1=0.9)",14,79,3.0435,2.8331,0.661,0.838,6.6
EMG,lt1,"EN(α=1.0,l1=0.2)",14,79,2.8487,2.7395,0.713,0.87,1.6
EMG,lt1,"EN(α=1.0,l1=0.5)",14,79,2.8566,2.7313,0.711,0.868,1.2
EMG,lt1,"EN(α=1.0,l1=0.9)",14,79,2.8973,2.7352,0.696,0.859,2.3
EMG,lt1,"GBM(n=50,d=2)",14,79,2.9106,2.8135,0.677,0.853,54.9
EMG,lt1,"GBM(n=50,d=3)",14,79,2.8908,2.7416,0.681,0.854,72.3
EMG,lt1,"GBM(n=100,d=2)",14,79,2.8801,2.7632,0.679,0.853,97.7
EMG,lt1,"GBM(n=100,d=3)",14,79,2.9309,2.7594,0.673,0.849,135.1
EMG,lt1,"GBM(n=200,d=2)",14,79,2.9332,2.7831,0.671,0.849,179.9
EMG,lt1,"GBM(n=200,d=3)",14,79,2.9719,2.777,0.664,0.844,258.3
EMG,lt1,"SVR(C=1,ε=0.1)",14,79,4.2296,4.2291,0.324,0.76,17.0
EMG,lt1,"SVR(C=1,ε=1.0)",14,79,4.2283,4.2278,0.324,0.761,18.3
EMG,lt1,"SVR(C=10,ε=0.1)",14,79,3.3285,3.205,0.558,0.796,19.1
EMG,lt1,"SVR(C=10,ε=1.0)",14,79,3.3284,3.205,0.558,0.796,20.0
EMG,lt1,"SVR(C=100,ε=0.1)",14,79,3.1988,3.0199,0.601,0.819,20.5
EMG,lt1,"SVR(C=100,ε=1.0)",14,79,3.1975,3.0185,0.601,0.82,16.2
NIRS,lt1,Ridge(α=1),14,18,5.8528,5.6721,-0.336,0.546,0.3
NIRS,lt1,Ridge(α=10),14,18,5.3693,5.1805,-0.179,0.6,0.3
NIRS,lt1,Ridge(α=100),14,18,4.888,4.6718,0.025,0.669,0.3
NIRS,lt1,Ridge(α=1000),14,18,4.5357,4.3664,0.256,0.665,0.3
NIRS,lt1,Huber(ε=1.1),14,18,7.1076,6.8417,-0.926,0.482,1.4
NIRS,lt1,Huber(ε=1.35),14,18,6.4789,6.2398,-0.625,0.515,1.2
NIRS,lt1,Huber(ε=1.5),14,18,6.4687,6.239,-0.596,0.514,1.2
NIRS,lt1,Huber(ε=2.0),14,18,6.2509,6.044,-0.488,0.522,1.6
NIRS,lt1,"EN(α=0.01,l1=0.2)",14,18,5.1813,4.9808,-0.111,0.629,0.8
NIRS,lt1,"EN(α=0.01,l1=0.5)",14,18,5.2824,5.0903,-0.149,0.613,0.7
NIRS,lt1,"EN(α=0.01,l1=0.9)",14,18,5.636,5.4498,-0.267,0.565,1.3
NIRS,lt1,"EN(α=0.1,l1=0.2)",14,18,4.7405,4.5272,0.115,0.676,0.4
NIRS,lt1,"EN(α=0.1,l1=0.5)",14,18,4.8152,4.5976,0.066,0.674,0.5
NIRS,lt1,"EN(α=0.1,l1=0.9)",14,18,5.1294,4.9237,-0.09,0.637,0.5
NIRS,lt1,"EN(α=1.0,l1=0.2)",14,18,4.4708,4.3345,0.298,0.647,0.5
NIRS,lt1,"EN(α=1.0,l1=0.5)",14,18,4.4954,4.3434,0.282,0.659,0.6
NIRS,lt1,"EN(α=1.0,l1=0.9)",14,18,4.6763,4.4708,0.152,0.679,0.6
NIRS,lt1,"GBM(n=50,d=2)",14,18,4.3795,4.162,0.361,0.614,15.0
NIRS,lt1,"GBM(n=50,d=3)",14,18,4.55,4.3217,0.309,0.595,17.9
NIRS,lt1,"GBM(n=100,d=2)",14,18,4.5213,4.2971,0.336,0.634,24.0
NIRS,lt1,"GBM(n=100,d=3)",14,18,4.6508,4.4127,0.287,0.618,34.0
NIRS,lt1,"GBM(n=200,d=2)",14,18,4.6416,4.4149,0.31,0.639,46.6
NIRS,lt1,"GBM(n=200,d=3)",14,18,4.6658,4.4349,0.284,0.622,63.6
NIRS,lt1,"SVR(C=1,ε=0.1)",14,18,4.9152,4.8975,0.17,0.584,10.3
NIRS,lt1,"SVR(C=1,ε=1.0)",14,18,4.9162,4.8982,0.169,0.583,7.5
NIRS,lt1,"SVR(C=10,ε=0.1)",14,18,4.5353,4.4251,0.341,0.623,9.0
NIRS,lt1,"SVR(C=10,ε=1.0)",14,18,4.5349,4.4249,0.342,0.623,10.0
