feature,hits,stability_pct,group
z_vl_dist_load_rms,14,100.0,EMG/kin
z_vl_dist_rest_rms_cv,14,100.0,EMG/kin
z_rest_duration_cv,14,100.0,EMG/kin
z_load_duration_cv,14,100.0,EMG/kin
z_load_rest_ratio,14,100.0,EMG/kin
z_rest_duration_ms,14,100.0,EMG/kin
z_load_duration_ms,14,100.0,EMG/kin
z_cadence_cv,14,100.0,EMG/kin
z_cadence_mean_rpm,14,100.0,EMG/kin
z_vl_prox_load_rms_cv,14,100.0,EMG/kin
z_vl_prox_rest_wavelet_entropy,14,100.0,EMG/kin
z_rest_trend_cv_ratio_30s,14,100.0,EMG/kin
z_vl_prox_rest_e_d5,14,100.0,EMG/kin
z_vl_prox_rest_e_d4,14,100.0,EMG/kin
z_vl_prox_rest_e_d2,14,100.0,EMG/kin
z_vl_prox_rest_ratio_mid_high,14,100.0,EMG/kin
z_vl_prox_rest_p_high,14,100.0,EMG/kin
z_vl_prox_rest_mdf,14,100.0,EMG/kin
z_vl_prox_rest_wl,14,100.0,EMG/kin
z_vl_prox_rest_rms,14,100.0,EMG/kin
z_load_trend_cv_ratio_30s,14,100.0,EMG/kin
z_load_sampen_30s,14,100.0,EMG/kin
z_vl_prox_load_wavelet_entropy,14,100.0,EMG/kin
trainred_thb_std,14,100.0,NIRS
feat_smo2_x_rr,14,100.0,HRV
hrv_dfa_alpha1,14,100.0,HRV
hrv_sd1_sd2_ratio,14,100.0,HRV
hrv_sd1_ms,14,100.0,HRV
hrv_rmssd_ms,14,100.0,HRV
hrv_mean_rr_ms,14,100.0,HRV
smo2_rel_drop_pct,14,100.0,NIRS
hhb_from_running_min,14,100.0,NIRS
trainred_thb_mean,14,100.0,NIRS
z_rest_sampen_30s,14,100.0,EMG/kin
trainred_hbdiff_std,14,100.0,NIRS
trainred_hbdiff_mean,14,100.0,NIRS
trainred_hhb_std,14,100.0,NIRS
trainred_dsmo2_dt,14,100.0,NIRS
trainred_smo2_std,14,100.0,NIRS
trainred_smo2_slope,14,100.0,NIRS
trainred_smo2_drop,14,100.0,NIRS
trainred_smo2_mean,14,100.0,NIRS
z_vl_prox_load_ratio_low_high,14,100.0,EMG/kin
z_vl_prox_rest_mnf,14,100.0,EMG/kin
