feature,hits,stability_pct,group
z_vl_dist_load_rms,19,100.0,EMG/kin
z_vl_prox_rest_ratio_mid_high,19,100.0,EMG/kin
z_vl_prox_load_wl,19,100.0,EMG/kin
z_vl_prox_load_zcr,19,100.0,EMG/kin
z_vl_prox_load_mdf,19,100.0,EMG/kin
z_vl_prox_load_p_low,19,100.0,EMG/kin
z_vl_prox_load_p_mid,19,100.0,EMG/kin
z_vl_prox_load_ratio_mid_high,19,100.0,EMG/kin
z_vl_prox_load_e_d2,19,100.0,EMG/kin
z_vl_prox_load_e_d3,19,100.0,EMG/kin
z_vl_dist_load_mav,19,100.0,EMG/kin
z_vl_prox_rest_zcr,19,100.0,EMG/kin
z_vl_prox_rest_mdf,19,100.0,EMG/kin
z_vl_prox_rest_p_low,19,100.0,EMG/kin
z_vl_prox_rest_p_mid,19,100.0,EMG/kin
z_vl_prox_rest_wavelet_entropy,19,100.0,EMG/kin
z_vl_prox_load_rms,19,100.0,EMG/kin
z_vl_prox_rest_ratio_low_high,19,100.0,EMG/kin
z_vl_dist_rest_rms_cv,19,100.0,EMG/kin
z_cadence_mean_rpm,19,100.0,EMG/kin
z_load_duration_ms,19,100.0,EMG/kin
z_load_rest_ratio,19,100.0,EMG/kin
z_load_duration_cv,19,100.0,EMG/kin
z_rest_trend_cv_ratio_30s,19,100.0,EMG/kin
trainred_smo2_mean,19,100.0,NIRS
trainred_hhb_std,19,100.0,NIRS
trainred_hbdiff_mean,19,100.0,NIRS
trainred_hbdiff_std,19,100.0,NIRS
trainred_thb_mean,19,100.0,NIRS
trainred_thb_std,19,100.0,NIRS
z_vl_prox_load_mav,19,100.0,EMG/kin
z_vl_prox_rest_rms,19,100.0,EMG/kin
z_vl_dist_rest_ratio_low_high,19,100.0,EMG/kin
z_vl_dist_rest_wavelet_entropy,19,100.0,EMG/kin
z_vl_dist_load_wl,19,100.0,EMG/kin
z_vl_dist_load_zcr,19,100.0,EMG/kin
z_vl_dist_load_mnf,19,100.0,EMG/kin
z_vl_dist_rest_e_d2,19,100.0,EMG/kin
z_vl_dist_rest_zcr,19,100.0,EMG/kin
z_vl_dist_rest_mdf,19,100.0,EMG/kin
z_vl_dist_rest_p_high,19,100.0,EMG/kin
z_vl_dist_load_ratio_low_high,19,100.0,EMG/kin
z_vl_dist_load_wavelet_entropy,19,100.0,EMG/kin
z_vl_dist_load_p_mid,19,100.0,EMG/kin
z_vl_dist_load_p_high,19,100.0,EMG/kin
z_vl_dist_load_e_d4,19,100.0,EMG/kin
z_vl_dist_load_e_d5,19,100.0,EMG/kin
z_vl_prox_rest_e_d2,18,94.7,EMG/kin
trainred_smo2_slope,18,94.7,NIRS
z_vl_prox_rest_p_high,18,94.7,EMG/kin
trainred_smo2_std,18,94.7,NIRS
trainred_dsmo2_dt,18,94.7,NIRS
trainred_hhb_mean,18,94.7,NIRS
smo2_from_running_max,18,94.7,NIRS
z_vl_dist_rest_rms,18,94.7,EMG/kin
z_vl_dist_load_rms_cv,18,94.7,EMG/kin
z_vl_dist_rest_p_mid,18,94.7,EMG/kin
z_vl_dist_rest_e_d5,18,94.7,EMG/kin
z_vl_dist_rest_wl,18,94.7,EMG/kin
z_vl_prox_rest_mav,18,94.7,EMG/kin
z_vl_prox_load_mnf,18,94.7,EMG/kin
z_vl_prox_rest_rms_cv,17,89.5,EMG/kin
z_vl_prox_rest_wl,17,89.5,EMG/kin
z_vl_dist_load_e_d2,17,89.5,EMG/kin
trainred_hbdiff_slope,16,84.2,NIRS
trainred_dhhb_dt,16,84.2,NIRS
trainred_hhb_slope,16,84.2,NIRS
hhb_from_running_min,16,84.2,NIRS
z_vl_prox_load_ratio_low_high,16,84.2,EMG/kin
z_vl_dist_load_mdf,15,78.9,EMG/kin
z_vl_dist_rest_p_low,15,78.9,EMG/kin
z_rest_duration_ms,15,78.9,EMG/kin
trainred_smo2_drop,15,78.9,NIRS
z_load_sampen_30s,14,73.7,EMG/kin
z_vl_prox_rest_e_d3,14,73.7,EMG/kin
smo2_rel_drop_pct,14,73.7,NIRS
z_vl_dist_rest_mnf,14,73.7,EMG/kin
z_vl_dist_rest_e_d4,12,63.2,EMG/kin
z_vl_dist_rest_ratio_mid_high,12,63.2,EMG/kin
z_load_trend_cv_ratio_30s,12,63.2,EMG/kin
z_rest_sampen_30s,11,57.9,EMG/kin
z_cadence_cv,11,57.9,EMG/kin
z_vl_prox_load_wavelet_entropy,10,52.6,EMG/kin
z_vl_dist_load_ratio_mid_high,8,42.1,EMG/kin
z_vl_dist_rest_mav,7,36.8,EMG/kin
z_rest_duration_cv,7,36.8,EMG/kin
z_vl_prox_load_rms_cv,6,31.6,EMG/kin
z_vl_prox_rest_e_d5,5,26.3,EMG/kin
z_vl_prox_rest_mnf,5,26.3,EMG/kin
z_vl_prox_load_p_high,4,21.1,EMG/kin
z_vl_dist_load_p_low,4,21.1,EMG/kin
z_vl_dist_load_e_d3,3,15.8,EMG/kin
z_vl_prox_load_e_d4,2,10.5,EMG/kin
z_vl_dist_rest_e_d3,1,5.3,EMG/kin
trainred_thb_slope,1,5.3,NIRS
z_vl_prox_rest_e_d4,1,5.3,EMG/kin
z_vl_prox_load_e_d5,0,0.0,EMG/kin
